playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPass,gradesRun
41982,Cam McCormick,TE,0,,2025,220,54,73,67.3,53.1,58.3,84,0,1,0,1,6,0,12,19,7,12,MIAMI FL,MIAMI FL,,,
52369,Marshall Lang,TE,0,2025,2025,256,55.7,77.2,,56.2,54,88,0,1,0,0,27,0,5,32,27,5,NWESTERN,NWESTERN,61,,
52540,Jakob James,C,0,,2025,316,51.1,80.1,50.3,,51.7,78,0,1,0,45,0,0,32,77,45,32,TOLEDO,TOLEDO,,,
53398,Eric Meeks,G,0,,2026,214,60,65,,,60,57,0,1,0,0,0,0,1,1,0,1,MARSHALL,MARSHALL,,,
53431,Zeke Correll,C,0,2025,2025,248,62.7,79.9,77,,57,56,0,1,0,50,0,0,25,75,50,25,NC STATE,NC STATE,,,
53851,Logan Osburn,C,0,,2025,214,66.8,78.9,72,,63.9,65,0,1,0,19,0,0,35,54,19,35,MARSHALL,MARSHALL,,,
63709,Spencer Curtis,WR,0,,2025,180,61,79,,60.7,60.2,14,0,1,0,0,32,0,11,43,32,11,HAWAII,HAWAII,62.9,,
63838,Jack Coldiron,TE,0,,2025,221,63.1,77.9,61.3,54.5,79.7,89,0,1,0,23,7,0,6,36,30,6,MIAMI OH,MIAMI OH,,,
70536,Sebastian Macaluso,WR,0,,2025,285,81.8,70.4,,78.5,,24,0,1,0,0,9,0,0,9,9,0,S JOSE ST,S JOSE ST,64.1,,
70727,Miller Moss,QB,0,2026,2026,326,64.2,22.3,,,60.1,07,2,1,39,0,0,1,26,66,39,27,USC,USC,69.4,65.6,59.4
70933,DeCarlos Brooks,HB,0,,2025,110,51.9,69.2,,27.9,59,25,0,1,0,0,2,1,2,5,2,3,ARIZONA ST,ARIZONA ST,62.5,,63.2
