playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassBlock,gradesPassRoute,gradesPass,gradesRun
76359,Baron May,QB,0,,2026,122,64.9,26.2,60,08,1,1,29,0,0,8,37,74,29,45,BOWL GREEN,BOWL GREEN,34.8,,,58,71
76606,Jalynn Williams,HB,0,,2026,268,63.5,74.4,59.4,35,0,4,0,4,9,6,2,21,13,8,PITTSBURGH,PITTSBURGH,70.7,54.2,64.1,,63.3
78216,Tay Lanier,WR,0,,2026,144,60.4,86.3,55.4,06,0,12,2,1,265,0,159,427,268,159,COLO STATE,COLO STATE,72.6,61.9,60.4,57.9,
78573,Solomon Vanhorse,HB,0,,2026,190,73.4,71.7,60,18,0,5,0,0,0,10,1,11,0,11,INDIANA,INDIANA,73.3,,,,70.7
81675,Reuben Unije,T,3,,2026,324,56.9,14,55.2,71,9,12,0,385,0,0,234,619,385,234,UCLA,UCLA,,68.8,,,
83446,Brendon Harris,S,0,,2026,224,60,64.1,,D07,0,2,0,2,0,0,0,2,2,0,MIDDLE TN,MIDDLE TN,,90.5,,,
85774,Gracen Halton,DI,0,2026,2026,261,60,64.9,60,D56,1,1,0,0,0,0,1,1,0,1,OKLAHOMA,OKLAHOMA,,,,,
86142,Carson Lee,C,0,,2026,343,61.4,39.2,64.5,55,1,6,0,45,0,0,95,140,45,95,W VIRGINIA,W VIRGINIA,,43.4,,,
86146,Toreon Penright,T,1,,2026,169,66.9,30.9,63.4,77,3,6,0,117,0,0,98,215,117,98,FRESNO ST,FRESNO ST,,78.7,,,
86353,Byron Cardwell Jr.,HB,0,,2027,284,79.9,80.6,57.7,21,0,11,0,8,26,50,32,116,34,82,S DIEGO ST,S DIEGO ST,82.3,86,76.2,,77.1
86477,Koby Gross,TE,0,,2026,117,54.2,84.1,51,06,0,11,0,10,154,0,59,223,164,59,BALL ST,BALL ST,20.5,61.2,55.3,,
86525,Camden Jordan,WR,0,,2026,190,64.2,70.4,80.8,89,0,5,0,0,2,0,8,10,2,8,INDIANA,INDIANA,,,57.5,,
86538,Chase Penry,WR,0,,2026,120,65,34.8,60.8,13,3,14,0,2,238,0,245,485,240,245,BOISE ST,BOISE ST,71.7,70.3,65.8,,
90224,Reymello Murphy,WR,0,,2026,146,67.3,56.9,46.5,06,2,13,0,0,317,0,105,422,317,105,UCONN,UCONN,73,,68.8,,
90279,Nilay Upadhyayula,LS,0,,2026,268,60,60,60,S47,0,1,0,0,0,0,1,1,0,1,PITTSBURGH,PITTSBURGH,,,,,
