playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassRoute,gradesRun,gradesPass
147322,Will Jeffcoat,G,0,,2026,114,64.3,78.5,54.5,64.4,59,1,1,0,15,0,0,30,45,15,30,ARMY,ARMY,,,,
162541,Brandon Chatman,HB,0,,2026,237,51.3,78.5,30.7,59.1,24,0,1,0,1,16,1,41,59,17,42,NAVY,NAVY,68.9,45.2,63.1,
162554,Eli Heidenreich,FB,0,2026,2026,237,89.4,78.9,,76.1,22,0,1,0,0,17,5,38,60,17,43,NAVY,NAVY,70.8,85.6,74.7,
162555,Blake Horvath,QB,0,,2026,237,57.8,76.7,,60,11,0,1,18,0,0,33,15,66,18,48,NAVY,NAVY,21.5,,69.7,31
162558,Nathan Kent,WR,0,,2026,237,57,75.6,,62.4,82,0,1,0,0,6,0,20,26,6,20,NAVY,NAVY,,56,,
162577,Ben Purvis,G,0,,2026,237,60.1,79.9,58.1,59.4,68,0,1,0,18,0,0,48,66,18,48,NAVY,NAVY,,,,
162580,Landon Robinson,DI,0,2026,2026,237,60,66.5,,60,D96,0,1,0,0,0,0,2,2,0,2,NAVY,NAVY,,,,
162587,Alex Tecza,HB,0,2026,2026,237,61.5,77.8,20,57.5,46,0,1,0,8,10,9,38,65,18,47,NAVY,NAVY,72.5,54.5,68.2,
163189,Liam Fortner,WR,0,,2026,114,54.9,73.5,,55,04,0,1,0,0,1,0,12,13,1,12,ARMY,ARMY,,59.3,,
163213,Hayden Reed,HB,0,,2026,114,56.4,74.6,67.3,54.8,08,0,1,0,1,3,0,16,20,4,16,ARMY,ARMY,,56.7,,
163220,Noah Short,HB,0,2026,2026,114,75.3,77.1,,57.4,15,0,1,0,0,15,2,25,42,15,27,ARMY,ARMY,67.4,82,58.4,
170956,Henry Appleton,T,0,,2028,114,68,75.9,51,68.7,58,0,1,0,15,0,0,30,45,15,30,ARMY,ARMY,,,,
170967,David Clerk,FB,0,,2028,114,60,63.5,,60,26,0,1,0,0,0,0,1,1,0,1,ARMY,ARMY,,,,
170976,Paolo Gennarelli,G,0,,2028,114,54.9,77.7,26.7,56.9,71,0,1,0,15,0,0,30,45,15,30,ARMY,ARMY,,,,
170981,Cale Hellums,QB,0,,2028,114,51.2,75.4,,60,03,0,1,15,0,0,21,9,45,15,30,ARMY,ARMY,76.2,,59.1,42.5
170984,Samari Howard,FB,0,,2028,114,53.1,75.2,23.8,53.8,27,1,1,0,5,3,6,13,27,8,19,ARMY,ARMY,70.5,57.1,57.8,
171004,Parker Poloskey,TE,0,,2028,114,48.5,75.2,41.9,52.8,44,0,1,0,5,9,0,24,38,14,24,ARMY,ARMY,,53.1,,
171009,Jake Rendina,HB,0,,2028,114,64,75,80,65.5,33,0,1,0,9,0,1,11,21,9,12,ARMY,ARMY,62.5,,58.5,
171015,Brady Small,C,0,,2028,114,61.8,0,80,63,51,1,1,0,15,0,0,30,45,15,30,ARMY,ARMY,,,,
171030,Teddy Williams,T,0,,2028,114,76.9,0,71.4,80.3,74,1,1,0,15,0,0,30,45,15,30,ARMY,ARMY,,,,
175232,Kendall Evans,WR,0,,2028,237,60,69,,60,84,0,1,0,0,0,0,4,4,0,4,NAVY,NAVY,,,,
175238,Joshua Guerin,WR,0,,2028,237,57.8,72.9,,60.8,86,0,1,0,0,4,0,7,11,4,7,NAVY,NAVY,,57.7,,
175242,Luke Hutchison,WR,0,,2028,237,53.6,0,,79.8,89,1,1,0,0,8,0,17,25,8,17,NAVY,NAVY,,54.8,,
175253,Cam Nichols,C,0,,2028,237,61.9,79.5,72,59.7,69,0,1,0,18,0,0,48,66,18,48,NAVY,NAVY,,,,
175255,Jake Norris,TE,0,,2028,237,54.6,75.3,66.7,57.6,85,0,1,0,2,9,0,36,47,11,36,NAVY,NAVY,,53.3,,
175268,Hoke Smith II,G,0,,2028,237,59.5,78.9,82.7,56.9,79,0,1,0,18,0,0,48,66,18,48,NAVY,NAVY,,,,
175276,Braxton Woodson,QB,0,,2028,237,78.7,67.7,,59.4,05,0,1,0,0,1,0,3,4,1,3,NAVY,NAVY,61,74.6,,
189467,Michael Barrow,FB,0,,2029,237,60,66,,60,26,0,1,0,0,0,0,2,2,0,2,NAVY,NAVY,,,,
189479,Sean Crowley,T,0,,2029,237,54.6,77.1,53.8,54.4,73,0,1,0,18,0,0,48,66,18,48,NAVY,NAVY,,,,
189483,Theo Elwell,TE,0,,2029,237,45.4,70.7,11.8,56.1,87,0,1,0,2,3,0,7,12,5,7,NAVY,NAVY,,57.3,,
189515,Charles Robinson,FB,0,,2029,237,57.8,70.3,,57.4,23,0,1,0,0,1,0,5,6,1,5,NAVY,NAVY,,60,,
190493,Brady Anderson,WR,0,,2029,114,75.8,76.3,,56.7,84,0,1,0,0,14,0,18,32,14,18,ARMY,ARMY,62.9,76.2,,
190498,Tex Brannan,TE,0,,2029,114,56.4,69.2,,58.3,86,0,1,0,0,1,0,6,7,1,6,ARMY,ARMY,,58.7,,
190543,Aden Self,FB,0,,2029,114,52.1,75.9,14.5,68.6,02,0,1,0,4,5,0,15,24,9,15,ARMY,ARMY,,55.9,,
205144,Malcolm Johnson,T,0,,2030,237,62.1,76.6,75.7,58.3,50,0,1,0,18,0,0,48,66,18,48,NAVY,NAVY,,,,
205152,Jordan Collins,TE,0,,2030,237,54.8,69.7,,52.2,36,0,1,0,0,2,0,5,7,2,5,NAVY,NAVY,,60.7,,
90602,JT Reed,C,0,,2026,233,61.1,0,65.4,63.1,55,1,1,0,21,0,0,37,58,21,37,MONTANA ST,MONTANA ST,,,,
98287,Matt Smith,TE,0,,2027,274,46.2,71.9,67.8,49.1,81,0,1,0,1,6,0,12,19,7,12,RHODE ISLD,RHODE ISLD,61.9,51.9,,
99114,Jake Pope,T,0,,2026,188,63.3,30.5,80.5,57.4,67,1,1,0,60,0,0,33,93,60,33,ILL STATE,ILL STATE,,,,
101649,Julius Davis,HB,0,,2026,233,68.8,73,75.7,59.4,32,0,1,0,3,7,12,2,24,10,14,MONTANA ST,MONTANA ST,74,56.3,68.5,
105438,Dillon Botner,C,0,,2026,232,49.7,74.7,32.5,52.1,60,0,1,0,7,0,0,10,17,7,10,MONTANA,MONTANA,,,,
105484,Brock Bethea,T,0,,2026,274,73.2,77.4,91.6,58.7,79,0,1,0,50,0,0,21,71,50,21,RHODE ISLD,RHODE ISLD,,,,
122107,Lavar Lindo,TE,0,,2026,301,53.5,74.1,70.4,57.1,88,0,1,0,2,9,0,10,21,11,10,STF AUSTIN,STF AUSTIN,,52.7,,
122484,Ryan King,WR,0,,2026,233,58.1,72.2,,60.8,09,0,1,0,0,2,0,6,8,2,6,MONTANA ST,MONTANA ST,,58.3,,
122508,Aidan Bouman,QB,0,,2026,291,91,76.3,,60,02,0,1,18,0,0,2,39,59,18,41,S DAKOTA,S DAKOTA,68.3,,60.1,91.3
122873,Patrick Matan,G,0,,2026,232,60.8,79.7,70.2,58.1,76,0,1,0,40,0,0,42,82,40,42,MONTANA,MONTANA,,,,
122948,Trevon West,WR,0,,2026,401,55.3,76.8,,59.9,19,0,1,0,0,28,0,27,55,28,27,TARLETON,TARLETON,64.1,55,,
122971,Jake Henry,G,0,,2026,301,52.5,79.2,66.8,46.3,56,0,1,0,35,0,0,19,54,35,19,STF AUSTIN,STF AUSTIN,,,,
123307,Isaiah Davis,WR,0,,2026,301,53.4,76,,44.5,14,1,1,0,0,12,0,11,23,12,11,STF AUSTIN,STF AUSTIN,62.9,55.7,,
123504,Stone Earle,QB,0,,2026,100,63.2,25.4,,60,04,1,1,46,0,0,6,19,71,46,25,ABILENE CH,ABILENE CH,71.7,,71.3,57.3
125217,Jose Balver-Mendoza,T,0,,2029,232,60,63.5,,60,75,0,1,0,0,0,0,1,1,0,1,MONTANA,MONTANA,,,,
125281,Seth Anderson,T,1,,2026,249,66.5,12,66.7,71.7,71,2,1,0,39,0,0,21,60,39,21,N DAKOTA,N DAKOTA,,,,
125301,RaJa Nelson,WR,0,,2026,250,57.9,74.4,,59,03,0,1,0,0,21,0,9,30,21,9,N DAK ST,N DAK ST,66.2,58,,
125693,Peyton Kramer,WR,0,,2026,401,69.6,77.5,,59.3,13,0,1,0,0,26,0,22,48,26,22,TARLETON,TARLETON,64.1,69.6,,
126950,Daniel Greek,QB,0,,2026,401,73.9,65.5,,,03,0,1,0,0,0,2,0,2,0,2,TARLETON,TARLETON,65.5,,67.5,
127151,Jordan Nabors,WR,0,,2026,301,56.4,70.9,,60,05,0,1,0,0,4,0,3,7,4,3,STF AUSTIN,STF AUSTIN,,56.9,,
129712,Eli Simonson,T,0,,2026,322,63.2,77.6,72.7,57.3,70,0,1,0,44,0,0,30,74,44,30,UC DAVIS,UC DAVIS,,,,
129780,George French II,T,0,,2026,100,56.7,21.3,75.2,50.7,77,2,1,0,47,0,0,25,72,47,25,ABILENE CH,ABILENE CH,,,,
129885,Chris Long,WR,0,,2026,233,57.8,77.3,,57.4,01,0,1,0,0,21,0,28,49,21,28,MONTANA ST,MONTANA ST,61,57.9,,
129904,Kevin Schaeffer,TE,0,,2027,274,46.6,71.2,,44.3,88,0,1,0,0,1,0,4,5,1,4,RHODE ISLD,RHODE ISLD,,60,,
130440,Cade Klimczak,C,0,,2026,232,53.5,0,55.9,57.3,72,1,1,0,33,0,0,33,66,33,33,MONTANA,MONTANA,,,,
131652,Everett Johnson,T,0,,2026,232,66.3,74.9,61.5,65.8,62,0,1,0,19,0,0,22,41,19,22,MONTANA,MONTANA,,,,
131932,Victor Gabalis,QB,0,,2026,401,87.5,77.2,,60.1,11,0,1,32,0,0,3,39,74,32,42,TARLETON,TARLETON,27.1,,59.3,90
134662,Caleb Lewis,HB,0,,2026,401,56.6,73,76.4,60,06,0,1,0,2,6,9,3,20,8,12,TARLETON,TARLETON,75.7,55.7,56.7,
138198,Micah Barnhart,G,0,,2026,188,50.6,81.2,59.6,44.3,69,0,1,0,60,0,0,33,93,60,33,ILL STATE,ILL STATE,,,,
138202,Javon Charles,TE,0,,2026,188,55.4,77,71.7,51.6,85,0,1,0,6,19,0,25,50,25,25,ILL STATE,ILL STATE,61,57,,
138481,Isaiah Garcia-Castaneda,WR,0,,2026,292,74.4,76,,60,02,0,1,0,0,15,0,3,18,15,3,S DAK ST,S DAK ST,64.6,72.1,,
141298,Cannon Panfiloff,T,0,,2026,232,57.2,78,80.8,48.4,69,0,1,0,40,0,0,43,83,40,43,MONTANA,MONTANA,,,,
141853,Zach Witte,TE,0,,2026,291,49.5,73.9,70.8,51.7,89,0,1,0,3,7,0,27,37,10,27,S DAKOTA,S DAKOTA,,51.8,,
142158,Grant Harper,QB,0,,2026,322,60.9,65.5,,,10,0,1,0,0,0,2,0,2,0,2,UC DAVIS,UC DAVIS,65.5,,60.1,
