playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,gradesCoverageDefense,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,snapCountsFs,touchdowns,snapCountsDlOutsideT,gradesPassRushDefense
165685,Alex Bowman Jr.,DI,0,0,,0,0,,ABILENE CH,0,D09,0,0,0,3,1,2027,3,,0,0,,0,0,0,0,0,0,,0,0,0,0,ABILENE CH,0,0,0,0,,0,,58.8,,67.8,0,100,3,0,3,0,0,0,0,0,0,0,0,58.7
166398,Justin Carcel,S,1,0,,0,0,100,RHODE ISLD,0,D22,28,12,0,0,1,2026,1,75.3,27,1,30.8,0,0,13,0,0,0,68.8,0,0,0,0,RHODE ISLD,0,0,0,0,27,3,0,40.7,27,75.8,0,274,29,0,0,0,118.8,16,0,1,13,0,1,
167150,Xavier Potts,DI,0,0,,0,0,,STF AUSTIN,1,D22,1,1,0,25,1,2027,39,70.1,0,0,,2,0,0,3,21,0,72,0,1,1,0,STF AUSTIN,1,0,3,0,,0,0,64,,0,0,301,40,0,14,0,0,15,1,0,0,0,1,61
168336,Avian Rice,S,1,0,,0,0,100,TARLETON,5,D24,15,10,0,0,1,2027,0,72.5,-1,1,80.3,0,0,7,0,0,0,69.5,0,0,0,0,TARLETON,3,0,0,0,-1,0,0,79.5,-1,69.6,0,401,15,1,0,0,79.2,8,1,0,4,0,0,
168462,DeJuan Lewis,S,2,0,,0,0,50,S DAKOTA,3,D02,51,4,0,0,1,2026,0,80.9,1,1,69.3,0,0,29,0,0,0,68,0,0,0,0,S DAKOTA,1,0,0,0,1,9,0,70.4,1,77.6,0,291,51,0,0,0,56.3,22,0,0,38,0,0,
170697,Zac Crews,ED,0,0,,0,1,,MONTANA ST,3,D36,0,0,1,17,1,2027,37,55,0,0,64.9,0,0,1,0,0,1,63.3,0,2,0,0,MONTANA ST,3,0,3,0,,0,25,73.3,,77.5,0,233,37,0,0,0,0,19,1,0,0,0,37,70.2
170702,Dominic Solano,ED,0,0,,0,0,,MONTANA ST,2,D58,0,0,0,19,1,2028,37,74.5,0,0,60,0,0,0,2,0,0,66.3,0,2,0,0,MONTANA ST,3,0,2,0,,0,0,70.6,,76.2,0,233,37,0,13,0,0,18,0,0,0,0,22,68
170706,Taki Uluilakepa,S,0,0,,0,0,,MONTANA ST,2,D02,34,6,0,0,1,2028,0,82.9,0,0,66,0,0,16,0,0,0,69.1,0,0,0,0,MONTANA ST,1,0,0,0,,2,0,72.5,,75.7,0,233,34,0,0,0,0,18,1,2,26,0,0,75.3
170726,Brodrick Stewart,DI,0,0,,0,0,,TARLETON,0,D78,0,0,0,4,1,2028,7,,0,0,,0,0,0,0,0,0,61.1,0,0,0,0,TARLETON,0,0,0,0,,0,,60.4,,70,0,401,7,0,7,0,0,3,0,0,0,0,0,57.9
170920,Zahmir Dawud,CB,4,0,,0,0,25,VILLANOVA,3,D02,36,8,0,0,1,2028,8,77.9,3,1,66.3,0,0,20,0,0,0,76.9,27,0,1,0,VILLANOVA,2,0,0,0,3,1,0,72,3,76.8,0,334,44,2,0,0,39.6,24,0,0,0,0,8,
170923,Jason Hall Jr.,LB,0,0,,0,1,,VILLANOVA,1,D11,8,7,0,6,1,2028,8,25.6,0,0,61,3,0,2,0,0,0,56.1,0,0,0,0,VILLANOVA,1,0,3,0,,1,50,63.1,,75,0,334,16,0,0,0,0,8,0,0,0,0,8,68
170927,Capri Martin,ED,0,0,,0,0,,VILLANOVA,7,D00,0,0,0,24,1,2028,58,78.9,0,0,,1,0,0,30,5,0,78.9,0,0,0,0,VILLANOVA,6,0,1,0,,0,0,73.9,,75.6,0,334,58,0,17,0,0,34,2,1,0,0,6,56.4
170931,Ivan Murray Jr.,DI,0,0,,0,0,,VILLANOVA,0,D94,0,0,0,2,1,2029,3,,0,0,,0,0,0,0,1,0,60,0,0,0,0,VILLANOVA,0,0,0,0,,0,,60.1,,68.2,0,334,3,0,2,0,0,1,0,0,0,0,0,59
