playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesPuntReturn,gradesKickoffKicker,gradesFgepKicker,gradesKickReturn,gradesPunter,gradesLongSnap
175338,Logan Galletta,WR,0,1,,2029,205,,34.2,26.2,13,0,1,1,0,0,0,3,1,7,0,LEHIGH,LEHIGH,11,,,,,,,
175510,Vilay Nakkoun Jr.,WR,0,0,,2027,100,,61.5,69.8,17,0,0,1,0,0,7,8,0,0,0,ABILENE CH,ABILENE CH,15,,,,,59.6,,
175645,Dylan Mauro,P,0,0,,2029,322,60,60.9,64.6,S36,0,0,1,7,0,0,0,3,0,0,UC DAVIS,UC DAVIS,10,,,,,,61.7,
175761,Caleb Otlewski,ED,0,0,,2028,232,,60.3,66.3,D45,0,0,1,0,3,0,0,2,1,0,MONTANA,MONTANA,6,59.8,,,,,,
175972,Prince Ford,CB,0,0,,2026,232,,60,63.6,D06,0,0,1,0,1,0,0,0,0,0,MONTANA,MONTANA,1,59.9,,,,,,
176305,Marius Landsfeld,DI,0,0,,2028,219,,60.7,85.9,D94,0,0,1,0,1,0,0,0,1,0,MERCER,MERCER,2,59.8,,,,,,
176760,Everett Carr,G,0,0,,2028,233,60,60.8,66.5,57,0,0,1,3,0,0,0,0,0,0,MONTANA ST,MONTANA ST,3,,,,,,,
176762,Colson Coon,HB,0,0,,2028,233,,66.4,72.1,28,0,0,1,0,0,4,3,6,4,1,MONTANA ST,MONTANA ST,17,,,,,61.8,,
176765,Tayden Gray,S,0,0,,2028,233,,60,61.7,D07,0,0,1,0,1,0,0,0,0,0,MONTANA ST,MONTANA ST,1,60,,,,,,
176766,Bryce Grebe,LB,0,0,,2028,233,,60,62.9,D10,0,0,1,0,1,0,0,0,0,0,MONTANA ST,MONTANA ST,1,60,,,,,,
176769,Adam Jones,HB,0,0,,2028,233,,60.2,66.4,23,0,0,1,0,0,0,3,0,0,0,MONTANA ST,MONTANA ST,3,,,,,,,
176774,Colter Petre,S,0,0,,2028,233,,49.5,69,D24,1,0,1,0,0,4,2,6,4,0,MONTANA ST,MONTANA ST,16,,,,,,,
176776,Hunter Provience,TE,0,0,,2028,233,60,60.8,63.9,86,0,0,1,3,0,0,1,0,0,0,MONTANA ST,MONTANA ST,4,,,,,,,
176779,Cole Taylor,LB,0,0,,2028,233,,60.4,63.6,D34,0,0,1,0,1,0,2,0,0,0,MONTANA ST,MONTANA ST,3,60,,,,,,
