playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesRun,gradesPass
63709,Spencer Curtis,WR,0,,2025,180,64.1,72.7,74.1,71.1,61,14,0,1,0,0,10,0,7,17,10,7,HAWAII,HAWAII,,,
71332,Sean Dollars,HB,0,,2026,239,73.6,56.1,0,62.2,56.3,04,1,1,0,7,12,11,9,39,19,20,NEVADA,NEVADA,80.9,56.6,
71382,Luke Felix-Fualalo,T,0,2025,2025,180,,74.1,75.2,,65.2,72,0,1,0,29,0,0,17,46,29,17,HAWAII,HAWAII,86.4,,
71502,Andrew Madrigal,C,0,,2026,239,,49.9,80,,49.4,78,0,1,0,34,0,0,42,76,34,42,NEVADA,NEVADA,58.7,,
72158,Jake Bailey,WR,0,,2025,287,,46.5,75.8,46.8,61.5,12,0,1,0,0,22,0,14,36,22,14,SMU,SMU,,,
81559,Spencer Lovell,G,0,,2025,239,,62.2,79.4,,60.7,76,0,1,0,34,0,0,42,76,34,42,NEVADA,NEVADA,65.5,,
81883,Baraka Beckett,G,0,,2025,241,,63,79.4,,58.9,56,0,1,0,32,0,0,27,59,32,27,NEW MEXICO,NEW MEXICO,83.3,,
86114,Sergio Muasau,C,0,,2025,180,,66.8,78,,63.9,66,0,1,0,29,0,0,16,45,29,16,HAWAII,HAWAII,71.4,,
97120,Pat Garwo III,HB,0,,2025,239,64.3,82,68.4,74.8,,05,0,1,0,0,1,1,0,2,1,1,NEVADA,NEVADA,,63.3,
97321,Ryan Davis,WR,0,,2026,241,64.1,54.7,77.1,55.1,56.8,18,0,1,0,0,24,0,14,38,24,14,NEW MEXICO,NEW MEXICO,,,
97645,Jakai Clark,C,0,,2025,287,,64.4,78.1,,60.5,53,0,1,0,33,0,0,19,52,33,19,SMU,SMU,79.6,,
97798,Jonah Panoke,WR,0,,2025,180,,52,77.7,52,61,01,0,1,0,0,18,0,14,32,18,14,HAWAII,HAWAII,,,
98501,Ryland Goede,TE,0,,2025,176,,55.3,70.6,57.8,55.9,86,0,1,0,1,2,0,5,8,3,5,GA TECH,GA TECH,69.5,,
99071,Justin Osborne,G,1,2025,2025,287,,54.5,80,,58.2,51,1,1,0,45,0,0,30,75,45,30,SMU,SMU,38.8,,
99072,Keiondre Jones,G,1,,2025,167,,64.7,75.8,,68,75,1,1,0,14,0,0,15,29,14,15,FLORIDA ST,FLORIDA ST,39.5,,
99205,Chase Lane,WR,0,,2025,176,62.9,70.4,76.1,73.9,45.5,07,0,1,0,0,12,0,17,29,12,17,GA TECH,GA TECH,,,
99650,Maurice Smith,C,0,,2025,167,,65.1,79.2,,61.7,53,0,1,0,32,0,0,29,61,32,29,FLORIDA ST,FLORIDA ST,72.9,,
99679,Darius Washington,T,0,,2025,167,,65.9,76.8,,60.6,76,1,1,0,32,0,0,30,62,32,30,FLORIDA ST,FLORIDA ST,75.2,,
99867,Ryan Fitzgerald,K,0,2025,2025,167,,60,63.9,,60,S88,0,1,0,0,0,0,1,1,0,1,FLORIDA ST,FLORIDA ST,,,
100806,Jeremiah Byers,T,1,2025,2025,167,,56.1,6.5,,57.7,63,1,1,0,28,0,0,26,54,28,26,FLORIDA ST,FLORIDA ST,68,,
102637,Jaden Smith,WR,0,2025,2025,239,65.3,62.5,0,62,58.4,01,1,1,1,0,31,0,38,70,32,38,NEVADA,NEVADA,,,73.1
104082,Marcus Bellon,WR,0,,2026,239,69.9,56.6,78.6,56.2,58.8,18,0,1,0,0,30,0,35,65,30,35,NEVADA,NEVADA,,,
109374,Jackson Hawes,TE,0,2025,2025,176,,62.9,76.8,53,70.6,85,0,1,0,3,10,0,33,46,13,33,GA TECH,GA TECH,69.2,,
121916,Will Benton IV,LS,0,,2026,287,,60,60,,60,S48,0,1,0,0,0,0,1,1,0,1,SMU,SMU,,,
121949,Ben Sparks,G,0,,2025,287,,57.7,75.2,,53.2,75,0,1,0,12,0,0,11,23,12,11,SMU,SMU,83,,
122162,DJ Uiagalelei,QB,0,2025,2025,167,69.9,68.2,76.3,,60,04,0,1,32,0,0,3,26,61,32,29,FLORIDA ST,FLORIDA ST,,62.3,67
122215,Jaylan Knighton,HB,0,,2026,287,69.2,55.8,73.1,66,60,04,0,1,0,2,18,4,2,26,20,6,SMU,SMU,38.2,52.1,
122397,Ja'Khi Douglas,WR,0,,2025,167,65,78.9,73.9,78.2,55.7,00,0,1,0,0,16,0,11,27,16,11,FLORIDA ST,FLORIDA ST,,,
122406,Alex Mastromanno,P,0,,2025,167,,60,63.8,,60,S29,0,1,0,0,0,0,1,1,0,1,FLORIDA ST,FLORIDA ST,,,
122411,Kentron Poitier,WR,0,,2025,167,61,67.5,73.8,66.9,59.6,01,0,1,0,0,7,0,9,16,7,9,FLORIDA ST,FLORIDA ST,,,
122415,Robert Scott Jr.,T,0,,2025,167,,55.8,69.6,,69.9,52,0,1,0,4,0,0,4,8,4,4,FLORIDA ST,FLORIDA ST,0,,
122421,Lawrance Toafili,HB,0,2025,2025,167,72.2,66.3,75.5,75.2,60.1,09,0,1,0,2,15,8,3,28,17,11,FLORIDA ST,FLORIDA ST,73.7,59.1,
122425,Darion Williamson,WR,0,,2026,167,,55.1,73.9,55.4,58.6,21,0,1,0,0,9,0,9,18,9,9,FLORIDA ST,FLORIDA ST,,,
122469,Avery Boyd,TE,0,,2025,176,61,71,69.3,80.3,47.7,09,0,1,0,0,2,0,4,6,2,4,GA TECH,GA TECH,,,
