playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesFgepDefense,gradesPunter,gradesFgepKicker,gradesKickoffKicker,gradesPuntReturn,gradesLongSnap,gradesKickReturn
176762,Colson Coon,HB,0,0,,2028,233,60.1,69.5,28,0,0,1,0,0,6,6,1,2,0,MONTANA ST,MONTANA ST,15,,,,,,,,
176764,Patrick Duchien,QB,0,0,,2028,233,60.4,60.5,15,0,0,1,5,0,0,0,0,0,0,MONTANA ST,MONTANA ST,5,60,,,,,,,
176766,Bryce Grebe,LB,0,0,,2028,233,55.5,65.4,D10,0,0,1,0,0,6,0,2,0,0,MONTANA ST,MONTANA ST,8,,,,,,,,
176767,Scottre Humphrey,HB,0,0,,2028,233,60.7,66.3,22,0,0,1,0,0,3,0,0,0,0,MONTANA ST,MONTANA ST,3,,,,,,,,
176775,Andrew Powdrell,CB,0,0,,2028,233,60.2,65.1,D01,0,0,1,0,3,0,0,0,0,0,MONTANA ST,MONTANA ST,3,,60,,,,,,
176779,Cole Taylor,LB,0,0,,2028,233,74,69.1,D34,0,0,1,0,0,0,6,0,2,0,MONTANA ST,MONTANA ST,8,,,,,,,,
177011,Marquise Brunson,DI,0,0,,2027,152,60.5,65.3,D97,0,0,1,0,2,0,0,0,2,0,DELWARE ST,DELWARE ST,4,,59.3,,,,,,
177012,Alexander Cossignani,DI,0,0,,2028,152,60.5,63.9,D95,0,0,1,2,2,0,0,0,1,0,DELWARE ST,DELWARE ST,5,60,59.4,,,,,,
177026,Chandler Swoope,CB,0,0,,2026,152,55.8,68,D36,0,0,1,0,0,0,0,2,5,0,DELWARE ST,DELWARE ST,7,,,,,,,,
177059,Samuel Eskridge,T,0,0,,2030,244,61.3,66.7,64,0,0,1,4,0,0,0,3,0,0,NORFOLK,NORFOLK,7,60,,,,,,,
177060,Dantey Menard,DI,0,0,,2027,244,60,62.7,D96,0,0,1,0,1,0,0,0,0,0,NORFOLK,NORFOLK,1,,59.8,,,,,,
177063,Grant Gaffney,DI,0,0,,2027,244,60.2,64.6,D92,0,0,1,0,2,0,0,0,1,0,NORFOLK,NORFOLK,3,,59.5,,,,,,
177065,Taesean Burt,TE,0,0,,2027,244,60.9,67,80,0,0,1,4,0,0,3,0,0,0,NORFOLK,NORFOLK,7,60,,,,,,,
177067,AJ Richardson,LB,0,0,,2028,244,70.8,66.9,D15,0,0,1,0,4,5,0,3,2,2,NORFOLK,NORFOLK,14,,59.9,,,,,,
177081,Noah Tracey,K,0,0,,2027,244,60.7,65.8,S01,0,1,1,4,0,0,0,3,0,0,NORFOLK,NORFOLK,7,60,,60.1,,,,,
177082,Aaron Evans,CB,0,0,,2028,244,60.8,65.5,D33,0,0,1,0,0,2,4,0,1,0,NORFOLK,NORFOLK,7,,,,,,,,
177547,Zach Hudson,T,0,0,,2027,293,60.8,66.5,63,0,0,1,3,0,0,0,0,0,0,SE MO ST,SE MO ST,3,60,,,,,,,
177564,Anthony Westervelt,WR,0,0,,2028,293,60.5,68.1,84,0,0,1,0,0,0,3,0,0,0,SE MO ST,SE MO ST,3,,,,,,,,
177974,Levi Wyatt,CB,0,0,,2026,217,60.8,66.9,D02,0,0,1,0,0,0,0,0,3,0,MCNEESE,MCNEESE,3,,,,,,,,
178455,Steve Albert Jr.,LB,0,0,,2028,401,60.4,65.3,D25,0,0,1,0,1,0,5,0,2,0,TARLETON,TARLETON,8,,60,,,,,,
178462,Kasyus Kurns,CB,0,0,,2026,401,74.5,75.1,D02,0,0,1,0,5,0,0,6,0,1,TARLETON,TARLETON,11,,59.9,,,,,,
178465,Dawson Otto,TE,0,0,,2025,401,61.4,60.6,80,0,0,1,7,0,0,0,0,0,0,TARLETON,TARLETON,7,60,,,,,,,
182314,Ty Rawls,S,0,0,,2026,401,60,75,D06,0,0,1,0,4,0,0,6,0,0,TARLETON,TARLETON,10,,59.9,,,,,,
182317,Charles Perkins,ED,0,0,,2025,401,59.7,63.1,D56,0,0,1,0,1,0,0,0,0,0,TARLETON,TARLETON,1,,59.4,,,,,,
182321,Deonte Bryant,ED,0,0,,2025,401,60.3,78.6,D46,0,0,1,0,4,0,0,0,0,0,TARLETON,TARLETON,4,,59.2,,,,,,
182843,Artis Hall,G,0,0,,2026,401,61.1,65.7,58,0,0,1,3,0,0,0,0,0,0,TARLETON,TARLETON,3,60,,,,,,,
182862,James Gardner Jr.,ED,0,0,,2026,164,59.6,65.9,D94,0,0,1,0,0,0,0,3,0,0,FL A&M,FL A&M,3,,,,,,,,
182907,Tramaine Chism,DI,0,0,,2026,401,59.8,62,D92,0,0,1,0,1,0,0,0,0,0,TARLETON,TARLETON,1,,59.6,,,,,,
186014,Finn Lappin,P,0,0,,2026,217,60.8,65.6,S35,0,0,1,5,0,0,0,4,0,0,MCNEESE,MCNEESE,9,60,,64.5,,,,,
186020,Simeon Mitchell,DI,0,0,,2026,217,60.8,67.8,D95,0,0,1,0,0,0,0,0,3,0,MCNEESE,MCNEESE,3,,,,,,,,
186029,Bryce Strong,HB,0,0,,2026,217,61.4,68,22,0,0,1,0,0,5,0,0,0,0,MCNEESE,MCNEESE,5,,,,,,,,
189024,Josh Anglin,LB,0,0,,2029,389,59.6,65.9,D19,0,0,1,0,0,0,0,3,0,0,N ALABAMA,N ALABAMA,3,,,,,,,,
189026,Christopher Burnett,CB,0,0,,2027,389,60.6,64.3,D12,0,0,1,0,1,3,0,0,0,0,N ALABAMA,N ALABAMA,4,,60,,,,,,
189028,Logan Collier,WR,0,0,,2025,389,59.9,65.6,09,0,0,1,0,0,0,7,3,4,0,N ALABAMA,N ALABAMA,14,,,,,,63.1,,58.2
189033,Anthony Faiivae,C,0,0,,2027,389,60,63.7,75,0,0,1,1,0,0,0,0,0,0,N ALABAMA,N ALABAMA,1,60,,,,,,,
189055,Jermaine Ray Jr.,CB,0,0,,2026,389,60.3,65,D03,0,0,1,0,3,0,0,0,0,0,N ALABAMA,N ALABAMA,3,,60,,,,,,
189057,Roderick Taylor Jr.,HB,0,0,,2029,389,39.7,26.4,32,0,1,1,0,0,3,7,0,3,0,N ALABAMA,N ALABAMA,13,,,,,,,,
191787,Kiron Benjamin,HB,0,0,,2027,244,60.2,66.4,20,0,0,1,0,0,0,5,0,0,0,NORFOLK,NORFOLK,5,,,,,,,,
191797,Jordan Harris,ED,0,0,,2029,244,60,63.8,D46,0,0,1,0,0,0,0,0,1,0,NORFOLK,NORFOLK,1,,,,,,,,
191802,Robert Kendrick,S,1,0,,2028,244,69.7,64.3,D29,0,0,1,0,0,1,0,0,1,0,NORFOLK,NORFOLK,2,,,,,,,,
191817,Martell Williams,LB,0,0,,2026,244,60,63.5,D57,0,0,1,0,0,0,0,0,1,0,NORFOLK,NORFOLK,1,,,,,,,,
192433,Kyle Jackson,LB,0,0,,2027,401,60.1,63.8,D19,0,0,1,0,2,0,0,0,0,0,TARLETON,TARLETON,2,,60.1,,,,,,
192459,Jeremiah Postell,S,0,0,,2027,401,61.4,69.7,D21,0,0,1,0,0,4,5,0,0,0,TARLETON,TARLETON,9,,,,,,,,
192461,Bam Smith,LB,0,0,,2026,401,61.6,67.6,D17,0,0,1,0,1,0,0,0,4,0,TARLETON,TARLETON,5,,60,,,,,,
192470,Branson Tita-Nwa,CB,0,0,,2026,401,62.2,69.6,D08,0,0,1,0,1,6,0,6,4,0,TARLETON,TARLETON,17,,60,,,,,,
192481,Vililami Wolfgramm,DI,0,0,,2027,401,60.3,80.1,D44,0,0,1,0,3,0,0,0,0,0,TARLETON,TARLETON,3,,59.1,,,,,,
192776,Rashee Bell,LB,0,0,,2029,152,35.1,66.3,D47,0,0,1,0,0,3,0,0,0,0,DELWARE ST,DELWARE ST,3,,,,,,,,
192848,Payton Brown,HB,0,0,,2029,293,60.9,66.9,22,0,0,1,0,0,0,3,0,2,0,SE MO ST,SE MO ST,5,,,,,,,,
192849,McCoy Casey,ED,0,0,,2027,293,59.8,66.5,D04,0,0,1,0,1,0,0,4,1,0,SE MO ST,SE MO ST,6,,59.7,,,,,,
192869,Adrian Patterson,CB,0,0,,2027,293,60.2,64.9,D09,0,0,1,0,1,0,0,0,1,0,SE MO ST,SE MO ST,2,,59.9,,,,,,
192876,Landon Sylvie,CB,0,0,,2029,293,72.1,65.9,D34,0,0,1,0,0,7,3,0,2,2,SE MO ST,SE MO ST,12,,,,,,,,
