playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,gradesCoverageDefense,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,gradesPassRushDefense,snapCountsFs,touchdowns,snapCountsDlOutsideT
73151,Henry Ikahihifo,ED,1,0,,0,0,100,NEVADA,4,D00,4,3,0,28,1,2026,46,80,11,1,60.1,1,0,4,0,0,0,78.2,0,1,0,0,NEVADA,4,0,2,0,11,1,0,70.6,11,81,0,239,50,1,0,0,112.5,18,2,1,60.1,0,0,46
74258,Justin Sinclair,S,3,0,,0,0,66.7,HAWAII,4,D06,39,4,0,1,1,2026,0,81.4,2,2,73,0,0,28,0,0,0,64.2,0,0,0,0,HAWAII,2,0,0,0,5,35,0,72.9,1,77.3,0,180,39,2,0,0,70.1,10,1,0,59.4,0,0,0
86077,Kitione Tau,DI,0,0,,0,0,,NEVADA,0,D52,0,0,0,2,1,2026,4,,0,0,,0,0,0,0,1,0,60.7,0,0,0,0,NEVADA,0,0,0,0,,0,,60.9,,69.9,0,239,4,0,3,0,0,2,0,0,58.8,0,0,0
87618,Logan Taylor,LB,2,0,,0,1,100,HAWAII,3,D16,28,28,0,3,1,2026,0,42.1,15,2,57.5,1,0,17,0,0,0,61.7,0,0,0,0,HAWAII,1,0,1,0,9,0,25,60.6,7.5,73.8,0,180,28,12,0,0,97.9,8,0,0,65.1,0,0,0
97225,Brandon Crossley,CB,1,0,2025,0,0,100,SMU,0,D01,35,2,0,0,1,2025,0,74.2,48,1,57.1,0,0,14,0,0,0,63.1,30,0,0,0,SMU,0,0,0,0,48,3,0,58.7,48,74.8,0,287,35,25,0,0,118.8,21,0,1,,0,0,0
97560,Thomas Gore,DI,0,0,,0,0,,GA TECH,0,D59,0,0,0,6,1,2025,15,70.2,0,0,,1,0,0,2,0,0,58.1,0,0,0,0,GA TECH,0,0,1,0,,0,0,62.3,,72.3,0,176,15,0,12,0,0,9,0,1,66.1,0,0,1
97701,Nalu Emerson,LB,2,0,,0,3,50,HAWAII,1,D11,34,27,0,2,1,2025,0,22.4,12,1,41.3,2,0,20,0,0,0,60.2,1,1,0,0,HAWAII,1,0,3,0,12,6,75,41.7,12,73.6,0,180,34,1,0,0,68.8,12,1,0,47,0,0,0
97888,Dominic Tatum,S,0,0,,0,0,,NEW MEXICO,0,D39,10,4,0,1,1,2025,0,74.8,0,0,49.4,0,0,8,0,0,0,60,0,0,1,0,NEW MEXICO,0,1,0,0,,3,0,49.9,,70.3,0,241,10,0,0,0,0,1,0,1,59.9,3,0,0
98118,Jahfari Harvey,ED,0,0,2025,0,0,,SMU,2,D06,0,0,0,24,1,2025,61,76.6,0,0,60,0,0,1,1,0,0,67.2,0,1,0,0,SMU,2,0,1,0,,0,0,63.1,,81.1,1,287,61,0,0,0,0,36,2,1,53.8,0,0,60
98313,Sylvain Yondjouen,ED,0,0,,0,0,,GA TECH,1,D32,0,0,0,13,1,2025,28,73,0,0,60,0,0,0,0,0,0,67.1,0,0,0,0,GA TECH,0,0,0,0,,0,0,67.4,,76.1,0,176,28,0,1,0,0,15,0,0,60.6,0,0,27
98331,Jared Harrison-Hunte,DI,0,0,2025,0,1,,SMU,3,D81,0,0,0,26,1,2025,58,55.1,0,0,60,0,0,0,11,1,0,67,0,0,0,0,SMU,3,0,0,0,,0,16.7,64.2,,76.4,0,287,58,0,46,0,0,32,0,2,56,0,0,0
98591,Fentrell Cypress II,CB,3,0,2025,0,0,33.3,FLORIDA ST,1,D23,52,0,0,0,1,2025,0,73.5,4,1,56.4,0,0,16,0,0,0,65,50,0,0,0,FLORIDA ST,1,0,0,0,4,2,0,58.8,4,77,0,167,52,0,0,0,42.4,36,0,0,,0,0,0
98842,Warren Burrell,CB,2,0,,0,1,50,GA TECH,0,D04,41,0,0,0,1,2025,0,27.3,6,1,64.8,0,0,23,0,0,0,63.7,40,0,0,0,GA TECH,0,0,0,0,6,1,100,65.5,6,75.9,0,176,41,1,0,0,56.3,18,0,0,,0,0,0
98893,Ishmael Az-Zahir,CB,3,0,,0,0,100,NEW MEXICO,1,D77,9,0,0,0,1,2025,0,74.2,54,3,41.7,0,0,6,0,0,0,60,9,0,0,0,NEW MEXICO,0,0,0,0,37,0,0,30.8,18,70.3,0,241,9,12,0,0,118.8,3,0,0,,0,0,0
98999,Kevin Harris,ED,0,0,,0,2,,GA TECH,1,D11,0,0,1,13,1,2025,30,26.3,0,0,60.4,0,0,2,1,0,0,50.7,0,0,0,0,GA TECH,2,0,1,0,,0,66.7,56.3,,77.9,0,176,30,0,0,0,0,15,0,0,63.4,0,0,29
99328,Kori Roberson Jr.,DI,0,0,,0,0,,SMU,1,D92,0,0,0,5,1,2025,15,71.9,0,0,,0,0,0,1,0,0,67.7,0,1,1,0,SMU,1,0,1,0,,0,0,60.5,,0,0,287,15,0,14,0,0,10,0,1,65.1,0,0,0
99842,Mike Lockhart,DI,0,0,,0,0,,SMU,0,D09,0,0,0,4,1,2026,8,,0,0,,0,0,0,0,0,0,62.7,0,0,0,0,SMU,0,0,0,0,,0,,62.1,,70.4,0,287,8,0,8,0,0,4,0,0,57.9,0,0,0
100413,Jojo Forest,CB,0,0,,0,0,,HAWAII,0,D08,34,0,0,0,1,2025,0,,0,0,66.6,0,0,20,0,0,0,61.7,33,0,0,0,HAWAII,0,0,0,0,,1,,67.1,,75.5,0,180,34,0,0,0,0,14,0,0,,0,0,0
100607,Jonathan McGill,S,3,0,,0,0,0,SMU,2,D02,49,17,0,0,1,2025,2,80.2,0,0,76.8,0,0,21,0,0,0,55,0,0,0,0,SMU,0,0,0,0,,18,0,70.8,,76.3,0,287,51,0,0,1,39.6,30,0,1,,14,0,2
