playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesPass,gradesRun
51984,Bentley Hanshaw,TE,0,,2025,206,61,58.2,71.9,57.6,60.2,15,0,1,0,0,5,0,3,8,5,3,LIBERTY,LIBERTY,,,
52369,Marshall Lang,TE,0,2025,2025,256,62.9,58.1,76.1,53.8,75.5,88,0,1,0,1,21,0,7,29,22,7,NWESTERN,NWESTERN,67.4,,
52487,Luke Kandra,G,0,2025,2025,138,,74,0,,77.8,67,1,1,0,24,0,0,35,59,24,35,CINCINNATI,CINCINNATI,77.8,,
52540,Jakob James,C,0,,2025,316,,50.6,78.9,,48.8,78,0,1,0,28,0,0,29,57,28,29,TOLEDO,TOLEDO,65.4,,
52545,Joe Royer,TE,0,2026,2026,138,62.9,64,77.4,61,74,11,0,1,0,1,19,0,15,35,20,15,CINCINNATI,CINCINNATI,72.2,,
52962,Michael McCalmont,TE,0,,2025,138,,60,63.3,,60,82,0,1,0,0,0,0,1,1,0,1,CINCINNATI,CINCINNATI,,,
53398,Eric Meeks,G,0,,2026,214,,57.7,77,,55.8,57,0,1,0,18,0,0,14,32,18,14,MARSHALL,MARSHALL,60.2,,
53851,Logan Osburn,C,0,,2025,214,,53.1,1.3,,57.1,65,1,1,0,40,0,0,26,66,40,26,MARSHALL,MARSHALL,54.2,,
54221,Sterling Berkhalter,WR,0,,2027,138,,57.4,72.6,57.3,60.6,84,0,1,0,0,3,0,9,12,3,9,CINCINNATI,CINCINNATI,,,
63709,Spencer Curtis,WR,0,,2025,180,62.9,62.8,77.7,62.5,60.5,14,0,1,0,0,26,0,13,39,26,13,HAWAII,HAWAII,,,
63838,Jack Coldiron,TE,0,,2025,221,61,55,76,57.8,53,89,0,1,0,1,6,0,19,26,7,19,MIAMI OH,MIAMI OH,67.9,,
70536,Sebastian Macaluso,WR,0,,2025,285,61,64.5,70.1,63.8,60,24,0,1,0,0,9,0,1,10,9,1,S JOSE ST,S JOSE ST,,,
70874,Jake Retzlaff,QB,0,,2026,128,70.7,61.3,76.5,,60,12,0,1,31,0,0,5,27,63,31,32,BYU,BYU,,59.8,61
70933,DeCarlos Brooks,HB,0,,2025,110,,60,64.9,60,60,25,0,1,0,0,1,0,1,2,1,1,ARIZONA ST,ARIZONA ST,,,
71008,General Booty,QB,0,,2026,209,60.3,76.9,66.6,,60,14,0,1,1,0,0,0,2,3,1,2,LA MONROE,LA MONROE,,75.7,
71304,Kyle Ford,WR,0,,2025,326,62.9,66.3,77.5,65.5,61.8,81,0,1,0,0,18,0,14,32,18,14,USC,USC,,,
71345,Bru McCoy,WR,0,,2025,307,65,59.6,77.7,59.1,62,05,0,1,0,0,41,0,26,67,41,26,TENNESSEE,TENNESSEE,,,
71382,Luke Felix-Fualalo,T,0,2025,2025,180,,65.2,76,,58.4,72,0,1,0,39,0,0,15,54,39,15,HAWAII,HAWAII,72.4,,
71409,Jamari Ferrell,HB,0,,2026,351,70.5,61.5,74,29.8,,06,0,1,0,3,9,6,0,18,12,6,WYOMING,WYOMING,76.3,,68.5
71674,Silas Bolden,WR,0,2025,2025,311,70.3,67.5,74.7,66.8,60.3,11,0,1,0,0,16,0,9,25,16,9,TEXAS,TEXAS,,,
72075,Josh Carlin,G,0,,2025,324,,53.5,79.8,,42.9,54,0,1,0,60,0,0,20,80,60,20,UCLA,UCLA,67.3,,
72178,Colby Bowman,WR,0,,2025,329,61,62.7,75.6,62.3,60,09,0,1,0,0,10,0,10,20,10,10,UTAH ST,UTAH ST,,,
72200,Marist Talavou,G,0,,2025,285,,61.1,79.3,,56.2,61,0,1,0,53,0,0,20,73,53,20,S JOSE ST,S JOSE ST,70.7,,
72208,Jude Wolfe,TE,0,,2025,284,,48,74.1,55.9,48.4,18,1,1,0,0,6,0,14,20,6,14,S DIEGO ST,S DIEGO ST,,,
72292,Canaan Yarro,C,0,,2025,242,,59.9,79.3,,55.5,56,0,1,0,28,0,0,34,62,28,34,NEW MEX ST,NEW MEX ST,82.6,,
72376,Cam Davis,HB,0,,2026,340,61,65.3,65.4,78.2,,22,0,1,0,0,2,0,0,2,2,0,WASHINGTON,WASHINGTON,,,
72689,Marshall Jackson,T,0,,2026,346,,66.1,75.6,,59.8,53,0,1,0,31,0,0,20,51,31,20,W KENTUCKY,W KENTUCKY,75,,
72705,Jacob Gideon,C,0,,2025,347,,70.9,79.8,,66.8,77,0,1,0,40,0,0,31,71,40,31,W MICHIGAN,W MICHIGAN,76.1,,
73148,Falcon Kaumatule,G,0,,2025,328,,50.8,69.4,,60,59,0,1,0,3,0,0,1,4,3,1,UTAH,UTAH,0,,
73929,Donovan Smith,QB,0,,2025,182,62.5,57.7,63.6,,,01,0,1,0,0,0,1,0,1,0,1,HOUSTON,HOUSTON,,,59.1
73930,Ryan Daly,TE,0,,2027,126,,59.1,63.4,60,,88,0,1,0,0,1,0,0,1,1,0,BUFFALO,BUFFALO,,,
73931,Luke Bottari,QB,0,,2025,328,60.3,61.9,68.1,,60,15,0,1,1,0,0,0,4,5,1,4,UTAH,UTAH,,61,
73978,Michael Churich,TE,0,,2025,324,,59.8,63.5,59.6,,89,0,1,0,0,1,0,0,1,1,0,UCLA,UCLA,,,
74236,Mason Murphy,T,0,2026,2026,326,,66.2,76.7,,70.9,76,0,1,0,38,0,0,30,68,38,30,USC,USC,47.3,,
74267,Melquan Stovall,WR,0,,2025,110,68.4,60.6,78,58.6,70.5,05,0,1,0,0,39,0,25,64,39,25,ARIZONA ST,ARIZONA ST,,,
74298,Justin Lockhart,WR,0,2025,2025,285,67.9,78.8,80,77.5,60.8,11,0,1,0,0,41,0,13,54,41,13,S JOSE ST,S JOSE ST,,,
74427,Anthony Landphere,TE,0,2025,2025,218,65,59.2,77.2,72.4,38.2,82,0,1,0,1,23,0,11,35,24,11,MEMPHIS,MEMPHIS,65.4,,
74638,Jack Monday,TE,0,,2026,202,,57.1,67,60,57.7,83,0,1,0,0,1,0,3,4,1,3,KENTUCKY,KENTUCKY,,,
74652,AJ Vaipulu,G,0,,2026,242,,63.2,79.7,,61.1,51,0,1,0,28,0,0,34,62,28,34,NEW MEX ST,NEW MEX ST,71.8,,
75288,Tegra Tshabola,G,0,,2028,260,,72,78.2,,73.4,77,0,1,0,26,0,0,29,55,26,29,OHIO STATE,OHIO STATE,62.3,,
76794,Malcolm Lamar Sr.,T,0,,2025,165,,41.6,17.5,,51.4,70,2,1,0,43,0,0,23,66,43,23,FAU,FAU,33.6,,
77307,Justin Holloway,LS,0,,2025,109,,60,60,,60,S31,0,1,0,0,0,0,1,1,0,1,ARIZONA,ARIZONA,,,
77383,John Campbell Jr.,T,0,,2025,307,,51.6,0,,52.9,74,1,1,0,25,0,0,17,42,25,17,TENNESSEE,TENNESSEE,66.5,,
77518,Marques Cox,T,0,2025,2025,202,,46.7,0,,45.9,69,1,1,0,16,0,0,17,33,16,17,KENTUCKY,KENTUCKY,79.1,,
77939,Anthony Torres,TE,0,2025,2025,316,61,57.4,77.2,62.8,47.8,88,0,1,0,5,15,0,23,43,20,23,TOLEDO,TOLEDO,72.8,,
78150,Sterling Galban,WR,0,,2026,216,,46.8,77,46.1,62.3,04,0,1,0,0,27,0,30,57,27,30,UMASS,UMASS,,,
81813,Reggie Sutton,T,0,,2025,278,,60,68.6,,59.8,70,0,1,0,0,0,0,4,4,0,4,RUTGERS,RUTGERS,,,
81860,Tank Jenkins,G,0,,2025,182,,60.8,78.6,,56.7,72,0,1,0,33,0,0,29,62,33,29,HOUSTON,HOUSTON,77.1,,
81883,Baraka Beckett,G,0,,2025,241,,62.6,80.4,,59.9,56,0,1,0,32,0,0,44,76,32,44,NEW MEXICO,NEW MEXICO,77.2,,
81896,Wyatt Bowles,G,0,2025,2025,329,,84.2,80.6,,88.4,60,1,1,0,39,0,0,41,80,39,41,UTAH ST,UTAH ST,61.2,,
82115,Ben Wooldridge,QB,0,2025,2025,207,67.6,51.2,74.2,,60,10,0,1,18,0,0,1,15,34,18,16,LA LAFAYET,LA LAFAYET,,46.2,64.7
82136,Spencer Petras,QB,0,,2025,329,69.6,65.4,76.4,,60,07,0,1,35,0,0,2,24,61,35,26,UTAH ST,UTAH ST,,66.8,53.9
83537,Tyler Shough,QB,0,2025,2025,210,69.1,70.6,76.7,,60,09,0,1,41,0,0,0,26,67,41,26,LOUISVILLE,LOUISVILLE,,69.7,
86142,Carson Lee,G,0,,2026,160,,63.6,75.2,,59.8,75,0,1,0,14,0,0,7,21,14,7,E MICHIGAN,E MICHIGAN,82,,
86272,Dillon Gabriel,QB,0,2025,2025,264,71.7,63.6,77.3,,60,08,0,1,36,0,0,7,29,72,36,36,OREGON,OREGON,,61.1,63.4
86392,Corey Kiner,HB,0,2025,2025,138,76.2,86.1,77.3,59.1,54.7,21,0,1,0,2,11,18,6,37,13,24,CINCINNATI,CINCINNATI,75.4,,86.2
86461,Jonah Monheim,C,0,2025,2025,326,,63.2,79.6,,61.8,79,0,1,0,38,0,0,30,68,38,30,USC,USC,62.5,,
86489,Alex Moore,T,0,,2025,101,,72.7,77.1,,68.9,76,0,1,0,8,0,0,64,72,8,64,AIR FORCE,AIR FORCE,82.7,,
86538,Chase Penry,WR,0,,2026,120,61,65.4,74.1,64.4,60.1,13,0,1,0,0,8,0,4,12,8,4,BOISE ST,BOISE ST,,,
88746,Landon Parker,WR,0,2025,2025,318,65,61.8,0,61.5,78.6,01,1,1,0,0,28,0,15,43,28,15,TROY,TROY,,,
90875,Hudson Mesa,C,0,,2026,285,,56.3,79.9,,52,60,0,1,0,53,0,0,20,73,53,20,S JOSE ST,S JOSE ST,65.5,,
97104,Lexington Joseph,HB,0,,2025,166,67.3,65.7,74,57.9,57.7,08,0,1,0,10,3,3,6,22,13,9,FIU,FIU,79.5,,64.8
97105,Cam Ross,WR,0,2026,2026,197,66.6,48.5,78.4,51,41.1,01,0,1,0,0,29,0,35,64,29,35,JAMES MAD,JAMES MAD,,,
97121,Gerald Green,HB,0,,2025,318,69.7,69.3,72.8,55.9,60,00,0,1,0,6,4,5,2,17,10,7,TROY,TROY,59,,70.2
97125,Jacquez Stuart,HB,0,,2025,316,72.5,78.5,71.1,65.8,60,00,0,1,0,1,1,8,1,11,2,9,TOLEDO,TOLEDO,70,,75.6
97127,Samario Rudolph,WR,0,,2026,196,67.5,53.1,73.4,54.5,55.4,03,0,1,0,0,9,0,6,15,9,6,JVILLE ST,JVILLE ST,,,
97161,Aaron Young,HB,0,,2025,263,75.8,67.9,76.8,53.8,57.9,05,0,1,0,2,21,17,9,49,23,26,DOMINION,DOMINION,74.7,,69.7
97171,Alante Brown,WR,0,,2027,223,,49.4,73.3,54.1,37.8,00,0,1,0,0,11,0,2,13,11,2,MICH STATE,MICH STATE,,,
97188,Dante Wright,WR,0,,2025,306,73.3,71.8,77.1,73.7,46.1,05,0,1,0,0,40,1,19,60,40,20,TEMPLE,TEMPLE,,,57.5
97191,Michael Brown Stephens,WR,0,,2025,327,,50.1,75,53,44.1,07,0,1,0,0,16,0,13,29,16,13,USF,USF,,,
97211,Christian Dremel,WR,0,,2025,278,63.8,53.3,79.9,53.1,59,80,0,1,0,0,14,0,17,31,14,17,RUTGERS,RUTGERS,,,
97213,Taylor Morin,WR,0,2025,2025,339,72.8,68.5,77.7,68.1,60.4,02,0,1,0,0,39,0,23,62,39,23,WAKE,WAKE,,,
97218,Jacob Bernard,WR,0,,2025,207,69.9,53.1,75.1,53.7,55.9,04,0,1,0,0,15,0,13,28,15,13,LA LAFAYET,LA LAFAYET,,,
97286,Chandler Fields,QB,0,,2025,207,69.9,75.9,74.5,,60,18,0,1,24,0,0,4,9,37,24,13,LA LAFAYET,LA LAFAYET,,80.1,58.7
97287,Trevor Wilson,WR,0,,2025,198,67.1,52,75.5,53.3,61.1,07,0,1,0,0,12,1,11,24,12,12,KANSAS,KANSAS,,,57.9
97308,Jerjuan Newton,WR,0,2025,2025,316,64.1,57.1,0,59.4,60.3,01,1,1,0,0,23,0,25,48,23,25,TOLEDO,TOLEDO,,,
97310,Deion Hankins,HB,0,2025,2025,314,71.9,58.2,72.2,60,58.5,33,0,1,0,1,1,8,4,14,2,12,TEXAS ST,TEXAS ST,72.7,,58.6
