playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassBlock,gradesPassRoute,gradesPass,gradesRun
170586,Jackson House,WR,0,,2029,159,54.3,70.6,60,16,0,1,0,0,6,0,2,8,6,2,E KENTUCKY,E KENTUCKY,,,55.1,,
170591,Brayden Latham,HB,0,,2028,159,45.9,76,57.4,14,0,1,0,1,20,21,5,47,21,26,E KENTUCKY,E KENTUCKY,77,0,71.7,,48
170602,Jayden West,WR,0,,2030,159,54.2,0,57.1,82,2,1,0,0,12,0,14,26,12,14,E KENTUCKY,E KENTUCKY,62.9,,62.4,,
170606,Kaleb Brown,DI,0,,2026,389,46.9,71.2,36,D99,0,1,0,0,0,0,3,3,0,3,N ALABAMA,N ALABAMA,,,,,
170608,Kaden Cooper,WR,0,,2028,389,60.6,69.3,60,23,0,1,0,0,2,0,1,3,2,1,N ALABAMA,N ALABAMA,61,,60.4,,
170615,KJ Fields,WR,0,,2028,389,58.8,78.2,61.7,10,0,1,0,0,35,0,23,58,35,23,N ALABAMA,N ALABAMA,61,,58.4,,
170631,Ryan Walker,G,0,,2028,389,54.2,79.7,54.3,51,0,1,0,46,0,0,38,84,46,38,N ALABAMA,N ALABAMA,,44.6,,,
170639,Racin Delgatty,C,0,,2028,129,63.9,77.8,60.9,78,0,1,0,26,0,0,15,41,26,15,CAL POLY,CAL POLY,,70.1,,,
170642,Jordan Garrison,WR,1,,2028,129,61,0,61.3,05,2,1,0,0,25,0,13,38,25,13,CAL POLY,CAL POLY,64.1,,63.2,,
170654,Kian Salehi,WR,0,,2028,129,64.1,76.9,61,08,0,1,0,0,27,1,14,42,27,15,CAL POLY,CAL POLY,66,,62.1,,63.2
170665,Brooks Wheatley,WR,0,,2028,129,52.2,75.6,54.1,09,0,1,0,0,18,0,5,23,18,5,CAL POLY,CAL POLY,,,53.3,,
170673,Nate Bell,QB,0,,2028,161,67.7,76.3,59.9,02,0,1,12,0,6,8,7,33,18,15,E WASHGTON,E WASHGTON,71.6,,55.8,46.7,79.2
170680,Dane Gatterman,G,0,,2028,161,52.8,74.2,58.9,69,0,1,0,11,0,0,5,16,11,5,E WASHGTON,E WASHGTON,,18.1,,,
170690,Gabe Rhue,G,0,,2027,161,46.1,76,46.9,78,0,1,0,19,0,0,10,29,19,10,E WASHGTON,E WASHGTON,,30.2,,,
170695,Jared Taylor,QB,0,,2026,161,68.1,76.3,60,15,0,1,31,0,0,16,12,59,31,28,E WASHGTON,E WASHGTON,74.5,,,52.9,75.9
170696,Michael Wortham,WR,0,2026,2026,232,88.6,74.5,60.1,06,0,1,0,0,18,4,3,25,18,7,MONTANA,MONTANA,24.2,,85.4,,66.8
170698,Zachary Dodson-Greene,WR,0,,2027,269,60.4,76.5,59.3,17,0,1,0,0,20,0,22,42,20,22,PORTLAND,PORTLAND,62.9,,60.2,,
170710,Myseth Currie,WR,0,,2028,252,47.5,74.6,31.3,80,0,1,0,0,11,0,7,18,11,7,N ARIZONA,N ARIZONA,,,54,,
170713,Isaiah Eastman,WR,0,,2026,252,61.9,72.9,43.2,03,0,1,0,0,8,0,7,15,8,7,N ARIZONA,N ARIZONA,69.9,,64.7,,
170735,Jamarii Robinson,WR,0,,2026,137,58.1,76.1,60.5,08,0,1,0,0,24,0,10,34,24,10,CHATTNOOGA,CHATTNOOGA,61,,58,,
170736,Quintin Robinson,G,0,,2026,253,60,67.5,60,75,0,1,0,0,0,0,2,2,0,2,N COLORADO,N COLORADO,,,,,
170742,Eric Denham,WR,0,,2028,345,55.5,72.2,59.9,00,0,1,0,0,7,0,7,14,7,7,W ILLINOIS,W ILLINOIS,,,55.7,,
170751,Kristian Ingman,TE,0,,2029,269,93.7,73.6,78.5,85,0,1,0,1,6,0,9,16,7,9,PORTLAND,PORTLAND,61,63.9,90.5,,
170759,Delon Thompson,HB,0,,2029,269,63,75.6,67.4,24,0,1,0,2,8,13,7,30,10,20,PORTLAND,PORTLAND,74.4,77.2,55.5,,62.2
170770,Derek Houston,LB,0,,2029,279,60,60,60,D10,0,1,0,0,0,0,1,1,0,1,SACRAMENTO,SACRAMENTO,,,,,
170782,Onterrio Smith Jr.,WR,0,,2029,279,55.3,75.5,61,12,0,1,0,0,12,0,15,27,12,15,SACRAMENTO,SACRAMENTO,,,54.9,,
170783,Jose Soto,G,0,,2028,279,53.9,0,77,73,3,1,0,16,0,0,17,33,16,17,SACRAMENTO,SACRAMENTO,,0,,,
170796,Oscar Colon,T,0,,2028,271,71.3,76.9,65,58,0,1,0,45,0,0,27,72,45,27,PRESBYTERN,PRESBYTERN,,78.3,,,
170798,Will Fitzpatrick,T,0,,2028,171,29.9,0,45.6,77,2,1,0,39,0,0,27,66,39,27,GARD-WEBB,GARD-WEBB,,24.4,,,
170799,Jackson Head,TE,0,,2028,116,54,77.5,62.7,89,0,1,0,4,19,0,15,38,23,15,AUSTINPEAY,AUSTINPEAY,61,67.8,49.4,,
170808,David Okoi,WR,0,,2029,235,57.2,68.7,59.6,13,0,1,0,0,2,0,2,4,2,2,MORGAN ST,MORGAN ST,,,58.2,,
170810,Luke Rector,C,0,,2029,171,51.8,80.3,50.3,71,0,1,0,43,0,0,36,79,43,36,GARD-WEBB,GARD-WEBB,,60,,,
170821,Joshua Brooks,G,0,,2028,277,51.8,0,52.6,72,1,1,0,20,0,0,13,33,20,13,ROB MORRIS,ROB MORRIS,,75.8,,,
170842,Anthony Iliano,T,0,,2028,212,54,80.2,54.1,74,0,1,0,31,0,0,41,72,31,41,MAINE,MAINE,,44.3,,,
170846,Jake Kucera,TE,0,,2029,212,73.8,69.5,56,86,0,1,0,0,3,0,4,7,3,4,MAINE,MAINE,61,,78.2,,
170873,Shane Garrett,TE,0,,2028,231,54.9,69.2,54.4,84,0,1,0,0,1,0,7,8,1,7,MONMOUTH,MONMOUTH,,,59,,
