playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesKickoffKicker,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesPuntReturn,gradesFgepOffense,gradesKickReturn,gradesPunter,gradesLongSnap,gradesFgepKicker
176774,Colter Petre,S,0,0,,2028,233,,68,68.4,D24,0,0,1,0,0,9,0,2,0,1,MONTANA ST,MONTANA ST,11,,,,,,,
176775,Andrew Powdrell,CB,0,0,,2028,233,,60.1,64.5,D01,0,0,1,0,2,0,0,0,0,0,MONTANA ST,MONTANA ST,2,59.9,,,,,,
176777,Hunter Sharbono,DI,0,0,,2028,233,,59.8,62,D90,0,0,1,0,1,0,0,0,0,0,MONTANA ST,MONTANA ST,1,59.6,,,,,,
176779,Cole Taylor,LB,0,0,,2028,233,,60.7,66.4,D34,0,0,1,0,0,0,3,2,1,0,MONTANA ST,MONTANA ST,6,,,,,,,
176780,Jacob Trimble,WR,0,0,,2027,233,,60.6,65.6,25,0,0,1,0,0,0,5,0,1,0,MONTANA ST,MONTANA ST,6,,,,,,,
176845,Trent Carrade,DI,0,0,,2028,322,,60,61.8,D90,0,0,1,0,1,0,0,0,0,0,UC DAVIS,UC DAVIS,1,59.7,,,,,,
176847,Jordan Fisher,HB,0,0,,2028,322,,60,64.4,20,0,0,1,0,0,0,0,0,2,0,UC DAVIS,UC DAVIS,2,,,,,,,
176848,William Fowler,S,0,0,,2028,322,,62,66.7,D25,0,0,1,0,0,4,0,0,1,0,UC DAVIS,UC DAVIS,5,,,,,,,
176850,Sam Goligoski,ED,0,0,,2028,322,,60,67.2,D31,0,0,1,0,0,0,0,0,2,0,UC DAVIS,UC DAVIS,2,,,,,,,
176860,Ian Simpson,TE,0,0,,2026,322,,61.3,69.7,00,0,0,1,0,0,2,6,0,0,0,UC DAVIS,UC DAVIS,8,,,,,,,
