playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,gradesPassRushDefense,snapCountsFs,touchdowns,snapCountsDlOutsideT,gradesCoverageDefense
66298,Ty Hamilton,DI,0,0,2025,0,0,,OHIO STATE,0,D58,0,0,1,27,1,2025,42,74.6,0,0,2,0,0,1,3,0,56.4,0,0,0,0,OHIO STATE,0,0,3,0,,0,0,59.3,,75.9,0,260,42,0,38,0,0,15,0,3,61.6,0,0,0,
82212,Jermayne Lole,DI,0,0,,0,0,,TEXAS,0,D99,0,0,0,20,1,2025,30,,0,0,0,0,0,6,7,0,58.7,0,0,0,0,TEXAS,0,0,0,0,,0,,58.9,,74.7,0,311,30,0,17,0,0,10,0,0,59,0,0,0,
82557,Jacob Mangum-Farrar,ED,0,0,,0,0,,INDIANA,0,D07,0,0,0,0,1,2025,1,,0,0,0,0,0,0,0,0,60,0,0,0,0,INDIANA,0,0,0,0,,0,,60,,65.7,0,190,1,0,0,0,0,1,0,0,,0,0,1,
86267,Kalib Perry,LB,2,0,,0,1,100,TENNESSEE,3,D08,16,14,0,0,1,2027,1,56.7,16,2,0,0,9,0,0,0,35,0,0,0,0,TENNESSEE,0,0,0,0,10,2,20,34.6,8,72,0,307,17,18,0,0,100,8,0,1,,0,0,1,49.7
97225,Brandon Crossley,CB,4,0,2025,0,1,0,SMU,2,D01,63,6,0,0,1,2025,0,54.8,0,0,0,1,30,0,0,0,55.4,54,0,0,0,SMU,0,0,0,0,,0,33.3,69.4,,77,0,287,63,0,0,1,0,33,0,0,,3,0,0,72.6
97237,Rod Heard II,S,2,0,,0,0,50,NOTRE DAME,2,D02,26,12,0,0,1,2025,1,77.4,4,1,0,0,24,0,0,0,61.9,0,0,0,0,NOTRE DAME,0,0,0,0,4,10,0,50.9,4,73.1,0,258,27,-1,0,0,56.3,3,0,0,,4,0,1,48.7
97324,Jordan Clark,CB,11,0,2025,0,2,63.6,NOTRE DAME,6,D01,67,2,0,2,1,2025,0,45.7,63,7,0,0,40,0,0,0,73.2,3,0,1,0,NOTRE DAME,2,0,0,0,17,62,25,71.7,9,79.8,0,258,67,44,0,1,109.3,25,1,0,73.5,0,1,0,67.6
97675,Terry Jones,CB,3,0,,0,3,100,INDIANA,2,D12,38,3,0,1,1,2025,3,29.7,17,3,0,0,27,0,0,0,43,0,0,0,0,INDIANA,0,0,0,0,8,33,42.9,52.3,5.7,78.1,0,190,41,12,0,0,90.3,13,0,2,59.6,2,0,3,56.7
97889,Jack Kiser,LB,2,0,2025,0,0,100,NOTRE DAME,4,D24,37,37,0,7,1,2025,0,81.1,32,2,0,0,17,0,0,0,76.1,0,0,0,0,NOTRE DAME,2,0,0,0,16,0,0,60.2,16,74.6,0,258,37,7,0,0,118.8,13,0,1,58.8,0,0,0,47.5
98118,Jahfari Harvey,ED,0,0,2025,0,1,,SMU,1,D06,0,0,1,17,1,2025,37,51,0,0,2,0,1,1,0,0,47.1,0,0,0,0,SMU,2,0,3,0,,0,20,53.4,,79.2,0,287,37,0,0,0,0,19,0,3,62,0,0,36,61.2
98331,Jared Harrison-Hunte,DI,0,0,2025,0,1,,SMU,2,D81,0,0,1,19,1,2025,43,49.5,0,0,2,0,1,9,2,0,52.8,0,0,1,0,SMU,1,0,3,0,,0,25,46.1,,0,0,287,43,0,32,0,0,23,0,1,52.8,0,0,0,59.8
98342,R.J. Oben,ED,0,0,,0,0,,NOTRE DAME,1,D09,0,0,0,17,1,2025,32,71.5,0,0,0,0,1,2,0,0,56.4,0,0,0,0,NOTRE DAME,0,0,0,0,,0,0,57.9,,76.8,0,258,32,0,0,0,0,14,0,0,57.9,0,0,30,60.5
98915,Elijah Simmons,DI,0,0,2025,0,0,,TENNESSEE,0,D10,0,0,0,9,1,2025,12,,0,0,0,0,0,0,5,0,62.2,0,0,0,0,TENNESSEE,0,0,0,0,,0,,66.2,,72.8,0,307,12,0,7,0,0,3,0,0,64,0,0,0,
98941,Bill Norton,DI,0,0,2025,0,0,,TEXAS,0,D15,0,0,1,8,1,2025,13,72.1,0,0,0,0,0,0,4,0,63.9,0,0,0,0,TEXAS,1,0,1,0,,0,0,71.6,,72.8,0,311,13,0,9,0,0,5,0,1,70,0,0,0,
99328,Kori Roberson Jr.,DI,0,0,,0,0,,SMU,1,D92,0,0,0,10,1,2025,20,69.7,0,0,1,0,0,2,1,0,57.8,0,0,0,0,SMU,0,0,1,0,,0,0,65,,73.6,0,287,20,0,17,0,0,10,0,0,62,0,0,0,61.8
99370,David Gbenda,LB,0,0,2025,0,0,,TEXAS,1,D33,6,6,0,0,1,2025,0,73.6,0,0,0,0,3,0,0,0,75.7,0,0,0,0,TEXAS,1,0,0,0,,0,0,76.8,,67.8,0,311,6,0,0,0,0,3,0,0,,0,0,0,61.6
99842,Mike Lockhart,DI,0,0,,0,0,,SMU,0,D09,0,0,0,5,1,2026,9,,0,0,0,0,0,0,0,0,63.3,0,1,0,0,SMU,0,0,1,0,,0,,62.6,,71.5,0,287,9,0,9,0,0,4,0,0,57.8,0,0,0,
100607,Jonathan McGill,S,2,0,,0,1,50,SMU,3,D02,62,20,0,2,1,2025,1,50.6,6,1,0,0,28,0,0,0,60.1,0,0,0,0,SMU,1,0,0,0,6,8,25,66.9,6,77.5,0,287,63,6,0,0,56.3,33,0,0,57.1,34,0,1,70.1
101408,Smith Vilbert,ED,0,0,2026,0,0,,PENN STATE,0,D92,0,0,0,15,1,2026,24,71.5,0,0,2,0,1,0,0,0,62.6,0,0,0,0,PENN STATE,0,0,2,0,,0,0,66.4,,76.9,0,266,24,0,0,0,0,8,0,1,64.7,0,0,24,60
101424,Anthony Booker Jr.,DI,0,0,2025,0,1,,SMU,3,D10,0,0,0,13,1,2025,35,43.2,0,0,3,0,0,0,10,0,60.4,0,0,0,0,SMU,2,0,3,0,,0,25,57.5,,75.9,0,287,35,0,25,0,0,22,1,0,52.4,0,0,0,
101455,Dvon J-Thomas,DI,0,0,2025,0,2,,PENN STATE,4,D91,0,0,0,26,1,2025,43,37.2,0,0,2,0,0,2,3,0,57.3,0,0,0,0,PENN STATE,3,0,2,0,,0,28.6,52.8,,76.1,0,266,43,0,38,0,0,17,0,1,49.5,0,0,0,60
101993,James Carpenter,DI,0,0,2025,0,0,,INDIANA,5,D99,0,0,2,35,1,2025,60,77.3,0,0,2,0,0,4,11,0,67.2,0,2,2,1,INDIANA,6,0,6,0,,0,0,67,,0,0,190,60,0,42,0,0,25,1,1,73.9,0,0,3,60.5
102726,Howard Cross III,DI,0,0,2025,0,0,,NOTRE DAME,1,D56,0,0,0,37,1,2025,54,69.7,0,0,2,0,0,0,9,0,61.9,0,0,0,1,NOTRE DAME,1,0,2,0,,0,0,67.2,,76.8,0,258,54,0,45,0,0,17,0,0,67.5,0,0,0,
122144,DeMonte Capehart,DI,0,0,2026,0,0,,CLEMSON,2,D19,0,0,0,14,1,2026,33,73.4,0,0,2,0,0,2,13,0,70,0,0,0,0,CLEMSON,1,0,2,0,,0,0,79.5,,76.7,0,140,33,0,18,0,0,19,0,2,81.1,0,0,0,
122153,R.J. Mickens,S,3,0,2025,0,2,66.7,CLEMSON,9,D09,75,36,0,1,1,2025,0,57.2,25,2,0,1,31,0,0,0,64.3,1,1,0,0,CLEMSON,3,0,1,0,19,4,18.2,63,12.5,76.9,0,140,75,2,0,0,92.4,43,1,0,63,34,1,0,59.3
