playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,gradesCoverageDefense,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,gradesPassRushDefense,snapCountsFs,touchdowns,snapCountsDlOutsideT
97751,Mohamed Toure,LB,3,0,,0,0,66.7,MIAMI FL,9,D01,59,54,0,3,1,2027,1,85,26,2,78.6,0,0,22,0,0,0,73.9,0,1,0,0,MIAMI FL,5,0,1,0,25,5,0,83.4,13,77.3,0,220,60,16,0,1,93.8,35,0,4,75.4,0,0,1
122655,Dominique Ratcliff,DI,0,0,,0,0,,INDIANA,0,D91,0,0,0,8,1,2026,19,70.2,0,0,,0,0,0,0,2,0,60,0,0,0,0,INDIANA,0,0,0,0,,0,0,58.9,,73.7,0,190,19,0,16,0,0,11,0,1,57.2,0,0,1
122855,Devan Boykin,S,1,0,2026,0,0,100,INDIANA,2,D12,19,4,0,2,1,2026,2,78.6,8,1,64.8,0,0,15,0,0,0,63.9,0,0,0,0,INDIANA,0,0,0,0,8,14,0,66.2,8,75.5,0,190,21,4,0,0,100,4,0,0,58.9,1,0,2
123427,Akheem Mesidor,ED,0,0,2026,0,0,,MIAMI FL,2,D03,0,0,2,29,1,2026,73,77.8,0,0,61,2,0,4,5,0,0,64.1,0,0,0,0,MIAMI FL,4,0,4,0,,0,0,83,,79.5,0,220,73,0,1,0,0,40,0,2,90.9,0,0,67
138455,Mikail Kamara,ED,1,0,2026,0,0,100,INDIANA,3,D06,4,3,0,26,1,2026,50,77.3,22,1,54.6,1,0,8,6,0,0,62.5,0,1,0,0,INDIANA,3,0,2,0,22,1,0,55.1,22,78.8,0,190,54,5,6,0,118.8,20,0,3,56.6,0,0,38
143952,Chase Smith,LB,0,0,,0,0,,MIAMI FL,2,D41,15,15,0,0,1,2027,2,76,0,0,63,0,0,9,0,0,0,70.6,0,0,0,0,MIAMI FL,1,0,0,0,,0,0,70.3,,71.8,0,220,17,0,0,0,0,8,0,0,,0,0,2
145309,Jakobe Thomas,S,4,0,2026,0,1,75,MIAMI FL,4,D08,63,34,0,4,1,2026,6,65.9,45,3,62.8,0,0,27,0,0,0,67.9,0,1,0,0,MIAMI FL,2,0,1,0,18,5,11.1,65.5,15,78.2,0,220,69,36,0,0,111.5,38,0,4,58.3,24,0,6
156341,Wesley Bissainthe,LB,0,0,2026,0,1,,MIAMI FL,7,D31,63,62,0,2,1,2026,0,65.2,0,0,59.5,0,0,25,0,0,0,68.7,0,0,0,0,MIAMI FL,5,0,0,0,,1,11.1,65,,74.3,0,220,63,0,0,0,0,36,1,1,57.9,0,0,0
156405,Kaiden Turner,LB,0,0,,0,0,,INDIANA,0,D14,2,2,0,0,1,2027,0,,0,0,,0,0,0,0,0,0,60,0,0,0,0,INDIANA,0,0,0,0,,0,,50.3,,64.4,0,190,2,0,0,0,0,2,0,0,,0,0,0
156408,Jamari Sharpe,CB,4,0,,0,0,50,INDIANA,6,D22,52,1,0,0,1,2027,0,81.1,30,2,84,0,1,34,0,0,0,68,51,0,1,0,INDIANA,0,0,0,0,24,0,0,84,15,76.5,0,190,52,5,0,1,35.4,18,0,0,,0,0,0
