playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,yards,receptions,gradesCoverageDefense,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,snapCountsFs,touchdowns,snapCountsDlOutsideT,gradesTackle,gradesPassRushDefense
43872,Mason White,CB,0,0,,0,0,,OREGON ST,0,D01,5,0,0,0,1,2026,0,0,0,60,0,0,1,0,0,0,60,5,0,0,0,OREGON ST,0,0,0,0,,0,,61.4,,68.4,0,265,5,0,0,0,0,4,0,0,0,0,0,,
52925,Zaid Hamdan,DI,0,0,,0,0,,KENT STATE,0,D57,0,0,0,8,1,2025,20,0,0,,0,0,0,1,2,0,60.2,0,0,0,0,KENT STATE,0,0,0,0,,0,0,59.8,,73.9,0,201,20,0,17,0,0,12,0,1,0,0,0,70.2,58.2
53549,DeShawn Pace,LB,2,0,,0,1,100,UCF,3,D03,21,18,0,2,1,2025,6,18,2,54.3,0,0,12,0,1,0,66.9,0,0,0,0,UCF,3,0,0,0,10,3,25,59.3,9,74.8,0,323,27,8,0,0,104.2,13,0,0,0,0,5,56.3,58.2
53572,Eric Phillips,ED,0,0,,0,3,,CINCINNATI,2,D97,5,5,0,32,1,2025,48,0,0,60.3,7,0,1,14,0,0,46.1,0,0,1,0,CINCINNATI,0,0,7,0,,0,60,44,,0,0,138,53,0,0,0,0,20,0,0,0,0,34,28.7,53.5
53981,Iesa Jarmon,CB,0,0,,0,0,,AKRON,0,D12,13,0,0,0,1,2027,0,0,0,45.7,0,0,2,0,0,0,61.9,13,0,1,0,AKRON,0,0,0,0,,0,,45.1,,71.8,0,102,13,0,0,0,0,11,0,0,0,0,0,,
54193,Jaheim Thomas,LB,5,0,2026,0,0,80,WISCONSIN,4,D07,41,41,0,4,1,2025,8,55,4,51.4,0,0,23,0,0,0,81.6,0,0,0,0,WISCONSIN,3,0,0,0,25,0,0,67.4,13.8,78.2,0,349,49,51,0,0,112.5,22,0,2,0,0,8,80.8,64
54240,Cheikhsaliou Fall,ED,0,0,,0,0,,CAL,0,D17,0,0,0,10,1,2025,15,0,0,,1,0,0,3,0,0,58.8,0,1,0,0,CAL,0,0,2,0,,0,0,55.6,,73.8,0,130,15,0,4,0,0,5,0,2,0,0,8,74.3,54.8
62277,Jaiden Cameron,ED,0,0,,0,0,,NWESTERN,1,D53,0,0,0,4,1,2025,9,0,0,60,0,0,0,3,0,0,62.8,0,0,0,0,NWESTERN,0,0,0,0,,0,0,62.9,,71.5,0,256,9,0,0,0,0,5,0,1,0,0,6,73.8,57.4
62494,Alex Howard,LB,3,0,,0,1,66.7,DUKE,12,D03,69,64,0,11,1,2025,9,13,2,59.1,1,0,32,0,0,0,62.1,0,1,1,0,DUKE,7,0,2,0,8,5,6.7,60,6.5,77.8,0,154,78,2,0,0,75.7,35,2,2,0,0,9,85.5,56
62724,Barry Brown,LB,1,0,,0,1,100,COAST CAR,2,D35,27,27,0,3,1,2025,2,16,1,53.8,1,0,14,0,0,0,67.9,0,0,0,0,COAST CAR,1,0,1,0,16,0,33.3,62.9,16,72.7,0,141,29,22,0,0,118.8,12,0,0,0,0,2,32.2,68.9
63872,Kam Butler,ED,0,0,,0,2,,VIRGINIA,2,D82,3,3,0,43,1,2025,75,0,0,53.8,4,0,8,2,0,0,51,0,0,1,0,VIRGINIA,2,1,4,0,,0,50,50.9,,9.1,0,335,78,0,3,0,0,27,0,0,0,0,70,25.4,64.4
64470,Will Whitson,DI,0,0,,1,1,,COAST CAR,4,D44,0,0,0,17,1,2028,34,0,0,60,2,0,0,10,0,0,80.6,0,0,0,0,COAST CAR,4,0,2,0,,0,16.7,79.5,,74.6,0,141,34,0,24,0,0,17,2,1,0,0,0,56,63.3
66051,Josh Minkins,S,0,0,2025,0,1,,CINCINNATI,2,D00,18,13,0,0,1,2025,0,0,0,77.5,0,1,9,0,0,0,59.7,0,0,0,0,CINCINNATI,0,0,0,0,,2,33.3,72.6,,71.5,0,138,18,0,0,0,0,9,0,0,3,0,0,54.4,
66298,Ty Hamilton,DI,0,0,2025,0,0,,OHIO STATE,3,D58,0,0,1,14,1,2025,27,0,0,,0,0,0,1,0,0,77.6,0,0,0,0,OHIO STATE,4,0,1,0,,0,0,75.8,,74,0,260,27,0,26,0,0,13,0,0,0,0,0,74.2,61.5
