playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPass,gradesRun
52545,Joe Royer,TE,0,2026,2026,138,61,60,77.6,74.4,58.3,57.4,11,0,1,0,10,20,0,18,48,30,18,CINCINNATI,CINCINNATI,,
53398,Eric Meeks,C,0,,2026,214,,60.9,80.4,73.1,,57,57,0,1,0,46,0,0,38,84,46,38,MARSHALL,MARSHALL,,
54221,Sterling Berkhalter,WR,0,,2027,339,61,52.9,76,,53.2,59.7,04,0,1,0,0,21,0,7,28,21,7,WAKE,WAKE,,
70727,Miller Moss,QB,0,2026,2026,210,68.9,61.1,76.6,,,60,07,0,1,32,0,0,1,30,63,32,31,LOUISVILLE,LOUISVILLE,55.8,70
70874,Jake Retzlaff,QB,0,,2026,319,71.3,66.7,75.9,,,60,12,0,1,35,0,0,6,12,53,35,18,TULANE,TULANE,59,75
71325,Boden Groen,TE,0,,2026,198,62.9,58.9,77.6,73.2,63.9,50.6,88,0,1,0,6,11,0,34,51,17,34,KANSAS,KANSAS,,
71443,Mavin Anderson,WR,0,,2026,314,66.6,68.5,77.5,,70.3,45.3,03,0,1,0,0,34,0,23,57,34,23,TEXAS ST,TEXAS ST,,
71596,Aaron Smith,CB,0,,2026,241,,60,60,63.8,,,D29,0,1,0,1,0,0,0,1,1,0,NEW MEXICO,NEW MEXICO,,
71698,Jayden Dixon-Veal,WR,0,,2026,130,61,56.7,71.5,,58.1,55.2,10,0,1,0,0,4,0,4,8,4,4,CAL,CAL,,
72376,Cam Davis,HB,0,,2026,225,66.5,62.5,73.7,71.5,68.2,,23,0,1,0,1,21,1,0,23,22,1,MINNESOTA,MINNESOTA,,59.7
72689,Marshall Jackson,T,0,,2026,346,,62.9,77.4,60.8,,61.9,53,0,1,0,47,0,0,24,71,47,24,W KENTUCKY,W KENTUCKY,,
73621,Elijah Gilliam,HB,0,,2026,169,67.3,62.4,70.1,,59.7,60,33,0,1,0,0,1,3,2,6,1,5,FRESNO ST,FRESNO ST,,62.1
73860,Reis Stocksdale,WR,0,,2027,122,,52.6,74.6,,53.4,55.9,06,0,1,0,0,14,0,9,23,14,9,BOWL GREEN,BOWL GREEN,,
74236,Mason Murphy,T,0,2026,2026,115,,54.4,76.9,52.5,,54,76,0,1,0,45,0,0,27,72,45,27,AUBURN,AUBURN,,
74652,AJ Vaipulu,G,0,,2026,341,,54.1,0,43,,60.3,66,1,1,0,30,0,0,22,52,30,22,WASH STATE,WASH STATE,,
75288,Tegra Tshabola,G,0,,2028,260,,57.8,77.8,28.5,,61,77,0,1,0,22,0,0,27,49,22,27,OHIO STATE,OHIO STATE,,
78573,Solomon Vanhorse,HB,0,,2026,190,65.5,72.2,65.2,,,,18,0,1,0,0,0,2,0,2,0,2,INDIANA,INDIANA,,69
86142,Carson Lee,C,0,,2026,343,,60,68.5,,,60,55,0,1,0,0,0,0,3,3,0,3,W VIRGINIA,W VIRGINIA,,
