playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPass,gradesRun
51984,Bentley Hanshaw,TE,0,,2025,206,56,0,72.9,48.3,71.8,15,1,1,0,3,15,0,33,51,18,33,LIBERTY,LIBERTY,,,
52369,Marshall Lang,TE,0,2025,2025,256,59.6,74.5,,53.1,69.8,88,0,1,0,0,10,0,11,21,10,11,NWESTERN,NWESTERN,,,
52487,Luke Kandra,G,0,2025,2025,138,70.2,79.5,82.8,,67.7,67,0,1,0,43,0,0,28,71,43,28,CINCINNATI,CINCINNATI,,,
52540,Jakob James,C,0,,2025,316,68,80,84.8,,59.6,78,0,1,0,58,0,0,18,76,58,18,TOLEDO,TOLEDO,,,
52545,Joe Royer,TE,0,2026,2026,138,69.9,78.8,65.4,74.8,45.6,11,0,1,0,1,36,0,21,58,37,21,CINCINNATI,CINCINNATI,67.1,,
52962,Michael McCalmont,TE,0,,2025,138,54,70.1,22.6,,56,82,0,1,0,1,0,0,5,6,1,5,CINCINNATI,CINCINNATI,,,
53372,Nick Presley,WR,0,,2026,117,58.3,68.9,,59.7,59.5,19,0,1,0,0,1,0,3,4,1,3,BALL ST,BALL ST,,,
53398,Eric Meeks,G,0,,2026,214,67.7,75.2,79.9,,66,57,0,1,0,8,0,0,14,22,8,14,MARSHALL,MARSHALL,,,
53431,Zeke Correll,C,0,2025,2025,248,68.3,78.7,84.2,,61.9,56,0,1,0,37,0,0,17,54,37,17,NC STATE,NC STATE,,,
53851,Logan Osburn,C,0,,2025,214,61.8,4.9,83.4,,60.4,65,1,1,0,34,0,0,37,71,34,37,MARSHALL,MARSHALL,,,
54221,Sterling Berkhalter,WR,0,,2027,138,49.4,73.6,,54,41,84,0,1,0,0,9,0,6,15,9,6,CINCINNATI,CINCINNATI,,,
63709,Spencer Curtis,WR,0,,2025,180,54.4,74.6,,54.7,60.1,14,0,1,0,0,21,0,4,25,21,4,HAWAII,HAWAII,61,,
70536,Sebastian Macaluso,WR,0,,2025,285,46.9,74.9,,48.6,,24,0,1,0,0,10,0,0,10,10,0,S JOSE ST,S JOSE ST,61,,
70624,Jacob Garcia,LS,0,,2025,329,60,60,,,60,S49,0,1,0,0,0,0,1,1,0,1,UTAH ST,UTAH ST,,,
70727,Miller Moss,QB,0,2026,2026,326,61.5,76.3,,,60,07,0,1,36,0,0,0,24,60,36,24,USC,USC,68.7,60.7,
70874,Jake Retzlaff,QB,0,,2026,128,80.9,76.5,,54.3,60,12,0,1,33,0,1,6,21,61,34,27,BYU,BYU,71.2,80.4,66.4
70933,DeCarlos Brooks,HB,0,,2025,110,71.8,72.3,70.2,60.4,60,25,0,1,0,1,4,3,5,13,5,8,ARIZONA ST,ARIZONA ST,67.8,,71.1
70961,Mikey Keene,QB,0,,2027,169,64.4,23.7,,,60,01,1,1,42,0,0,2,23,67,42,25,FRESNO ST,FRESNO ST,70,66.1,57.8
71008,General Booty,QB,0,,2026,209,60,63.6,,,60,14,0,1,0,0,0,0,1,1,0,1,LA MONROE,LA MONROE,,,
71295,Ryan Hilinski,QB,0,,2025,256,61.1,66.6,,,60,03,0,1,0,0,0,2,1,3,0,3,NWESTERN,NWESTERN,65.5,,60.1
71304,Kyle Ford,WR,0,,2025,326,49.1,75,,53.8,38.1,81,0,1,0,0,12,0,7,19,12,7,USC,USC,,,
71312,Elijah Mojarro,TE,0,,2025,275,56.1,75.2,74,59.2,50.2,07,1,1,0,7,16,0,13,36,23,13,RICE,RICE,61,,
71332,Sean Dollars,HB,0,,2026,239,55.2,66.4,,59.8,,04,0,1,0,0,1,1,0,2,1,1,NEVADA,NEVADA,62.5,,57.3
71345,Bru McCoy,WR,0,,2025,307,51.7,77,,51.9,61.6,05,0,1,0,0,27,1,28,56,27,29,TENNESSEE,TENNESSEE,62.5,,57.9
71409,Jamari Ferrell,HB,0,,2026,351,60.1,73,61.5,58.1,59.7,06,0,1,0,4,3,6,2,15,7,8,WYOMING,WYOMING,70.5,,60.4
71443,Mavin Anderson,WR,0,,2026,130,66.8,74.4,,65.8,60.8,11,0,1,0,0,10,0,6,16,10,6,CAL,CAL,64.1,,
71502,Andrew Madrigal,C,0,,2026,239,64.5,78.8,72.4,,62,78,0,1,0,15,0,0,39,54,15,39,NEVADA,NEVADA,,,
71530,Marquis Ashley,WR,0,,2026,239,58,63.4,,59.5,,07,0,1,0,0,1,0,0,1,1,0,NEVADA,NEVADA,,,
71674,Silas Bolden,WR,0,2025,2025,311,62,73.1,,55.3,84.5,11,0,1,0,0,6,0,7,13,6,7,TEXAS,TEXAS,72.6,,
71706,Bryce Pierre,TE,0,2025,2025,324,48,72.5,68.3,48.2,60,87,0,1,0,2,8,0,1,11,10,1,UCLA,UCLA,61,,
72075,Josh Carlin,G,0,,2025,324,62.7,78.7,64.6,,61.5,54,0,1,0,44,0,0,19,63,44,19,UCLA,UCLA,,,
72200,Marist Talavou,G,0,,2025,285,66.4,78.9,89.5,,57.7,61,0,1,0,49,0,0,14,63,49,14,S JOSE ST,S JOSE ST,,,
72208,Jude Wolfe,TE,0,,2025,284,59.5,79.5,71.1,60.8,55.9,18,0,1,0,1,21,0,24,46,22,24,S DIEGO ST,S DIEGO ST,61,,
72292,Canaan Yarro,C,0,,2025,242,61,79.4,64.4,,59.4,56,0,1,0,29,0,0,35,64,29,35,NEW MEX ST,NEW MEX ST,,,
72376,Cam Davis,HB,0,,2026,340,57.8,73.6,75.6,49,,22,0,1,0,3,16,6,0,25,19,6,WASHINGTON,WASHINGTON,71,,60.7
72689,Marshall Jackson,T,0,,2026,346,77.5,76.8,71.5,,75.7,53,0,1,0,34,0,0,36,70,34,36,W KENTUCKY,W KENTUCKY,,,
