playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassBlock,gradesPass,gradesRun
141971,Mehdi Torrence,C,0,,2025,313,61.7,0,,63.3,68,1,1,0,24,0,0,42,66,24,42,TEXAS STHN,TEXAS STHN,,66.4,,
142050,Landon Ruggieri,WR,0,,2025,124,75.4,77.3,74.5,62.1,05,0,1,0,0,34,0,21,55,34,21,BRYANT,BRYANT,67.1,,,
142060,Ryan Clark,HB,0,,2026,124,60.4,71.7,38.7,,02,0,1,0,2,8,4,0,14,10,4,BRYANT,BRYANT,68.9,73.5,,65.6
142078,Marc Taglieri Jr.,TE,0,,2025,124,62.2,77.3,59.5,63.2,88,0,1,0,2,18,0,17,37,20,17,BRYANT,BRYANT,61,67.9,,
142156,Cooper Hutton,WR,0,,2025,322,69.4,76.9,70.5,56.7,01,0,1,0,0,22,0,14,36,22,14,UC DAVIS,UC DAVIS,65,,,
142157,Lan Larison,HB,0,2025,2025,322,71.5,77.8,77.2,59.1,03,0,1,0,1,24,23,6,54,25,29,UC DAVIS,UC DAVIS,77.8,70,,68.5
142159,Mitchell Dixon,TE,0,,2026,322,60.7,68.4,60.1,59.8,11,0,1,0,1,1,0,5,7,2,5,UC DAVIS,UC DAVIS,61,66,,
142170,Josh Gale,TE,0,,2026,322,58.6,72.6,57.9,60,81,0,1,0,0,6,0,3,9,6,3,UC DAVIS,UC DAVIS,62.9,,,
142194,Jamal Marshall,DI,0,,2026,270,60,60,,60,D93,0,1,0,0,0,0,1,1,0,1,PRVIEW A&M,PRVIEW A&M,,,,
142206,Roy Alexander,WR,0,,2027,189,58.9,78.1,57.5,61.6,09,0,1,0,0,48,2,28,78,48,30,INCAR WORD,INCAR WORD,9.1,,,63.1
142214,Tyson Foster,G,0,,2025,338,59.1,80.3,,52.1,53,0,1,0,39,0,0,35,74,39,35,WAGNER,WAGNER,,86.9,,
142219,Will Marotta,G,0,,2025,106,66.5,79.9,,68.4,72,0,1,0,55,0,0,30,85,55,30,ALBANY,ALBANY,,59.7,,
142225,Jackson Parker,WR,0,,2026,106,63.4,73.8,62.8,60.7,10,0,1,0,0,10,0,5,15,10,5,ALBANY,ALBANY,61,,,
142242,Fintan Brose,G,1,,2026,151,59.9,7.4,,57.8,54,1,1,0,40,0,0,23,63,40,23,DELAWARE,DELAWARE,,82,,
142247,Brock Gingrich,C,0,,2025,151,67.4,80,,62.2,55,0,1,0,47,0,0,29,76,47,29,DELAWARE,DELAWARE,,79,,
142268,Patrick Shupp,G,0,,2026,151,69.5,79.6,,64.8,71,0,1,0,38,0,0,24,62,38,24,DELAWARE,DELAWARE,,91.1,,
142272,Marcus Yarns,HB,0,2025,2025,151,66.8,77,65.3,58,21,0,1,0,10,22,20,6,58,32,26,DELAWARE,DELAWARE,76.8,53.5,,66.5
142274,Tavion Banks,HB,0,,2026,212,65,68.4,63.9,60,25,0,1,0,0,3,1,1,5,3,2,MAINE,MAINE,64.3,,,62.3
142280,John Costanza,DI,0,,2025,212,59.8,63.5,59.6,,D05,0,1,0,0,1,0,0,1,1,0,MAINE,MAINE,,,,
142282,Trevin Ewing,WR,0,,2026,212,81.1,69.5,76.8,,02,0,1,0,0,5,0,0,5,5,0,MAINE,MAINE,61,,,
142290,Montigo Moss,WR,0,,2025,212,61.4,76.9,63.6,60.3,81,0,1,1,0,28,0,14,43,29,14,MAINE,MAINE,22.9,,48.5,
142298,Derek Robertson,QB,0,,2026,231,84,77.5,60,60.3,12,0,1,48,0,1,1,26,76,49,27,MONMOUTH,MONMOUTH,69.9,,82.9,63.7
142312,Caleb Burke,WR,0,,2026,240,62.1,77.4,61.8,61.6,08,0,1,0,0,32,0,20,52,32,20,NEW HAMP,NEW HAMP,66.2,,,
142317,Mason Davis,T,0,,2026,240,59.7,77.1,,53.7,69,0,1,0,37,0,0,37,74,37,37,NEW HAMP,NEW HAMP,,71.5,,
142363,Fonnae Webb,HB,0,,2026,244,73.5,73.1,71.7,60,10,0,1,0,2,6,16,1,25,8,17,NORFOLK,NORFOLK,75.5,73,,70.9
142364,Jasiah Williams,WR,0,,2025,303,61.9,79,61.5,61.5,05,0,1,0,0,62,0,17,79,62,17,STNY BROOK,STNY BROOK,67.5,,,
142365,Tedy Afful,WR,0,,2025,155,60,0,61.6,62.7,09,1,1,0,0,32,0,21,53,32,21,DUQUESNE,DUQUESNE,65.7,,,
142367,Cole Bunicci,TE,0,,2026,303,65.5,79,62,69.9,86,0,1,0,2,28,0,12,42,30,12,STNY BROOK,STNY BROOK,62.9,71.6,,
142372,Roland Dempster,HB,0,,2026,303,67.2,77.9,63.8,60,04,1,1,0,12,34,20,1,67,46,21,STNY BROOK,STNY BROOK,76.7,52.2,,67.9
142386,Collin Tunc,G,0,,2026,303,56.9,81.1,,46.9,66,0,1,0,68,0,0,25,93,68,25,STNY BROOK,STNY BROOK,,76.2,,
142391,Brendan Bell,LB,0,,2025,334,68.7,75.6,60,57.4,D28,1,1,0,0,1,1,6,8,1,7,VILLANOVA,VILLANOVA,62.5,,,63.3
142396,Ayden Howard,ED,0,,2026,334,47.2,68.3,60,48.9,D91,0,1,0,0,1,0,7,8,1,7,VILLANOVA,VILLANOVA,,,,
142400,Obinna Nwobodo,DI,0,,2026,334,55.1,72.4,60,56,D98,0,1,0,0,1,0,7,8,1,7,VILLANOVA,VILLANOVA,,,,
