playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesKickoffKicker,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesFgepDefense,gradesLongSnap,gradesPuntReturn,gradesKickReturn,gradesFgepKicker,gradesPunter
24577,Eric Goins,K,0,0,,2025,258,57.7,60,69.8,S90,0,0,1,0,0,8,0,0,0,0,NOTRE DAME,NOTRE DAME,8,,,,,,,
41982,Cam McCormick,TE,0,0,,2025,220,,65.7,63.8,84,0,0,1,6,0,0,3,3,0,1,MIAMI FL,MIAMI FL,12,60,,,,,,
43872,Mason White,CB,0,0,,2026,265,,64.2,65.9,D01,0,0,1,0,0,8,0,0,1,0,OREGON ST,OREGON ST,9,,,,,,,
52369,Marshall Lang,TE,0,0,2025,2025,256,,60,60.3,88,0,0,1,2,0,0,0,0,0,0,NWESTERN,NWESTERN,2,60,,,,,,
52925,Zaid Hamdan,DI,0,0,,2025,201,,59.9,66.2,D57,0,0,1,0,3,0,7,8,2,0,KENT STATE,KENT STATE,20,,59.1,,,,,
52962,Michael McCalmont,TE,0,0,,2025,138,,60.4,67.7,82,0,0,1,1,0,0,8,0,0,0,CINCINNATI,CINCINNATI,9,60,,,,,,
53372,Nick Presley,WR,0,0,,2026,117,,68.7,68.7,19,0,0,1,0,0,0,8,6,0,0,BALL ST,BALL ST,14,,,,,,,
53398,Eric Meeks,G,0,0,,2026,214,,60.2,61.8,57,0,0,1,0,0,0,0,3,0,0,MARSHALL,MARSHALL,3,,,,,,,
53549,DeShawn Pace,LB,0,0,,2025,323,,60.4,66.4,D03,0,0,1,0,5,2,0,4,1,0,UCF,UCF,12,,60,,,,,
53572,Eric Phillips,ED,0,0,,2025,138,,59.8,63.9,D97,0,0,1,0,4,0,0,0,1,0,CINCINNATI,CINCINNATI,5,,59.2,,,,,
53981,Iesa Jarmon,CB,0,0,,2027,102,,62.4,66.5,D12,0,0,1,0,0,0,0,0,6,0,AKRON,AKRON,6,,,,,,,
54240,Cheikhsaliou Fall,ED,0,0,,2025,130,,59.9,64.1,D17,0,0,1,0,0,0,0,0,1,0,CAL,CAL,1,,,,,,,
55516,Malik Denkins,ED,0,0,,2027,134,,60,63.5,D81,0,0,1,0,0,0,0,0,1,0,C MICHIGAN,C MICHIGAN,1,,,,,,,
62277,Jaiden Cameron,ED,0,0,,2025,256,,59.8,62.4,D53,0,0,1,0,1,0,0,0,0,0,NWESTERN,NWESTERN,1,,59.6,,,,,
62494,Alex Howard,LB,0,0,,2025,154,,60,61.9,D03,0,0,1,0,2,0,0,0,0,0,DUKE,DUKE,2,,59.9,,,,,
62724,Barry Brown,LB,0,0,,2025,141,,60.9,68.5,D35,0,0,1,0,7,0,0,0,1,0,COAST CAR,COAST CAR,8,,59.9,,,,,
63872,Kam Butler,ED,0,0,,2025,335,,59.9,64.8,D82,0,0,1,0,4,0,0,0,2,0,VIRGINIA,VIRGINIA,6,,59,,,,,
64958,Connor Cmiel,WR,0,0,,2025,141,,60.2,66.2,81,0,0,1,0,0,0,2,0,0,0,COAST CAR,COAST CAR,2,,,,,,,
66051,Josh Minkins,S,0,0,2025,2025,138,,60,62,D00,0,0,1,0,5,0,0,0,0,0,CINCINNATI,CINCINNATI,5,,59.9,,,,,
66298,Ty Hamilton,DI,0,0,2025,2025,260,,60.2,64.1,D58,0,0,1,0,1,0,0,0,1,0,OHIO STATE,OHIO STATE,2,,59.6,,,,,
70536,Sebastian Macaluso,WR,0,0,,2025,285,,61.9,66.2,24,0,0,1,0,0,0,0,0,5,0,S JOSE ST,S JOSE ST,5,,,,,,,
70624,Jacob Garcia,LS,0,0,,2025,329,,65.5,63.2,S49,0,0,1,6,0,0,0,4,0,0,UTAH ST,UTAH ST,10,63.4,,79.8,,,,
70644,Ben Florentine,DI,0,0,,2026,351,,59.4,62.6,D94,0,0,1,0,2,0,0,0,0,0,WYOMING,WYOMING,2,,59.3,,,,,
70879,Tuasivi Nomura,LB,0,0,2025,2025,169,,60,62.2,D08,0,0,1,0,2,0,0,0,0,0,FRESNO ST,FRESNO ST,2,,59.9,,,,,
70933,DeCarlos Brooks,HB,0,0,,2025,110,,60.6,68.6,25,0,0,1,0,0,0,5,0,0,0,ARIZONA ST,ARIZONA ST,5,,,,,,,
70946,Tate Romney,LB,1,0,,2027,110,,70.5,67.9,D24,0,0,1,0,0,5,5,0,0,1,ARIZONA ST,ARIZONA ST,10,,,,,,,
71370,Domani Jackson,CB,0,0,2026,2026,103,,60.1,65.9,D01,0,0,1,0,5,0,0,0,0,0,ALABAMA,ALABAMA,5,,59.7,,,,,
71406,Akili Arnold,S,0,0,,2025,326,,60.6,67.5,D00,0,0,1,0,2,0,4,0,1,0,USC,USC,7,,59.9,,,,,
71410,Easton Mascarenas-Arnold,LB,0,0,2025,2025,326,,59.9,63.9,D04,0,0,1,0,3,0,0,3,1,0,USC,USC,7,,59.8,,,,,
71530,Marquis Ashley,WR,0,0,,2026,239,,60,63.3,07,0,0,1,0,0,0,0,0,3,0,NEVADA,NEVADA,3,,,,61.4,,,
71674,Silas Bolden,WR,0,0,2025,2025,311,,60,64.1,11,0,0,1,0,0,0,0,0,5,0,TEXAS,TEXAS,5,,,,54.6,,,
72075,Josh Carlin,G,0,0,,2025,324,,61,61.8,54,0,0,1,3,0,0,0,0,0,0,UCLA,UCLA,3,60,,,,,,
72089,DJ Harvey,CB,0,0,,2026,285,,60.5,67.4,D02,0,0,1,0,6,0,7,0,0,0,S JOSE ST,S JOSE ST,13,,60.1,,,,,
72178,Colby Bowman,WR,0,0,,2025,329,,49.9,27.7,09,0,1,1,0,0,7,5,4,0,0,UTAH ST,UTAH ST,16,,,,,,,
72200,Marist Talavou,G,0,0,,2025,285,,60.5,64.8,61,0,0,1,2,0,0,0,0,0,0,S JOSE ST,S JOSE ST,2,60,,,,,,
72324,Sonny Makasini,G,0,0,,2027,128,,60,63.4,51,0,0,1,1,0,0,0,0,0,0,BYU,BYU,1,60,,,,,,
72338,Raider Damuni,S,0,0,,2028,128,,60.6,64.7,D03,0,0,1,0,3,2,0,0,0,0,BYU,BYU,5,,60,,,,,
72354,Logan Pili,LB,0,0,,2027,329,,62.3,71.9,D27,0,0,1,0,0,0,4,1,3,0,UTAH ST,UTAH ST,8,,,,,,,
72538,Jadon Pearson,LB,0,0,,2026,329,,63.5,66.1,D39,0,0,1,0,4,7,0,0,6,0,UTAH ST,UTAH ST,17,,59.8,,,,,
72689,Marshall Jackson,T,0,0,,2026,346,,60.1,61.8,53,0,0,1,3,1,0,0,0,0,0,W KENTUCKY,W KENTUCKY,4,60,59.3,,,,,
72769,Lavario Wiley,CB,0,0,,2025,325,,61.6,68.6,D17,0,0,1,0,2,0,0,0,8,0,UNLV,UNLV,10,,60,,,,,
73148,Falcon Kaumatule,G,0,0,,2025,328,,61.2,64.1,59,0,0,1,5,0,0,0,0,0,0,UTAH,UTAH,5,60,,,,,,
73151,Henry Ikahihifo,ED,0,0,,2026,239,,60,64.7,D00,0,0,1,0,0,0,0,0,1,0,NEVADA,NEVADA,1,,,,,,,
73243,Lincoln Tuioti-Mariner,S,0,0,,2028,101,,60.1,62.1,D23,0,0,1,0,3,0,0,0,1,0,AIR FORCE,AIR FORCE,4,,60,,,,,
73389,Marco Notarainni,LB,0,0,,2026,120,,61.4,66.7,D53,0,0,1,0,4,2,0,5,1,0,BOISE ST,BOISE ST,12,,60,,,,,
73621,Elijah Gilliam,HB,0,0,,2026,169,,60,63.2,33,0,0,1,0,0,0,1,0,0,0,FRESNO ST,FRESNO ST,1,,,,,,,
73697,Sioeli Helu,G,0,0,,2027,242,,61.7,68.3,58,0,0,1,6,0,0,0,0,0,0,NEW MEX ST,NEW MEX ST,6,60.2,,,,,,
73930,Ryan Daly,TE,0,0,,2027,126,,60,64.3,88,0,0,1,0,0,0,5,0,0,0,BUFFALO,BUFFALO,5,,,,,,,
74119,Taariq Al-Uqdah,LB,0,0,,2027,341,,65.4,65.7,D00,0,0,1,0,7,3,0,0,0,1,WASH STATE,WASH STATE,10,,59.6,,,,,
74152,Ryan Quintanar,LB,0,0,,2026,326,,61.7,65.1,D51,0,0,1,0,0,6,4,0,0,0,USC,USC,10,,,,,,,
74236,Mason Murphy,T,0,0,2026,2026,326,,61.2,65.1,76,0,0,1,5,0,0,0,0,0,0,USC,USC,5,60,,,,,,
74267,Melquan Stovall,WR,0,0,,2025,110,,60,63.8,05,0,0,1,0,0,0,5,1,1,0,ARIZONA ST,ARIZONA ST,7,,,,60,57.7,,
74395,Zion Branch,S,0,0,,2027,326,,61,64.1,D08,0,0,1,0,0,6,0,0,0,0,USC,USC,6,,,,,,,
74498,Treven Ma'ae,DI,0,0,2025,2025,118,,60.1,64.2,D09,0,0,1,0,3,0,0,0,0,0,BAYLOR,BAYLOR,3,,59.9,,,,,
74652,AJ Vaipulu,G,0,0,,2026,242,,61.2,62,51,0,0,1,6,0,0,0,0,0,0,NEW MEX ST,NEW MEX ST,6,60,,,,,,
