playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesRun,gradesPass
41982,Cam McCormick,TE,0,,2025,220,61,65.8,72.5,68,69.2,52,84,0,1,0,2,6,0,8,16,8,8,MIAMI FL,MIAMI FL,,
51984,Bentley Hanshaw,TE,0,,2025,206,61,51.4,76.4,69.5,51.6,52.8,15,0,1,0,3,14,0,23,40,17,23,LIBERTY,LIBERTY,,
52369,Marshall Lang,TE,0,2025,2025,256,65.3,52.4,78.1,73.1,53.9,43.8,88,0,1,0,1,16,1,19,37,17,20,NWESTERN,NWESTERN,63.3,
52487,Luke Kandra,G,0,2025,2025,138,,70.7,79.1,77.3,,69.5,67,0,1,0,38,0,0,30,68,38,30,CINCINNATI,CINCINNATI,,
52545,Joe Royer,TE,0,2026,2026,138,12,61.2,77.8,71.3,61.4,57.6,11,0,1,0,2,28,0,25,55,30,25,CINCINNATI,CINCINNATI,,
52962,Michael McCalmont,TE,0,,2025,138,,36,70.8,6.2,,47.3,82,0,1,0,2,0,0,5,7,2,5,CINCINNATI,CINCINNATI,,
53431,Zeke Correll,C,0,2025,2025,248,,77.9,79.7,80.5,,73.3,56,0,1,0,38,0,0,31,69,38,31,NC STATE,NC STATE,,
54221,Sterling Berkhalter,WR,0,,2027,138,62.9,69.8,73.5,,68.4,60.5,84,0,1,0,0,5,0,5,10,5,5,CINCINNATI,CINCINNATI,,
63709,Spencer Curtis,WR,0,,2025,180,,57.2,67.3,,58.3,,14,0,1,0,0,2,0,0,2,2,0,HAWAII,HAWAII,,
63838,Jack Coldiron,TE,0,,2025,221,64.1,54.2,77.5,24.2,57.6,49.1,89,0,1,0,2,27,0,13,42,29,13,MIAMI OH,MIAMI OH,,
