playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPass,gradesRun
41982,Cam McCormick,TE,0,,2025,220,54.5,70.1,65.5,53,59.6,84,0,1,0,1,5,0,4,10,6,4,MIAMI FL,MIAMI FL,,,
51984,Bentley Hanshaw,TE,0,,2025,206,44.3,0,67.8,51.5,51.3,15,1,1,0,1,13,0,34,48,14,34,LIBERTY,LIBERTY,61,,
52487,Luke Kandra,G,0,2025,2025,138,63.5,79.7,73,,60.7,67,0,1,0,45,0,0,35,80,45,35,CINCINNATI,CINCINNATI,,,
52545,Joe Royer,TE,0,2026,2026,138,54.5,79.3,67.3,54.9,53.4,11,0,1,0,1,40,0,26,67,41,26,CINCINNATI,CINCINNATI,65,,
52962,Michael McCalmont,TE,0,,2025,138,56.8,67.8,,59,57.6,82,0,1,0,0,1,0,3,4,1,3,CINCINNATI,CINCINNATI,,,
53398,Eric Meeks,G,0,,2026,214,64.7,73.1,74,,63,57,0,1,0,4,0,0,7,11,4,7,MARSHALL,MARSHALL,,,
53431,Zeke Correll,C,0,2025,2025,248,65.4,0,76.9,,69.1,56,2,1,0,48,0,0,24,72,48,24,NC STATE,NC STATE,,,
53851,Logan Osburn,C,0,,2025,214,61.9,79.4,81.8,,58,65,0,1,0,26,0,0,39,65,26,39,MARSHALL,MARSHALL,,,
54221,Sterling Berkhalter,WR,0,,2027,138,53.3,74.2,,53.8,59.4,84,0,1,0,0,10,0,6,16,10,6,CINCINNATI,CINCINNATI,,,
63709,Spencer Curtis,WR,0,,2025,180,52.1,78.4,,52.1,60.5,14,0,1,0,0,28,0,14,42,28,14,HAWAII,HAWAII,,,
63838,Jack Coldiron,TE,0,,2025,221,51.5,75,35.1,67.8,38.4,89,0,1,0,8,7,0,11,26,15,11,MIAMI OH,MIAMI OH,61,,
63985,CJ Kiss,TE,0,,2025,346,57.6,65.4,,57.7,60,89,0,1,0,0,1,0,1,2,1,1,W KENTUCKY,W KENTUCKY,,,
70536,Sebastian Macaluso,WR,0,,2025,285,54.7,71,,55.3,60,24,0,1,0,0,11,0,1,12,11,1,S JOSE ST,S JOSE ST,61,,
70624,Jacob Garcia,LS,0,,2025,329,60,60,63.8,,,S49,0,1,0,1,0,0,0,1,1,0,UTAH ST,UTAH ST,,,
70874,Jake Retzlaff,QB,0,,2026,128,57,77.2,,,60,12,0,1,42,0,0,5,24,71,42,29,BYU,BYU,26,60.4,48.1
70933,DeCarlos Brooks,HB,0,,2025,110,60,69.2,,59.1,,25,0,1,0,0,1,3,0,4,1,3,ARIZONA ST,ARIZONA ST,67.3,,60.8
70961,Mikey Keene,QB,0,,2027,169,67.8,74.7,,,60,01,0,1,32,0,0,0,7,39,32,7,FRESNO ST,FRESNO ST,28.6,68.9,57.3
71312,Elijah Mojarro,TE,0,,2025,275,66,76.1,54.4,71.6,55.4,07,0,1,0,10,18,0,16,44,28,16,RICE,RICE,64.1,,
71332,Sean Dollars,HB,0,,2026,239,48,77.1,59.5,70.6,55.8,04,0,1,0,9,13,14,9,45,22,23,NEVADA,NEVADA,17.2,,42.8
