playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassRoute,gradesRun,gradesPass
149528,Caleb Gossett,WR,0,,2026,259,54.4,73.1,,61,88,0,1,0,0,6,0,8,14,6,8,OHIO,OHIO,,54.6,,
150195,Kylin James,HB,0,,2026,325,82.4,69.9,73.4,60,20,0,1,0,1,2,3,1,7,3,4,UNLV,UNLV,67.3,58.4,79.9,
150240,Jayden Higgins,WR,0,2025,2025,193,75.9,0,,60.3,09,1,1,0,0,39,0,19,58,39,19,IOWA STATE,IOWA STATE,66.7,77,,
150307,Pearson Baldwin,TE,0,,2026,196,45.5,74.8,69.2,47.3,19,0,1,0,2,1,0,25,28,3,25,JVILLE ST,JVILLE ST,,59.6,,
150308,Cole Fuller,TE,0,,2025,196,55.7,67.8,,55.7,45,0,1,0,0,0,0,5,5,0,5,JVILLE ST,JVILLE ST,,,,
150309,Brock Rechsteiner,WR,0,2026,2026,196,54.9,76.9,,62.8,89,0,1,0,0,9,0,27,36,9,27,JVILLE ST,JVILLE ST,,53.5,,
151266,Jake Bruno,TE,0,,2026,259,46.9,75.5,67.5,43.3,86,0,1,0,1,6,0,20,27,7,20,OHIO,OHIO,,55.3,,
155211,Cash Jones,HB,0,2026,2026,173,60,72.2,,58.6,32,0,1,0,0,9,2,2,13,9,4,GEORGIA,GEORGIA,65.5,52.6,64.5,
155412,Jalen Travis,T,0,2025,2025,193,74,77.6,86.1,65.4,72,1,1,0,47,0,0,27,74,47,27,IOWA STATE,IOWA STATE,,,,
156074,Emmit Bohle,T,0,,2025,110,56.7,71.6,69.3,53.9,70,0,1,0,9,0,0,5,14,9,5,ARIZONA ST,ARIZONA ST,,,,
156165,Matthew Golden,WR,1,2025,2025,311,70.9,80.1,,48.6,02,1,1,0,0,47,0,23,70,47,23,TEXAS,TEXAS,67.8,71.2,,
156236,Keith Adams,HB,0,,2027,140,59,66.8,,58.3,19,0,1,0,0,1,0,2,3,1,2,CLEMSON,CLEMSON,,60,,
156238,Josh Sapp,TE,0,,2027,140,91.4,65.4,,60,05,0,1,0,0,1,0,1,2,1,1,CLEMSON,CLEMSON,61,89.1,,
156239,Cole Turner,WR,0,,2030,140,48.3,75.8,,60.7,22,0,1,0,0,11,0,9,20,11,9,CLEMSON,CLEMSON,61,48.8,,
156241,Antonio Williams,WR,0,2026,2026,140,59.4,77.3,,58.4,00,0,1,0,0,43,0,27,70,43,27,CLEMSON,CLEMSON,70.7,59.2,,
156248,Blake Miller,T,0,2026,2026,140,69.7,77,64.6,70.3,78,0,1,0,46,0,0,28,74,46,28,CLEMSON,CLEMSON,,,,
156252,Adam Randall,WR,0,2026,2026,140,56.3,69.1,,60,08,0,1,0,0,2,0,3,5,2,3,CLEMSON,CLEMSON,61.9,57.3,,
156253,Cade Klubnik,QB,0,2026,2026,140,71.2,77.1,,60,02,0,1,46,0,0,10,18,74,46,28,CLEMSON,CLEMSON,44.7,,52.3,76.4
156397,Kam Perry,WR,0,,2027,221,56,72.9,,61.5,10,0,1,0,0,6,0,7,13,6,7,MIAMI OH,MIAMI OH,,56,,
156414,Cam Camper,WR,0,2025,2025,120,58.8,78.1,,60.4,09,0,1,0,0,27,0,30,57,27,30,BOISE ST,BOISE ST,65,58.4,,
156642,Caden Veltkamp,QB,0,,2027,346,61.6,76.5,,60,10,0,1,38,0,0,1,22,61,38,23,W KENTUCKY,W KENTUCKY,27.7,,59.4,61.1
156645,Evan Wibberley,C,0,,2027,346,57.4,0,60.5,60.7,58,1,1,0,38,0,0,23,61,38,23,W KENTUCKY,W KENTUCKY,,,,
156734,Zylan Perry,HB,0,,2027,207,53.6,74.4,79,54.6,21,0,1,0,8,18,7,2,35,26,9,LA LAFAYET,LA LAFAYET,71.3,36,61.3,
156735,Bryant Williams,T,0,,2027,207,65.8,75.8,71.6,61.5,64,0,1,0,29,0,0,18,47,29,18,LA LAFAYET,LA LAFAYET,,,,
156738,Kaden Moreau,G,0,,2027,207,59,68.5,,58.9,75,0,1,0,0,0,0,3,3,0,3,LA LAFAYET,LA LAFAYET,,,,
156742,Terrance Carter Jr.,TE,0,,2027,207,38.6,79,70,39.6,00,0,1,0,3,31,0,22,56,34,22,LA LAFAYET,LA LAFAYET,,41,,
156800,Jalen Slappy,G,0,,2027,214,67.5,77.7,85.8,64,70,0,1,0,26,0,0,21,47,26,21,MARSHALL,MARSHALL,,,,
156805,Toby Payne,TE,0,,2027,214,50.5,79.3,45.6,66.3,81,0,1,0,2,29,0,39,70,31,39,MARSHALL,MARSHALL,61,44.6,,
156914,Justin Holmes,TE,0,,2026,214,69,70.9,,67.4,80,0,1,0,0,0,0,15,15,0,15,MARSHALL,MARSHALL,,,,
157025,Andrew Chamblee,T,0,,2027,287,60,66.9,85.3,60,74,0,1,0,2,0,0,1,3,2,1,SMU,SMU,,,,
157069,Malaki Starks,S,0,2025,2025,173,60,65,63.8,,D24,0,1,0,1,0,0,0,1,1,0,GEORGIA,GEORGIA,,,,
157070,Jalon Walker,LB,0,2025,2025,173,60,60,63.8,,D11,0,1,0,1,0,0,0,1,1,0,GEORGIA,GEORGIA,,,,
157071,Brett Thorson,P,0,2026,2026,173,58.3,70.3,,,S92,0,1,0,0,1,0,0,1,1,0,GEORGIA,GEORGIA,,55.3,,
157072,Gunner Stockton,QB,0,,2027,173,53.5,75.2,,60,14,0,1,21,0,0,5,19,45,21,24,GEORGIA,GEORGIA,70.3,,61.7,49.1
157074,Earnest Greene III,T,0,,2027,173,56.5,69.1,40.6,,71,0,1,0,6,0,0,0,6,6,0,GEORGIA,GEORGIA,,,,
157080,Oscar Delp,TE,0,2026,2026,173,71.5,77.2,65.6,60.4,04,0,1,0,1,19,0,25,45,20,25,GEORGIA,GEORGIA,64.1,73.4,,
157194,Coben Bourguet,WR,0,,2026,110,59.6,70.7,,58.7,88,0,1,0,0,0,0,8,8,0,8,ARIZONA ST,ARIZONA ST,,,,
157196,Ashton Jeanty,HB,0,2025,2025,120,82.3,78.2,79.9,60,02,0,1,0,8,17,33,3,61,25,36,BOISE ST,BOISE ST,79.6,66.8,80,
157197,Kage Casey,T,0,2026,2026,120,57,77,78.3,50,77,0,1,0,29,0,0,36,65,29,36,BOISE ST,BOISE ST,,,,
157298,Jordan Hudson,WR,0,2026,2026,287,63.6,77.3,,55.2,08,0,1,0,0,22,0,9,31,22,9,SMU,SMU,65,64,,
157303,Jaydon Blue,HB,0,2025,2025,311,61.9,73.1,,59.4,23,0,1,0,0,10,2,2,14,10,4,TEXAS,TEXAS,66.9,58.9,63.1,
157304,Cole Hutson,G,0,,2027,311,66.1,75.6,67.4,66.1,54,0,1,0,19,0,0,6,25,19,6,TEXAS,TEXAS,,,,
157567,Rocco Becht,QB,0,,2027,193,90.2,76.7,,60,03,0,1,41,0,0,3,21,65,41,24,IOWA STATE,IOWA STATE,70.4,,83.7,81.9
157578,Gabe Burkle,TE,0,,2027,193,63.8,76.6,30.7,66.6,84,0,1,0,3,31,0,17,51,34,17,IOWA STATE,IOWA STATE,65.7,62.6,,
157579,Carson Brown,WR,0,,2028,193,51.7,76.6,,61.6,32,0,1,0,0,25,0,10,35,25,10,IOWA STATE,IOWA STATE,,51.8,,
157599,James Neal III,T,0,2026,2026,193,83.1,67.4,,80.5,75,0,1,0,0,0,0,4,4,0,4,IOWA STATE,IOWA STATE,,,,
157730,Trevor Etienne,HB,0,2025,2025,173,81.4,76.9,57,59.2,01,0,1,0,5,17,16,6,44,22,22,GEORGIA,GEORGIA,75.6,79.4,78.5,
158012,Eric Smith,T,0,,2027,221,44.3,70.3,0,59.1,51,0,1,0,2,0,0,7,9,2,7,MIAMI OH,MIAMI OH,,,,
158013,Gavin Rohrs,G,0,,2027,221,73,72,73.3,72.2,76,0,1,0,2,0,0,7,9,2,7,MIAMI OH,MIAMI OH,,,,
158015,Drew Terrill,T,0,,2027,221,68.9,70,73,67.7,78,0,1,0,2,0,0,7,9,2,7,MIAMI OH,MIAMI OH,,,,
158022,Reggie Virgil,WR,0,2026,2026,221,61.8,77.1,,62.6,00,0,1,0,0,27,0,12,39,27,12,MIAMI OH,MIAMI OH,62.9,61.3,,
158028,Javon Tracy,WR,0,,2027,221,73.6,76.1,67.5,61.3,11,0,1,0,2,25,0,12,39,27,12,MIAMI OH,MIAMI OH,66.7,72.3,,
158031,Jackson Izzard,WR,0,,2025,221,60,63.4,,60,81,0,1,0,0,0,0,1,1,0,1,MIAMI OH,MIAMI OH,,,,
158034,Nate Milanowski,HB,0,,2026,221,59.1,65.5,67.9,,23,0,1,0,1,1,1,0,3,2,1,MIAMI OH,MIAMI OH,62.5,60,59.6,
158224,Eian Pugh,WR,0,,2027,259,60,66.2,,60,12,0,1,0,0,0,0,2,2,0,2,OHIO,OHIO,,,,
158272,Kevin Jennings,QB,0,,2027,287,78,77.8,62.2,60,07,0,1,56,1,0,8,23,88,57,31,SMU,SMU,47.1,,71.6,73.9
158407,Alex Bauman,TE,0,,2026,319,56.4,0,69.5,57.7,87,1,1,0,5,22,0,16,43,27,16,TULANE,TULANE,65.4,60,,
158411,Brice Busch,P,0,,2026,319,60,60,,,S62,0,1,0,0,0,1,0,1,0,1,TULANE,TULANE,11.5,,60,
158417,Makhi Hughes,HB,0,,2028,319,75.1,76,39.1,60,21,0,1,0,7,15,14,1,37,22,15,TULANE,TULANE,74.9,63,77.4,
158418,Shadre Hurst,G,0,,2027,319,71.2,79.1,72.4,71.9,56,0,1,0,33,0,0,21,54,33,21,TULANE,TULANE,,,,
158589,Kyle Kloska,C,0,,2028,114,60,67.3,,60,75,0,1,0,0,0,0,2,2,0,2,ARMY,ARMY,,,,
158674,Evan Stewart,WR,0,,2027,264,51.3,78.3,,60.3,07,0,1,0,0,33,0,24,57,33,24,OREGON,OREGON,,51,,
158685,PJ Williams,T,0,,2027,287,64.9,77.6,75.9,56.3,59,0,1,0,55,0,0,30,85,55,30,SMU,SMU,,,,
159769,Christian Richter,T,0,,2028,214,60,67.5,,60,79,0,1,0,0,0,0,2,2,0,2,MARSHALL,MARSHALL,,,,
160817,Tre Stewart,HB,0,2025,2025,196,87.3,76.1,75.6,70.1,28,0,1,0,5,10,28,21,64,15,49,JVILLE ST,JVILLE ST,78.7,77.1,83.3,
162627,Carl Chester,WR,0,,2026,214,56.5,78,,39.4,07,1,1,0,0,17,0,27,44,17,27,MARSHALL,MARSHALL,61,60.5,,
