playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesKickReturn,gradesLongSnap,gradesPuntReturn,gradesFgepKicker,gradesKickoffKicker,gradesPunter
41982,Cam McCormick,TE,0,0,,2025,220,60,59,66.6,84,0,0,1,6,0,0,7,2,0,0,MIAMI FL,MIAMI FL,15,,,,,,,
51815,Skip Velotta,S,0,0,,2025,211,,60,63.6,D34,0,0,1,0,0,1,0,0,0,0,LSU,LSU,1,,,,,,,
52545,Joe Royer,TE,0,0,2026,2026,138,61.5,61.8,61.5,11,0,0,1,9,0,0,0,0,0,0,CINCINNATI,CINCINNATI,9,,,,,,,
52925,Zaid Hamdan,DI,0,0,,2025,201,,44.2,27,D57,0,1,1,0,4,0,9,5,3,0,KENT STATE,KENT STATE,21,59,,,,,,
52962,Michael McCalmont,TE,0,0,,2025,138,61.3,61.4,67.7,82,0,0,1,9,0,0,9,0,0,0,CINCINNATI,CINCINNATI,18,,,,,,,
53372,Nick Presley,WR,0,0,,2026,117,,46.6,66.8,19,1,0,1,0,0,0,0,2,0,0,BALL ST,BALL ST,2,,,,,,,
53398,Eric Meeks,G,0,0,,2026,214,,51.9,63.7,57,0,0,1,0,0,0,5,3,0,0,MARSHALL,MARSHALL,8,,,,,,,
53549,DeShawn Pace,LB,0,0,,2025,323,,60.7,65.6,D03,0,0,1,0,6,1,0,0,0,0,UCF,UCF,7,60.1,,,,,,
53572,Eric Phillips,ED,0,0,,2025,138,,58.8,64.6,D97,0,0,1,0,8,0,0,0,0,0,CINCINNATI,CINCINNATI,8,58.8,,,,,,
53981,Iesa Jarmon,CB,0,0,,2027,102,,67.7,69.3,D12,0,0,1,0,0,0,0,0,6,0,AKRON,AKRON,6,,,,,,,
54193,Jaheim Thomas,LB,0,0,2026,2025,349,,60.5,63.6,D07,0,0,1,0,5,0,0,0,1,0,WISCONSIN,WISCONSIN,6,59.9,,,,,,
62494,Alex Howard,LB,0,0,,2025,154,,60,61.7,D03,0,0,1,0,1,0,0,0,0,0,DUKE,DUKE,1,60,,,,,,
66051,Josh Minkins,S,0,0,2025,2025,138,,60.2,63.6,D00,0,0,1,0,4,1,0,1,0,0,CINCINNATI,CINCINNATI,6,60,,,,,,
70644,Ben Florentine,DI,0,0,,2026,351,,60,65.8,D94,0,0,1,0,3,0,0,4,2,0,WYOMING,WYOMING,9,58.8,,,,,,
70879,Tuasivi Nomura,LB,0,0,2025,2025,169,,60.1,63.7,D08,0,0,1,0,9,0,0,0,0,0,FRESNO ST,FRESNO ST,9,59.8,,,,,,
70973,Bryant Jackson,LB,0,0,,2026,242,,71.3,64.7,D57,0,0,1,0,0,0,9,0,0,0,NEW MEX ST,NEW MEX ST,9,,59.9,,,,,
71370,Domani Jackson,CB,0,0,2026,2026,103,,60.1,64.6,D01,0,0,1,0,2,0,0,0,0,0,ALABAMA,ALABAMA,2,59.8,,,,,,
71391,William Nimmo Jr.,S,0,0,,2025,284,,60,61.1,D07,0,0,1,0,1,0,0,0,0,0,S DIEGO ST,S DIEGO ST,1,60,,,,,,
71398,Keanu Tanuvasa,DI,0,0,,2027,328,,58.4,63.4,D57,0,0,1,0,6,0,0,0,0,0,UTAH,UTAH,6,58.6,,,,,,
71410,Easton Mascarenas-Arnold,LB,0,0,2025,2025,326,,60.1,64.4,D04,0,0,1,0,3,0,0,3,1,0,USC,USC,7,60,,,,,,
71476,Cameron Warchuck,LS,0,0,,2026,340,,62.8,62.6,S47,0,0,1,0,0,0,0,2,0,0,WASHINGTON,WASHINGTON,2,,,78.5,,,,
71596,Aaron Smith,CB,0,0,,2026,241,,60.9,66.6,D29,0,0,1,0,0,0,0,0,3,0,NEW MEXICO,NEW MEXICO,3,,,,,,,
71674,Silas Bolden,WR,0,0,2025,2025,311,,60,63.5,11,0,0,1,0,0,0,1,0,4,0,TEXAS,TEXAS,5,,59.9,,63.2,,,
71957,Sheldon Newton,DI,0,0,,2025,120,,59.7,63,D09,0,0,1,0,2,0,0,0,0,0,BOISE ST,BOISE ST,2,59.5,,,,,,
72075,Josh Carlin,G,0,0,,2025,324,60,61,61.8,54,0,0,1,3,0,0,0,0,0,0,UCLA,UCLA,3,,,,,,,
72158,Jake Bailey,WR,0,0,,2025,287,,68.2,67.3,12,0,0,1,0,0,0,0,0,5,0,SMU,SMU,5,,,,60.3,,,
72332,Kamren Fabiculanan,S,0,0,,2025,340,,60.8,66.1,D13,0,0,1,0,3,0,0,0,4,0,WASHINGTON,WASHINGTON,7,59.9,,,,,,
72338,Raider Damuni,S,0,0,,2028,128,,51.3,67.9,D03,0,0,1,0,0,7,0,0,0,0,BYU,BYU,7,,,,,,,
72388,Justin Flowe,LB,0,0,,2027,109,,60,61.8,D00,0,0,1,0,1,0,0,0,0,0,ARIZONA,ARIZONA,1,59.7,,,,,,
72425,Zahran Manley,CB,0,0,,2025,300,,61.4,66.3,D04,0,0,1,0,7,0,0,0,1,0,STANFORD,STANFORD,8,60.1,,,,,,
72535,Noa Pola-Gates,CB,0,0,,2025,241,,40.9,27.7,D02,0,2,1,0,7,2,0,3,2,2,NEW MEXICO,NEW MEXICO,14,59.8,,,,,,
72689,Marshall Jackson,T,0,0,,2026,346,60,60.8,61.1,53,0,0,1,4,0,0,0,0,0,0,W KENTUCKY,W KENTUCKY,4,,,,,,,
72769,Lavario Wiley,CB,0,0,,2025,325,,69.8,68.6,D17,0,0,1,0,1,9,0,0,3,1,UNLV,UNLV,13,60,,,,,,
72821,Keith Conley Jr.,ED,0,0,,2026,325,,59.8,62.4,D99,0,0,1,0,1,0,0,0,0,0,UNLV,UNLV,1,59.6,,,,,,
73148,Falcon Kaumatule,G,0,0,,2025,328,60,60,61.3,59,0,0,1,2,0,0,0,0,0,0,UTAH,UTAH,2,,,,,,,
73389,Marco Notarainni,LB,0,0,,2026,120,,62.9,66.6,D53,0,0,1,0,4,8,4,3,0,0,BOISE ST,BOISE ST,19,60,,,,,,
73697,Sioeli Helu,G,0,0,,2027,242,61.2,61.9,68.7,58,0,0,1,7,0,0,0,0,0,0,NEW MEX ST,NEW MEX ST,7,,,,,,,
73930,Ryan Daly,TE,0,0,,2027,126,,60.3,67.8,88,0,0,1,0,0,0,10,0,0,0,BUFFALO,BUFFALO,10,,,,,,,
74119,Taariq Al-Uqdah,LB,0,0,,2027,341,,60.7,65.7,D00,0,0,1,0,5,3,0,0,0,0,WASH STATE,WASH STATE,8,59.8,,,,,,
