playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesLongSnap,gradesKickReturn,gradesPuntReturn,gradesFgepKicker,gradesPunter,gradesKickoffKicker
146042,Al'zillion Hamilton,CB,0,0,2026,2026,169,60.2,65.9,D03,0,0,1,0,5,0,0,0,0,0,FRESNO ST,FRESNO ST,5,59.7,,,,,,,
146047,Kamron Beachem,TE,0,0,,2026,169,60.5,66.4,15,0,0,1,2,0,0,6,0,0,0,FRESNO ST,FRESNO ST,8,,60,,,,,,
146051,Rolan Fullwood,T,0,0,,2028,169,60.1,65.8,71,0,0,1,2,1,0,0,0,0,0,FRESNO ST,FRESNO ST,3,59.3,60,,,,,,
146053,Johnathan Arceneaux,HB,0,0,,2026,169,61.9,66.7,00,0,0,1,0,0,2,0,0,3,0,FRESNO ST,FRESNO ST,5,,,,,,,,
146065,Landon Sims,HB,0,0,,2026,180,46.5,69.3,30,0,0,1,5,0,5,5,4,3,0,HAWAII,HAWAII,22,,60,,,,,,
146067,Zhen Sotelo,G,0,0,,2026,180,60.5,62.8,58,0,0,1,2,0,0,0,2,0,0,HAWAII,HAWAII,4,,60,,,,,,
146073,Tariq Jones,ED,0,0,,2026,180,60.3,64.2,D05,0,0,1,0,5,0,0,0,0,0,HAWAII,HAWAII,5,60,,,,,,,
146147,Dominic Oliver,ED,0,0,,2026,346,58.7,66.5,D09,0,0,1,0,5,8,0,5,3,0,W KENTUCKY,W KENTUCKY,21,59.7,,,,,,,
146198,Kilinahe Mendiola-Jensen,S,0,0,,2026,180,62,66.1,D08,0,0,1,0,5,3,0,0,3,0,HAWAII,HAWAII,11,59.9,,,,,,,
146212,Marsel McDuffie,LB,0,0,,2026,325,60.4,66.1,D08,0,0,1,0,5,0,0,0,1,0,UNLV,UNLV,6,60.1,,,,,,,
146269,George Hart III,HB,0,0,,2026,346,60,65.5,09,0,0,1,0,0,0,0,0,1,0,W KENTUCKY,W KENTUCKY,1,,,,,,,,
146299,Hunter Barth,LB,0,0,,2026,300,60.1,64.7,D23,0,0,1,0,4,1,0,4,1,0,STANFORD,STANFORD,10,60,,,,,,,
146318,Austin Smith,TE,0,0,,2026,281,60.4,65.5,12,0,0,1,5,0,0,8,6,0,0,SM HOUSTON,SM HOUSTON,19,,60,,,,,,
146374,Ese Dubre,ED,0,0,,2026,300,59.8,27.2,D30,0,1,1,0,2,5,5,4,4,0,STANFORD,STANFORD,20,59.9,,,,,,,
146375,Mitch Leigber,S,0,0,,2026,300,61.3,64,D32,0,0,1,0,5,0,0,0,3,0,STANFORD,STANFORD,8,59.8,,,,,,,
146378,Wilfredo Aybar,ED,0,0,,2026,300,60.1,64.5,D14,0,0,1,0,4,0,0,0,0,0,STANFORD,STANFORD,4,59.8,,,,,,,
146384,Emmet Kenney,K,0,0,,2027,300,60.1,67.4,S13,0,0,1,5,0,5,0,0,0,0,STANFORD,STANFORD,10,,,,,,67.7,,63
146445,Darrien Stewart,CB,0,0,,2026,325,59.9,65.4,D13,0,0,1,0,1,0,6,0,0,0,UNLV,UNLV,7,60,,,,,,,
146476,Griffin Waiss,TE,0,0,,2026,300,55.3,64,89,0,0,1,4,0,0,4,0,0,0,STANFORD,STANFORD,8,,60,,,,,,
146522,Giovanni Iovino,LB,0,0,,2026,180,51.8,68,D17,0,0,1,0,0,5,5,4,1,0,HAWAII,HAWAII,15,,,,,,,,
146697,DaeDae Reynolds,WR,0,0,,2026,325,60,60.5,03,0,0,1,0,0,0,0,0,1,0,UNLV,UNLV,1,,,,,,,,
146698,Nick Elksnis,TE,0,0,,2026,325,59.5,65.3,84,0,0,1,0,0,0,0,4,0,0,UNLV,UNLV,4,,,,,,,,
146707,Chief Borders,ED,0,0,,2026,325,62.2,65.8,D01,0,0,1,0,1,7,0,0,1,0,UNLV,UNLV,9,59.7,,,,,,,
146736,La'Vell Wright,HB,1,0,,2027,346,72.6,68,11,0,0,1,0,0,7,0,5,1,0,W KENTUCKY,W KENTUCKY,13,,,,,,,,
146825,Demarko Williams,CB,0,0,,2026,346,62.2,64.1,D01,0,0,1,0,0,0,5,0,5,0,W KENTUCKY,W KENTUCKY,10,,,,62.3,,,,
146835,Caden Costa,K,0,0,,2026,325,60,69.4,S38,0,0,1,0,0,7,0,0,0,0,UNLV,UNLV,7,,,,,,,,73.2
146865,Rex Robich,LS,0,0,,2026,346,66.1,63.5,S55,0,0,1,7,0,0,0,5,0,0,W KENTUCKY,W KENTUCKY,12,,64.9,80.7,,,,,
146889,Zachary Lovett,LB,0,0,,2026,193,64.9,66.4,D00,0,0,1,0,1,5,0,0,0,0,IOWA STATE,IOWA STATE,6,60,,,,,,,
