playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesRun,gradesPass
145294,John McConnell,P,0,,2026,219,,60,70.3,,,60,S19,0,1,0,0,0,0,1,1,0,1,MERCER,MERCER,,
146038,Pedro Timoteo,G,0,,2026,269,,56.4,76.7,84.2,,44.1,76,0,1,0,37,0,0,29,66,37,29,PORTLAND,PORTLAND,,
146075,Jalen Walthall,WR,0,2026,2026,189,65.7,56,0,,60.1,37.9,06,2,1,0,0,39,0,26,65,39,26,INCAR WORD,INCAR WORD,,
146087,Jacques Badolato-Birdsell,HB,0,,2026,269,,59,70.1,67.7,58.3,59.5,31,0,1,0,1,2,0,4,7,3,4,PORTLAND,PORTLAND,,
147316,Danny Joiner,TE,0,,2027,401,61,58.4,72.6,67.4,71.6,46.3,43,0,1,0,1,7,0,14,22,8,14,TARLETON,TARLETON,,
147963,Jordan Love,C,0,,2026,401,,62.7,78.4,50.1,,63.5,68,1,1,0,25,0,0,24,49,25,24,TARLETON,TARLETON,,
150096,Juan Gonzales,C,0,,2026,297,,67.8,78.7,68.4,,65.4,62,0,1,0,29,0,0,24,53,29,24,SOUTHERN U,SOUTHERN U,,
150117,Jaylon Spears,HB,0,,2026,189,75.5,70.3,75.4,11.1,57.2,60,01,0,1,0,1,20,16,2,39,21,18,INCAR WORD,INCAR WORD,73.7,
150449,Walker Harris,QB,0,,2026,247,28.8,68.6,76.7,,,60,03,0,1,32,0,0,1,30,63,32,31,NC CENT,NC CENT,40.3,79.5
150458,Quentin McCall,WR,0,,2026,247,61,63.3,74.2,,62.8,60.8,12,0,1,0,0,11,0,7,18,11,7,NC CENT,NC CENT,,
150463,Kyle Morgan,TE,0,,2026,247,62.9,63.4,75.9,,64.4,59.3,84,0,1,0,0,13,0,16,29,13,16,NC CENT,NC CENT,,
153957,Alec Ambrosia,G,0,,2026,401,,66.5,73.3,67.3,,65.9,72,0,1,0,1,0,0,12,13,1,12,TARLETON,TARLETON,,
155193,Matteo Perez,HB,0,,2027,322,70.7,66.4,73,73.5,59.3,60,19,0,1,0,2,10,6,1,19,12,7,UC DAVIS,UC DAVIS,66.9,
