playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesLongSnap,gradesKickReturn,gradesPuntReturn,gradesFgepKicker,gradesKickoffKicker,gradesPunter
41982,Cam McCormick,TE,0,0,,2025,220,60.6,61.5,65.7,84,0,0,1,8,0,0,4,2,0,0,MIAMI FL,MIAMI FL,14,,,,,,,
43872,Mason White,CB,0,0,,2026,265,,61.9,67.2,D01,0,0,1,0,0,8,0,0,4,0,OREGON ST,OREGON ST,12,,,,,,,
51984,Bentley Hanshaw,TE,0,0,,2025,206,60.9,75.6,61.8,15,0,0,1,8,0,0,0,1,0,1,LIBERTY,LIBERTY,9,,,,,,,
52369,Marshall Lang,TE,0,0,2025,2025,256,60,74.4,64.7,88,0,0,1,4,0,0,3,0,0,0,NWESTERN,NWESTERN,7,,,,,,,
52540,Jakob James,C,0,0,,2025,316,64.8,62.4,62.5,78,0,0,1,9,0,0,0,0,0,0,TOLEDO,TOLEDO,9,,,,,,,
52545,Joe Royer,TE,0,0,2026,2026,138,60,61.4,64.2,11,0,0,1,7,0,0,0,1,0,0,CINCINNATI,CINCINNATI,8,,,,,,,
52925,Zaid Hamdan,DI,0,0,,2025,201,,60.4,66.8,D57,0,0,1,0,3,0,0,5,2,0,KENT STATE,KENT STATE,10,59,,,,,,
52962,Michael McCalmont,TE,0,0,,2025,138,60,61.5,62.9,82,0,0,1,7,0,0,0,0,0,0,CINCINNATI,CINCINNATI,7,,,,,,,
53549,DeShawn Pace,LB,0,0,,2025,323,,60.6,66.9,D03,0,0,1,0,1,4,0,2,0,0,UCF,UCF,7,60,,,,,,
53572,Eric Phillips,ED,0,0,,2025,138,,60.2,64.6,D97,0,0,1,0,3,0,0,0,1,0,CINCINNATI,CINCINNATI,4,59.5,,,,,,
54193,Jaheim Thomas,LB,0,0,2026,2025,349,,60.4,64.1,D07,0,0,1,0,3,0,0,1,1,0,WISCONSIN,WISCONSIN,5,60,,,,,,
54221,Sterling Berkhalter,WR,0,0,,2027,138,,60.2,66.4,84,0,0,1,0,0,0,5,0,0,0,CINCINNATI,CINCINNATI,5,,,,,,,
54240,Cheikhsaliou Fall,ED,0,0,,2025,130,,68.1,66.6,D17,0,0,1,0,0,3,0,0,0,1,CAL,CAL,3,,,,,,,
62277,Jaiden Cameron,ED,0,0,,2025,256,,59.2,63,D53,0,0,1,0,3,0,0,0,0,0,NWESTERN,NWESTERN,3,59.1,,,,,,
62494,Alex Howard,LB,0,0,,2025,154,,60,61.8,D03,0,0,1,0,1,0,0,0,0,0,DUKE,DUKE,1,59.7,,,,,,
62724,Barry Brown,LB,0,0,,2025,141,,62.4,65.3,D35,0,0,1,0,2,8,0,0,1,0,COAST CAR,COAST CAR,11,59.9,,,,,,
63709,Spencer Curtis,WR,0,0,,2025,180,,60,66,14,0,0,1,0,0,0,5,2,0,0,HAWAII,HAWAII,7,,,,,,,
63872,Kam Butler,ED,0,0,,2025,335,,60.8,65.3,D82,0,0,1,0,0,0,0,0,3,0,VIRGINIA,VIRGINIA,3,,,,,,,
64470,Will Whitson,DI,0,0,,2028,141,,60.1,64.2,D44,0,0,1,0,2,0,0,0,1,0,COAST CAR,COAST CAR,3,59.4,,,,,,
66051,Josh Minkins,S,0,0,2025,2025,138,,60.4,67.1,D00,0,0,1,0,3,0,0,2,3,0,CINCINNATI,CINCINNATI,8,59.9,,,,,,
70624,Jacob Garcia,LS,0,0,,2025,329,64.9,65.6,63.2,S49,0,0,1,7,0,0,0,4,0,0,UTAH ST,UTAH ST,11,,79.6,,,,,
70644,Ben Florentine,DI,0,0,,2026,351,,59.3,64.6,D94,0,0,1,0,7,0,0,8,0,0,WYOMING,WYOMING,15,58.7,,,,,,
70879,Tuasivi Nomura,LB,0,0,2025,2025,169,,60.1,63.5,D08,0,0,1,0,6,0,0,0,0,0,FRESNO ST,FRESNO ST,6,59.9,,,,,,
70933,DeCarlos Brooks,HB,0,0,,2025,110,,60,64.6,25,0,0,1,0,0,0,2,0,0,0,ARIZONA ST,ARIZONA ST,2,,,,,,,
71325,Boden Groen,TE,0,0,,2026,275,60,60.5,64.1,14,0,0,1,3,0,0,7,0,0,0,RICE,RICE,10,,,,,,,
71370,Domani Jackson,CB,0,0,2026,2026,103,,60.2,65.2,D01,0,0,1,0,1,1,0,0,0,0,ALABAMA,ALABAMA,2,59.9,,,,,,
71382,Luke Felix-Fualalo,T,0,0,2025,2025,180,60,60.8,66.7,72,0,0,1,3,0,0,0,0,0,0,HAWAII,HAWAII,3,,,,,,,
71398,Keanu Tanuvasa,DI,0,0,,2027,328,60,61.2,64.3,D57,0,0,1,2,0,0,0,0,1,0,UTAH,UTAH,3,,,,,,,
71406,Akili Arnold,S,0,0,,2025,326,,61.9,66.5,D00,0,0,1,0,3,0,4,0,4,0,USC,USC,11,59.9,,,,,,
71410,Easton Mascarenas-Arnold,LB,0,0,2025,2025,326,,61.1,61.4,D04,0,0,1,0,3,0,0,0,3,0,USC,USC,6,59.9,,,,,,
71476,Cameron Warchuck,LS,0,0,,2026,340,61.6,29.6,63,S47,0,0,1,5,0,0,0,3,0,0,WASHINGTON,WASHINGTON,8,,0,,,,,
71530,Marquis Ashley,WR,0,0,,2026,239,,60,62.2,07,0,0,1,0,0,0,5,0,0,0,NEVADA,NEVADA,5,,,62.1,,,,
71674,Silas Bolden,WR,0,0,2025,2025,311,,60.1,64.3,11,0,0,1,0,0,0,0,0,7,0,TEXAS,TEXAS,7,,,,41,,,
71957,Sheldon Newton,DI,0,0,,2025,120,,59.8,74.7,D09,0,0,1,0,4,0,0,0,1,0,BOISE ST,BOISE ST,5,59,,,,,,
72023,Jake Hall,LB,0,0,,2026,330,,56.8,64.4,D42,0,0,1,0,0,0,7,0,0,0,UTEP,UTEP,7,,,,,,,
72075,Josh Carlin,G,0,0,,2025,324,60.8,61.6,62.1,54,0,0,1,5,0,0,0,0,0,0,UCLA,UCLA,5,,,,,,,
72089,DJ Harvey,CB,0,0,,2026,285,,60.5,65.5,D02,0,0,1,0,5,0,0,0,0,0,S JOSE ST,S JOSE ST,5,60,,,,,,
72178,Colby Bowman,WR,0,0,,2025,329,,59.6,67.2,09,0,0,1,0,0,0,3,4,0,0,UTAH ST,UTAH ST,7,,,,,,,
72332,Kamren Fabiculanan,S,0,0,,2025,340,,59.4,64.2,D13,0,0,1,0,1,0,0,3,0,0,WASHINGTON,WASHINGTON,4,60,,,,,,
72354,Logan Pili,LB,0,0,,2027,329,,61.2,64.5,D27,0,0,1,0,0,8,0,0,0,0,UTAH ST,UTAH ST,8,,,,,,,
72388,Justin Flowe,LB,0,0,,2027,109,,64,71.5,D00,0,0,1,0,0,11,0,1,3,0,ARIZONA,ARIZONA,15,,,,,,,
72425,Zahran Manley,CB,0,0,,2025,300,,60.7,66.4,D04,0,0,1,0,7,0,0,0,0,0,STANFORD,STANFORD,7,60,,,,,,
72535,Noa Pola-Gates,CB,0,0,,2025,241,,57.7,28.3,D34,0,1,1,0,8,6,0,3,0,1,NEW MEXICO,NEW MEXICO,17,59.6,,,,,,
72538,Jadon Pearson,LB,0,0,,2026,329,,62.4,67.5,D39,0,0,1,0,0,8,3,0,0,0,UTAH ST,UTAH ST,11,,,,,,,
72689,Marshall Jackson,T,0,0,,2026,346,60,60,60.2,53,0,0,1,1,0,0,0,0,0,0,W KENTUCKY,W KENTUCKY,1,,,,,,,
72769,Lavario Wiley,CB,0,0,,2025,325,,51.2,69.4,D17,0,0,1,0,1,6,0,3,6,1,UNLV,UNLV,16,59.9,,,,,,
72821,Keith Conley Jr.,ED,0,0,,2026,325,,59.8,62,D99,0,0,1,0,1,0,0,0,0,0,UNLV,UNLV,1,59.6,,,,,,
73148,Falcon Kaumatule,G,0,0,,2025,328,60,61.4,62.1,59,0,0,1,7,0,0,0,0,0,0,UTAH,UTAH,7,,,,,,,
73151,Henry Ikahihifo,ED,0,0,,2026,239,,60.6,65.7,D00,0,0,1,0,4,0,1,0,1,0,NEVADA,NEVADA,6,59.7,,,,,,
73243,Lincoln Tuioti-Mariner,S,0,0,,2028,101,,60,60,D23,0,0,1,0,1,0,0,0,0,0,AIR FORCE,AIR FORCE,1,60,,,,,,
73389,Marco Notarainni,LB,0,0,,2026,120,,61.4,78.3,D53,0,0,1,0,5,0,0,0,0,0,BOISE ST,BOISE ST,5,60,,,,,,
73619,Jordan Monroe,LB,0,0,,2025,254,,38.9,67,D42,1,0,1,0,0,4,0,0,2,0,N ILLINOIS,N ILLINOIS,6,,,,,,,
73621,Elijah Gilliam,HB,0,0,,2026,169,,60.1,63.5,33,0,0,1,0,0,0,2,0,0,0,FRESNO ST,FRESNO ST,2,,,,,,,
73658,Gio De Leon,LB,0,0,,2026,126,,68,64.1,D45,0,0,1,0,0,6,0,0,0,1,BUFFALO,BUFFALO,6,,,,,,,
73697,Sioeli Helu,G,0,0,,2027,242,60,60.8,66.5,58,0,0,1,3,0,0,0,0,0,0,NEW MEX ST,NEW MEX ST,3,,,,,,,
73935,Cade McConnell,QB,0,0,,2026,330,60,60,60.2,11,0,0,1,1,0,0,0,0,0,0,UTEP,UTEP,1,,,,,,,
74101,Justin Houston,CB,0,0,,2026,169,,61.5,68.7,D13,0,0,1,0,0,0,0,0,4,0,FRESNO ST,FRESNO ST,4,,,,,,,
74119,Taariq Al-Uqdah,LB,0,0,,2027,341,,61.3,65.6,D00,0,0,1,0,1,4,0,0,0,0,WASH STATE,WASH STATE,5,60,,,,,,
74236,Mason Murphy,T,0,0,2026,2026,326,60,61.8,68.8,76,0,0,1,6,0,0,0,0,0,0,USC,USC,6,,,,,,,
74258,Justin Sinclair,S,0,0,,2026,180,,60.2,68.2,D06,0,0,1,0,3,3,5,5,2,0,HAWAII,HAWAII,18,59.9,,,,,,
74267,Melquan Stovall,WR,0,0,,2025,110,,60.2,64.7,05,0,0,1,0,0,0,0,0,8,0,ARIZONA ST,ARIZONA ST,8,,,,67.6,,,
74395,Zion Branch,S,0,0,,2027,326,,48.1,67.5,D08,0,0,1,0,0,6,0,0,0,0,USC,USC,6,,,,,,,
74427,Anthony Landphere,TE,0,0,2025,2025,218,60.7,61.6,61.4,82,0,0,1,8,0,0,0,0,0,0,MEMPHIS,MEMPHIS,8,,,,,,,
74498,Treven Ma'ae,DI,0,0,2025,2025,118,,59.9,63.5,D09,0,0,1,0,2,0,0,0,0,0,BAYLOR,BAYLOR,2,59.7,,,,,,
74652,AJ Vaipulu,G,0,0,,2026,242,60,60.3,61.6,51,0,0,1,3,0,0,0,0,0,0,NEW MEX ST,NEW MEX ST,3,,,,,,,
74957,Nathan Griffin,LB,0,0,,2025,346,,60,66.1,D45,0,0,1,0,0,0,0,0,2,0,W KENTUCKY,W KENTUCKY,2,,,,,,,
75046,Jaylen Johnson,S,0,0,,2026,259,,60.9,63,D28,0,0,1,0,5,0,0,0,2,0,OHIO,OHIO,7,60,,,,,,
75263,Silas Walters,S,0,0,2026,2026,221,,60.3,63.8,D29,0,0,1,0,4,0,0,1,1,0,MIAMI OH,MIAMI OH,6,59.9,,,,,,
75264,Andre Proffitt,DI,0,0,,2026,102,,59.7,63.4,D95,0,0,1,0,3,0,0,0,0,0,AKRON,AKRON,3,59.5,,,,,,
75288,Tegra Tshabola,G,0,0,,2028,260,62,62.1,66.9,77,0,0,1,7,0,0,0,0,0,0,OHIO STATE,OHIO STATE,7,,,,,,,
75816,Chuck Hicks,LB,0,0,,2025,229,,60,62.2,D30,0,0,1,0,0,0,1,0,0,0,MISSOURI,MISSOURI,1,,,,,,,
76053,Caleb Tubbs,CB,0,0,,2025,221,,55.6,66.1,D14,0,0,1,0,2,3,4,1,0,0,MIAMI OH,MIAMI OH,10,60,,,,,,
76122,Bam Booker,ED,0,0,,2027,122,,60,61.8,D17,0,0,1,0,1,0,0,0,0,0,BOWL GREEN,BOWL GREEN,1,59.7,,,,,,
76532,Damaje Yancey,CB,0,0,,2025,318,,61,66.7,D09,0,0,1,0,4,1,0,0,2,0,TROY,TROY,7,59.9,,,,,,
