playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesPass,gradesRun
41982,Cam McCormick,TE,0,,2025,220,61,84.3,70.8,86.7,67.4,84,0,1,0,0,2,0,12,14,2,12,MIAMI FL,MIAMI FL,,,
51984,Bentley Hanshaw,TE,0,,2025,206,61,58.7,75.8,60,57.2,15,0,1,0,4,15,0,17,36,19,17,LIBERTY,LIBERTY,51.5,,
52369,Marshall Lang,TE,0,2025,2025,256,,56.3,76.4,50.3,67.2,88,0,1,0,0,17,0,20,37,17,20,NWESTERN,NWESTERN,,,
52487,Luke Kandra,G,0,2025,2025,138,,78.6,77.9,,81.1,67,0,1,0,30,0,0,20,50,30,20,CINCINNATI,CINCINNATI,71.2,,
52540,Jakob James,C,0,,2025,316,,70.2,79,,67.6,78,0,1,0,30,0,0,27,57,30,27,TOLEDO,TOLEDO,68.9,,
52545,Joe Royer,TE,0,2026,2026,138,65.7,79.8,77.2,75,83.2,11,0,1,0,0,26,0,13,39,26,13,CINCINNATI,CINCINNATI,,,
52925,Zaid Hamdan,DI,1,,2025,201,,60,60,,60,D57,1,1,0,0,0,0,1,1,0,1,KENT STATE,KENT STATE,,,
52962,Michael McCalmont,TE,0,,2025,138,,58.7,65.4,,56.4,82,0,1,0,0,0,0,2,2,0,2,CINCINNATI,CINCINNATI,,,
53431,Zeke Correll,C,0,2025,2025,248,,64.3,80,,60.4,56,0,1,0,46,0,0,29,75,46,29,NC STATE,NC STATE,72.6,,
53851,Logan Osburn,C,0,,2025,214,,64,79.1,,61.2,65,0,1,0,33,0,0,27,60,33,27,MARSHALL,MARSHALL,69.7,,
54221,Sterling Berkhalter,WR,0,,2027,138,62.9,71.9,73.9,70.9,59.8,84,0,1,0,0,8,0,8,16,8,8,CINCINNATI,CINCINNATI,,,
60180,Shintaro Mann,G,0,,2025,328,,56,69.4,,56.6,60,0,1,0,0,0,0,3,3,0,3,UTAH,UTAH,,,
63709,Spencer Curtis,WR,0,,2025,180,61,53,74.7,53.5,60,14,0,1,0,0,21,0,1,22,21,1,HAWAII,HAWAII,,,
63838,Jack Coldiron,TE,0,,2025,221,62.9,54.2,77.2,52.3,63.3,89,0,1,0,2,23,0,13,38,25,13,MIAMI OH,MIAMI OH,69.3,,
70536,Sebastian Macaluso,WR,0,,2025,285,,60,66.5,,60,24,0,1,0,0,0,0,3,3,0,3,S JOSE ST,S JOSE ST,,,
70727,Miller Moss,QB,0,2026,2026,326,34.7,91.8,76.7,,60,07,0,1,42,0,0,1,20,63,42,21,USC,USC,,91.5,60
70874,Jake Retzlaff,QB,0,,2026,128,33.9,78.2,77.2,60,60,12,0,1,38,0,1,3,32,74,39,35,BYU,BYU,,86.2,47.2
70933,DeCarlos Brooks,HB,0,,2025,110,70.5,75.5,72.3,57.9,68.2,25,0,1,0,0,3,6,3,12,3,9,ARIZONA ST,ARIZONA ST,,,71.9
70961,Mikey Keene,QB,0,,2027,169,69,71.8,76.4,,60.2,01,0,1,40,0,0,0,19,59,40,19,FRESNO ST,FRESNO ST,,71.1,
71008,General Booty,QB,0,,2026,209,69.7,59.3,19.5,,60,14,1,1,19,0,0,4,32,55,19,36,LA MONROE,LA MONROE,,55,67
71304,Kyle Ford,WR,0,,2025,326,62.9,67.6,75.2,71.5,40.3,81,0,1,0,0,9,0,5,14,9,5,USC,USC,,,
71312,Elijah Mojarro,TE,0,,2025,275,,43.9,72.9,52.1,46.9,07,0,1,0,0,8,0,10,18,8,10,RICE,RICE,,,
71325,Boden Groen,TE,0,,2026,275,65.7,52.5,0,57.1,51.8,14,1,1,0,2,34,0,16,52,36,16,RICE,RICE,69.4,,
71332,Sean Dollars,HB,0,,2026,239,69.2,55.9,70.9,64.1,60,04,0,1,0,4,3,4,1,12,7,5,NEVADA,NEVADA,78.7,,53.3
71345,Bru McCoy,WR,0,,2025,307,67.4,75.3,75.9,73.4,60.5,05,0,1,0,0,25,1,15,41,25,16,TENNESSEE,TENNESSEE,,,63.2
71382,Luke Felix-Fualalo,T,0,2025,2025,180,,63.6,76.7,,48.4,72,0,1,0,50,0,0,17,67,50,17,HAWAII,HAWAII,79.7,,
71409,Jamari Ferrell,HB,0,,2026,351,64.3,60,67.7,61.5,,06,0,1,0,0,3,1,0,4,3,1,WYOMING,WYOMING,,,59.8
71443,Mavin Anderson,WR,0,,2026,130,65.7,59.8,78.5,59.9,57.5,11,0,1,0,0,27,0,19,46,27,19,CAL,CAL,,,
71502,Andrew Madrigal,C,0,,2026,239,,62.1,79,,58.6,78,0,1,0,25,0,0,33,58,25,33,NEVADA,NEVADA,77,,
71530,Marquis Ashley,WR,0,,2026,239,65.6,60,66.8,,59.8,07,0,1,0,0,0,0,2,2,0,2,NEVADA,NEVADA,,,
71674,Silas Bolden,WR,0,2025,2025,311,71.4,61.6,74.8,61.3,60.2,11,0,1,0,0,12,0,11,23,12,11,TEXAS,TEXAS,,,
71698,Jayden Dixon-Veal,WR,0,,2026,273,62.9,64.5,75.5,64.7,55.7,00,0,1,0,0,8,0,10,18,8,10,PURDUE,PURDUE,,,
71706,Bryce Pierre,TE,0,2025,2025,324,61,63.4,75.5,63.8,55.3,87,0,1,0,3,12,0,4,19,15,4,UCLA,UCLA,70,,
72075,Josh Carlin,G,0,,2025,324,,55.2,0,,60,54,1,1,0,49,0,0,15,64,49,15,UCLA,UCLA,54.9,,
72158,Jake Bailey,WR,0,,2025,287,65.7,68.6,0,70.6,61.5,12,1,1,0,0,20,0,13,33,20,13,SMU,SMU,,,
72178,Colby Bowman,WR,0,,2025,329,61,50.7,0,54.8,61.3,09,1,1,0,0,12,0,13,25,12,13,UTAH ST,UTAH ST,,,
72208,Jude Wolfe,TE,0,,2025,284,64.1,55.7,77.9,54.3,60.8,18,0,1,0,0,20,0,19,39,20,19,S DIEGO ST,S DIEGO ST,,,
72292,Canaan Yarro,C,0,,2025,242,,78.5,80.1,,73.7,56,1,1,0,31,0,0,46,77,31,46,NEW MEX ST,NEW MEX ST,78,,
