playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassRoute,gradesPass,gradesRun
53398,Eric Meeks,C,0,,2026,214,60.9,80.6,60.7,59.7,57,0,1,0,43,0,0,44,87,43,44,MARSHALL,MARSHALL,,,,
54221,Sterling Berkhalter,WR,0,,2027,339,55,76.8,,54.1,04,0,1,0,0,21,0,19,40,21,19,WAKE,WAKE,61,55.6,,
70727,Miller Moss,QB,0,2026,2026,210,56.6,77,,60,07,0,1,42,0,0,5,25,72,42,30,LOUISVILLE,LOUISVILLE,38.5,,55.3,60.2
70874,Jake Retzlaff,QB,0,,2026,319,91.6,76.2,,60,12,1,1,27,0,0,10,18,55,27,28,TULANE,TULANE,72.6,,92.2,63.9
70963,Jacob Conover,QB,0,,2026,329,50.3,72.5,,60,03,1,1,9,0,0,2,8,19,9,10,UTAH ST,UTAH ST,67.4,,44.1,64
71325,Boden Groen,TE,0,,2026,198,62.5,78,71.1,53.9,88,0,1,0,5,22,0,35,62,27,35,KANSAS,KANSAS,62.9,66,,
71443,Mavin Anderson,WR,0,,2026,314,51,76.1,,60.3,03,0,1,0,0,27,0,14,41,27,14,TEXAS ST,TEXAS ST,,51.1,,
71502,Andrew Madrigal,C,0,,2026,239,52.5,79.2,34.5,56.5,78,0,1,0,32,0,0,29,61,32,29,NEVADA,NEVADA,,,,
71698,Jayden Dixon-Veal,WR,0,,2026,130,53.1,73.1,,59.9,10,0,1,0,0,10,0,3,13,10,3,CAL,CAL,,53.8,,
72324,Sonny Makasini,G,0,,2027,128,47.9,74.6,46.4,47.3,51,0,1,0,12,0,0,4,16,12,4,BYU,BYU,,,,
73860,Reis Stocksdale,WR,0,,2027,122,60.4,71.1,,60.5,06,0,1,0,0,0,0,6,6,0,6,BOWL GREEN,BOWL GREEN,69.7,,,
73935,Cade McConnell,QB,0,,2026,330,56.8,63.6,,,11,0,1,1,0,0,0,0,1,1,0,UTEP,UTEP,60.3,,56.9,
73936,Beau Allen,QB,0,,2026,202,26.6,70.1,,60,11,0,1,1,0,0,1,8,10,1,9,KENTUCKY,KENTUCKY,9.1,,49.2,60
74152,Ryan Quintanar,LB,0,,2026,326,60,60,63.8,,D51,0,1,0,1,0,0,0,1,1,0,USC,USC,61.9,,,
74236,Mason Murphy,T,0,2026,2026,115,61,0,67.5,66.2,76,2,1,0,58,0,0,28,86,58,28,AUBURN,AUBURN,,,,
74638,Jack Monday,TE,0,,2026,202,59.7,67.5,,59.3,83,0,1,0,0,0,0,3,3,0,3,KENTUCKY,KENTUCKY,,,,
75288,Tegra Tshabola,G,0,,2028,260,63.3,78.9,67.6,61.8,77,0,1,0,32,0,0,33,65,32,33,OHIO STATE,OHIO STATE,,,,
78216,Tay Lanier,WR,0,,2026,144,60.8,75.8,,59.8,06,0,1,0,0,21,0,12,33,21,12,COLO STATE,COLO STATE,65,60.6,,
81675,Reuben Unije,T,0,,2026,324,52.4,76.6,64.3,46.2,71,0,1,0,37,0,0,26,63,37,26,UCLA,UCLA,,,,
83446,Brendon Harris,S,0,,2026,224,60,60,63.8,,D07,0,1,0,1,0,0,0,1,1,0,MIDDLE TN,MIDDLE TN,,,,
86353,Byron Cardwell Jr.,HB,0,,2027,284,52.3,71.4,77.6,59.8,21,0,1,0,3,6,3,2,14,9,5,S DIEGO ST,S DIEGO ST,67.3,57,,51.7
86477,Koby Gross,TE,0,,2026,117,63,71.1,,65.4,06,0,1,0,0,5,0,1,6,5,1,BALL ST,BALL ST,61,58.1,,
90224,Reymello Murphy,WR,0,,2026,146,73.8,78.5,,38.3,06,0,1,0,0,37,0,3,40,37,3,UCONN,UCONN,65.7,74.6,,
90875,Hudson Mesa,C,0,,2026,285,53,0,27.6,68.2,60,1,1,0,48,0,0,16,64,48,16,S JOSE ST,S JOSE ST,,,,
97105,Cam Ross,WR,0,2026,2026,335,52.9,77.4,,59.7,06,0,1,0,0,28,0,15,43,28,15,VIRGINIA,VIRGINIA,71.8,52.4,,
97204,Juwaun Price,HB,0,,2026,216,54.4,69,0,59.4,28,0,1,0,0,3,2,2,7,3,4,UMASS,UMASS,67.3,63.6,,58.7
97303,Enoch Nawahine,HB,0,,2026,128,56.6,69.2,37,60,21,0,1,0,3,1,1,1,6,4,2,BYU,BYU,62.5,60,,59.4
97582,Logan Lupo,K,0,,2026,165,60,70.3,,60,S19,0,1,0,0,0,0,1,1,0,1,FAU,FAU,,,,
97796,Michael Johnson Jr.,QB,0,,2026,102,74.8,67.4,,60,15,0,1,2,0,0,0,2,4,2,2,AKRON,AKRON,61.8,,74.2,
97804,Dequan Finn,QB,0,,2026,221,62.1,76.4,,60,01,1,1,30,0,0,7,22,59,30,29,MIAMI OH,MIAMI OH,71.5,,61.8,59.5
98082,Demetris Allen,G,0,,2026,331,28.9,0,42.9,41.5,73,2,1,0,10,0,0,8,18,10,8,UTSA,UTSA,,,,
98229,Vic Cutler,G,0,,2026,210,60,63.5,,60,59,0,1,0,0,0,0,1,1,0,1,LOUISVILLE,LOUISVILLE,,,,
98239,Zion Nelson,T,0,,2026,287,59.5,70.3,69.9,58.4,60,0,1,0,2,0,0,7,9,2,7,SMU,SMU,,,,
98255,Jax Harrington,T,0,,2026,207,54.2,77.3,42.2,55.5,70,0,1,0,28,0,0,39,67,28,39,LA LAFAYET,LA LAFAYET,,,,
98396,Julius Pierce,C,0,,2026,166,57.3,79.4,72.7,53.5,65,1,1,0,36,0,0,29,65,36,29,FIU,FIU,,,,
98490,Jayme Motley-Simmons,T,0,,2026,102,60,67.2,66.5,64.3,77,0,1,0,1,0,0,2,3,1,2,AKRON,AKRON,,,,
98550,Adrian Medley,G,0,,2026,167,59.9,79.2,75,53.2,76,0,1,0,53,0,0,19,72,53,19,FLORIDA ST,FLORIDA ST,,,,
99041,Jakai Moore,T,0,,2026,245,57.5,75.9,81.6,48.3,55,0,1,0,26,0,0,25,51,26,25,N CAROLINA,N CAROLINA,,,,
100201,Zach Gibson,QB,0,,2026,165,79.1,70.1,,60,07,0,1,5,0,0,1,4,10,5,5,FAU,FAU,65.2,,78.9,60
100221,PaSean Wimberly,HB,0,,2026,122,51.9,65.9,,,30,0,1,0,0,1,1,0,2,1,1,BOWL GREEN,BOWL GREEN,62.5,59.5,,57.3
100253,Broderick Roman,C,0,,2027,296,58.7,0,74.4,65.2,67,3,1,0,37,0,0,43,80,37,43,SO MISS,SO MISS,,,,
100432,Siale Taupaki,DI,0,,2027,324,59.9,66,,56.4,D92,0,1,0,0,0,0,2,2,0,2,UCLA,UCLA,,,,
100658,Hudson Habermehl,TE,0,,2026,324,49.5,76.7,67.8,41,81,0,1,0,3,23,0,20,46,26,20,UCLA,UCLA,61,58.2,,
101628,Jacob Clark,QB,0,2026,2026,230,70.1,76.4,,60,12,0,1,44,0,0,1,15,60,44,16,MO STATE,MO STATE,69.7,,70.6,58.1
