playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPass,gradesRun
41982,Cam McCormick,TE,0,,2025,220,55.7,74.5,84.8,51.1,62.8,84,0,1,0,3,9,0,14,26,12,14,MIAMI FL,MIAMI FL,,,
51984,Bentley Hanshaw,TE,0,,2025,206,52.8,77.1,,56.1,50.6,15,1,1,0,0,25,0,23,48,25,23,LIBERTY,LIBERTY,62.9,,
52369,Marshall Lang,TE,0,2025,2025,256,46.6,76.1,,47.7,56.3,88,0,1,0,0,15,0,6,21,15,6,NWESTERN,NWESTERN,61,,
52487,Luke Kandra,G,0,2025,2025,138,63.5,77.8,85.8,,59.5,67,0,1,0,22,0,0,24,46,22,24,CINCINNATI,CINCINNATI,,,
52540,Jakob James,C,0,,2025,316,59.9,74.1,28.2,,63.6,78,0,1,0,8,0,0,7,15,8,7,TOLEDO,TOLEDO,,,
52545,Joe Royer,TE,0,2026,2026,138,65.9,78,72,70,49.1,11,1,1,0,3,29,0,23,55,32,23,CINCINNATI,CINCINNATI,65,,
52962,Michael McCalmont,TE,0,,2025,138,60,67,65.3,,59.5,82,0,1,0,1,0,0,2,3,1,2,CINCINNATI,CINCINNATI,,,
54221,Sterling Berkhalter,WR,0,,2027,138,54.8,73.6,,55.1,60.6,84,0,1,0,0,8,0,5,13,8,5,CINCINNATI,CINCINNATI,,,
63709,Spencer Curtis,WR,0,,2025,180,53.2,76.7,,53,61.7,14,0,1,0,0,19,0,15,34,19,15,HAWAII,HAWAII,,,
63838,Jack Coldiron,TE,0,,2025,221,49.2,72.6,71.6,55.2,47.1,89,0,1,0,3,5,0,7,15,8,7,MIAMI OH,MIAMI OH,,,
70536,Sebastian Macaluso,WR,0,,2025,285,69.5,69,,67.8,,24,0,1,0,0,6,0,0,6,6,0,S JOSE ST,S JOSE ST,62.9,,
70727,Miller Moss,QB,0,2026,2026,326,77.1,75.4,,,60,07,0,1,29,0,0,1,16,46,29,17,USC,USC,68.7,75.3,63.1
70874,Jake Retzlaff,QB,0,,2026,128,65.1,77.4,,,60,12,0,1,32,0,0,11,33,76,32,44,BYU,BYU,40.8,60.5,65.9
70961,Mikey Keene,QB,0,,2027,169,69.3,77.3,62.2,,60.2,01,0,1,47,1,0,2,26,76,48,28,FRESNO ST,FRESNO ST,70.3,70.3,56.9
71295,Ryan Hilinski,QB,0,,2025,256,62.6,71,,,60,03,0,1,9,0,0,1,2,12,9,3,NWESTERN,NWESTERN,18.2,77.3,60
71304,Kyle Ford,WR,0,,2025,326,69.7,76.1,,68.8,60.7,81,0,1,0,0,12,0,11,23,12,11,USC,USC,12,,
71312,Elijah Mojarro,TE,0,,2025,275,45.6,76,72.7,52.9,43.4,07,0,1,0,7,17,0,23,47,24,23,RICE,RICE,61,,
71382,Luke Felix-Fualalo,T,0,2025,2025,180,66.1,73.5,75.6,,60.6,72,0,1,0,17,0,0,11,28,17,11,HAWAII,HAWAII,,,
71409,Jamari Ferrell,HB,0,,2026,351,64.2,74.9,71.5,55.8,56.9,06,0,1,0,1,12,7,6,26,13,13,WYOMING,WYOMING,71.4,,66.8
71502,Andrew Madrigal,C,0,,2026,239,71.8,5.8,86,,69.3,78,1,1,0,50,0,0,25,75,50,25,NEVADA,NEVADA,,,
