playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesKickReturn,gradesPuntReturn,gradesFgepOffense,gradesFgepKicker,gradesKickoffKicker,gradesLongSnap,gradesPunter
147473,Deion Colzie,WR,0,0,,2026,258,,60.7,68.1,00,0,0,1,0,0,0,5,0,0,0,NOTRE DAME,NOTRE DAME,5,,,,,,,
147474,Lorenzo Styles Jr.,CB,0,0,2026,2026,260,,72.4,69.5,D03,0,0,1,0,0,5,3,6,3,1,OHIO STATE,OHIO STATE,17,,,,,,,
147485,Jayden Thomas,WR,0,0,,2026,258,,57.1,66,83,0,0,1,0,0,0,5,0,0,0,NOTRE DAME,NOTRE DAME,5,,,,,,,
147486,Mitchell Evans,TE,0,0,2025,2025,258,,60.2,66.4,88,0,0,1,0,0,0,5,0,0,0,NOTRE DAME,NOTRE DAME,5,,,,,,,
147493,Davis Sherwood,TE,0,0,,2025,258,,59.4,64.7,38,0,0,1,5,0,0,5,4,0,0,NOTRE DAME,NOTRE DAME,14,,,60,,,,
147499,Gabriel Rubio,DI,0,0,2026,2026,258,,60,64.7,D97,0,0,1,0,0,0,0,0,1,0,NOTRE DAME,NOTRE DAME,1,,,,,,,
147500,Chris Salerno,K,0,0,,2025,258,,60.4,60.5,S26,0,0,1,5,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,5,,,60,,,,
156165,Matthew Golden,WR,0,0,2025,2025,311,,60,61.6,02,0,0,1,0,0,0,2,0,0,0,TEXAS,TEXAS,2,59.4,,,,,,
156481,George Fitzpatrick,T,0,0,,2027,260,,61.2,67.2,68,0,0,1,4,0,0,0,0,0,0,OHIO STATE,OHIO STATE,4,,,60,,,,
156482,Bennett Christian,TE,0,0,,2027,260,,62.1,66.1,85,0,0,1,4,0,0,3,0,3,0,OHIO STATE,OHIO STATE,10,,,60,,,,
156483,C.J. Hicks,LB,0,0,,2027,260,,62,70,D11,0,0,1,0,0,5,3,6,3,0,OHIO STATE,OHIO STATE,17,,,,,,,
156488,Caden Curry,ED,0,0,2026,2026,260,,91.8,67.2,D92,0,0,1,0,0,4,0,6,3,1,OHIO STATE,OHIO STATE,13,,,,,,,
156492,Jayden Fielding,K,0,0,,2026,260,,60,67.5,S38,0,0,1,4,0,5,0,0,0,0,OHIO STATE,OHIO STATE,9,,,,63.2,69.9,,
156535,Riley Thompson,P,0,0,,2026,266,,60.8,66.4,S95,0,0,1,4,0,0,0,5,0,0,PENN STATE,PENN STATE,9,,,60,,,,56.8
156961,Donovan Hinish,DI,0,0,,2027,258,59.2,59.2,64.2,D41,0,0,1,0,4,0,0,0,1,0,NOTRE DAME,NOTRE DAME,5,,,,,,,
156972,Jaylen Sneed,LB,0,0,,2027,258,59.9,60.3,63.1,D03,0,0,1,0,2,1,0,0,0,0,NOTRE DAME,NOTRE DAME,3,,,,,,,
156973,Aamil Wagner,T,0,0,2026,2026,258,,61.5,68.4,59,0,0,1,5,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,5,,,60,,,,
156977,Josh Burnham,ED,0,0,,2027,258,,60,63.8,D40,0,0,1,0,0,0,0,0,1,0,NOTRE DAME,NOTRE DAME,1,,,,,,,
156982,Junior Tuihalamaka,ED,0,0,,2027,258,,60,63,D44,0,0,1,0,0,0,1,0,0,0,NOTRE DAME,NOTRE DAME,1,,,,,,,
156983,Leo Scheidler,WR,0,0,,2028,258,,60.2,64.6,82,0,0,1,0,0,0,5,0,0,0,NOTRE DAME,NOTRE DAME,5,,,,,,,
156987,Rino Monteforte,LS,0,0,,2027,258,,53.9,61.7,S39,0,0,1,5,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,5,,,58.2,,,14.4,
157129,Davison Igbinosun,CB,0,0,2026,2026,260,59.8,60.6,66.6,D01,0,0,1,0,2,0,0,0,3,0,OHIO STATE,OHIO STATE,5,,,,,,,
157304,Cole Hutson,G,0,0,,2027,311,,60,61.3,54,0,0,1,2,0,0,0,0,0,0,TEXAS,TEXAS,2,,,60,,,,
157307,Jaylon Guilbeau,CB,0,0,2026,2026,311,60,61.2,67.8,D03,0,0,1,0,4,0,0,0,2,0,TEXAS,TEXAS,6,,,,,,,
158118,Keenan Nelson,CB,0,0,,2027,260,,60,64.6,D16,0,0,1,0,0,1,0,0,0,0,OHIO STATE,OHIO STATE,1,,,,,,,
162858,David Adolph,WR,0,0,,2027,260,,61.4,69.4,82,0,0,1,0,0,0,3,0,3,0,OHIO STATE,OHIO STATE,6,,,,,,,
162868,Kenyatta Jackson Jr.,ED,0,0,,2027,260,59.8,60.4,63.2,D97,0,0,1,0,2,0,0,0,1,0,OHIO STATE,OHIO STATE,3,,,,,,,
162870,Hero Kanu,DI,0,0,,2028,260,59.6,59.8,62,D93,0,0,1,0,1,0,0,0,0,0,OHIO STATE,OHIO STATE,1,,,,,,,
162876,Sonny Styles,LB,0,0,2026,2026,260,60,60.4,66.3,D06,0,0,1,0,2,0,0,6,3,0,OHIO STATE,OHIO STATE,11,,,,,,,
163676,Audavion Collins,CB,0,0,,2027,266,59.9,61.7,67.4,D29,0,0,1,0,1,4,0,0,1,0,PENN STATE,PENN STATE,6,,,,,,,
163837,Malik Agbo,T,0,0,,2027,311,,60.1,66.1,67,0,0,1,2,0,0,0,0,0,0,TEXAS,TEXAS,2,,,60,,,,
163843,Ethan Burke,ED,0,0,2026,2026,311,58.9,61.2,67.1,D91,0,0,1,0,4,0,5,6,6,0,TEXAS,TEXAS,21,,,,,,,
163844,DJ Campbell,G,0,0,2026,2026,311,,60.6,61.5,52,0,0,1,2,0,0,0,0,0,0,TEXAS,TEXAS,2,,,60,,,,
163860,Lance St. Louis,LS,0,0,,2026,311,,62.6,63.7,S58,0,0,1,2,0,0,0,6,0,0,TEXAS,TEXAS,8,,,60,,,68.6,
163861,Will Stone,K,0,0,,2027,311,,60,66.5,S15,0,0,1,2,0,3,0,0,0,0,TEXAS,TEXAS,5,,,,60,69.1,,
