playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesPass,gradesRun
164827,Joe Cotton,T,0,,2027,291,,69.5,76.4,,67.4,71,0,1,0,32,0,0,22,54,32,22,S DAKOTA,S DAKOTA,68.5,,
164839,Jordan Larsen,G,0,,2027,291,,47.7,79.2,,52.7,73,0,1,0,32,0,0,22,54,32,22,S DAKOTA,S DAKOTA,19.5,,
164844,Charles Pierre Jr.,HB,0,,2027,291,68.9,68.3,73.6,30.8,60,03,0,1,0,2,8,4,1,15,10,5,S DAKOTA,S DAKOTA,75.2,,76.7
164853,David Alpers III,TE,0,,2027,292,,51,74.8,52.9,53.4,83,0,1,0,0,9,0,11,20,9,11,S DAK ST,S DAK ST,,,
164857,Quinten Christensen,T,0,,2028,292,,52.4,77.2,,54.4,69,0,1,0,31,0,0,37,68,31,37,S DAK ST,S DAK ST,44.5,,
164862,Greyton Gannon,TE,0,,2028,292,64.1,71.4,75.9,73.7,54.2,88,0,1,0,0,13,0,12,25,13,12,S DAK ST,S DAK ST,,,
174409,CharMar Brown,HB,0,,2028,250,73.5,57.5,74.4,55.9,59.4,25,0,1,0,2,8,11,5,26,10,16,N DAK ST,N DAK ST,71.8,,57.8
174417,Beau Johnson,T,0,,2029,250,,59.7,66.1,,58.5,70,0,1,0,0,0,0,2,2,0,2,N DAK ST,N DAK ST,,,
174454,Keyondray Jones-Logan,WR,0,,2028,291,67.6,52.6,68.8,56.7,60,07,0,1,0,1,3,1,1,6,4,2,S DAKOTA,S DAKOTA,71.8,,57.5
176762,Colson Coon,HB,0,,2028,233,,58.1,67.8,59.5,,28,0,1,0,0,1,0,0,1,1,0,MONTANA ST,MONTANA ST,,,
176767,Scottre Humphrey,HB,0,,2028,233,73.5,62.2,72.9,57.6,59.7,22,0,1,0,0,3,11,3,17,3,14,MONTANA ST,MONTANA ST,,,62.2
176769,Adam Jones,HB,0,,2028,233,76.2,66.5,77,53.6,61.1,23,0,1,0,8,13,18,11,50,21,29,MONTANA ST,MONTANA ST,81.6,,66.3
177170,Griffin Empey,G,0,,2029,250,,60.6,78.3,,59,62,0,1,0,26,0,0,30,56,26,30,N DAK ST,N DAK ST,64.4,,
177198,Jesse Miller,TE,0,,2028,291,,56.8,71.6,57.6,58.7,83,0,1,0,0,2,0,4,6,2,4,S DAKOTA,S DAKOTA,,,
177200,L.J. Phillips Jr.,HB,0,,2028,291,61,57.4,72.2,65,53.9,24,0,1,0,0,2,0,7,9,2,7,S DAKOTA,S DAKOTA,,,
177211,Elijah Ervin,WR,0,,2026,292,,56.2,72.3,57.8,55.6,06,0,1,0,0,3,0,8,11,3,8,S DAK ST,S DAK ST,,,
177222,Kentrell Prejean,WR,0,,2029,292,,49.9,71.7,56.5,39.6,04,0,1,0,0,5,0,4,9,5,4,S DAK ST,S DAK ST,,,
177226,Davin Stoffel,TE,0,,2028,292,61,62,76.9,65.4,55.6,87,0,1,0,1,11,0,26,38,12,26,S DAK ST,S DAK ST,67.3,,
177229,Kirby Vorhees,HB,0,,2028,292,69.7,61.4,73.2,56.6,83.3,20,0,1,0,0,8,5,6,19,8,11,S DAK ST,S DAK ST,,,54
177231,Griffin Wilde,WR,0,,2028,292,65,73.8,78.4,73.4,60.8,18,0,1,0,0,29,0,28,57,29,28,S DAK ST,S DAK ST,,,
192004,Jackson Williams,WR,0,,2029,250,72,66.2,65.6,59.5,,81,0,1,0,0,1,1,0,2,1,1,N DAK ST,N DAK ST,,,63.2
192036,Lofton O'Groske,WR,0,,2029,292,61,56.5,78,56.9,54.3,80,0,1,0,0,29,0,24,53,29,24,S DAK ST,S DAK ST,,,
192051,Maxwell Woods,HB,0,,2029,292,67.5,64.5,65.2,79.9,,34,0,1,0,0,1,1,0,2,1,1,S DAK ST,S DAK ST,,,59.6
