playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,gradesCoverageDefense,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,gradesPassRushDefense,snapCountsFs,touchdowns,snapCountsDlOutsideT
66298,Ty Hamilton,DI,0,0,2025,0,0,,OHIO STATE,1,D58,1,0,1,33,1,2025,46,72.2,0,0,60,0,0,0,2,4,0,61.6,0,0,0,0,OHIO STATE,0,0,1,0,,0,0,60.3,,76.1,0,260,47,0,40,0,0,14,0,0,57.5,0,0,0
97237,Rod Heard II,S,1,0,,0,0,100,NOTRE DAME,1,D02,8,2,0,0,1,2025,0,73.4,19,1,54.6,0,0,5,0,0,0,60,0,0,0,0,NOTRE DAME,0,0,0,0,19,4,0,54.8,19,70,0,258,8,12,0,0,118.8,3,0,0,,2,0,0
97324,Jordan Clark,CB,4,0,2025,0,1,100,NOTRE DAME,3,D01,42,3,0,1,1,2025,0,54.7,15,4,71,0,0,21,0,0,0,51,0,0,0,0,NOTRE DAME,2,0,0,0,6,39,20,66.8,3.8,78.3,0,258,42,8,0,0,82.3,20,0,1,59.9,0,0,0
97889,Jack Kiser,LB,1,0,2025,0,1,100,NOTRE DAME,5,D24,28,27,0,2,1,2025,2,60,12,1,41.8,0,0,7,0,0,0,84.1,0,0,0,0,NOTRE DAME,4,0,0,0,12,1,14.3,69.1,12,73.8,0,258,30,1,0,0,116.7,21,1,1,56.5,0,0,2
98342,R.J. Oben,ED,0,0,,0,0,,NOTRE DAME,1,D09,0,0,0,13,1,2025,36,73,0,0,,1,0,0,5,0,0,70.9,0,0,1,0,NOTRE DAME,1,0,1,0,,0,0,65.7,,0,0,258,36,0,1,0,0,23,0,0,65.6,0,0,30
102726,Howard Cross III,DI,0,0,2025,0,0,,NOTRE DAME,1,D56,0,0,0,24,1,2025,59,69.7,0,0,56.1,1,0,0,0,13,0,63.1,0,0,0,0,NOTRE DAME,1,0,1,0,,0,0,62,,77.4,0,258,59,0,46,0,0,35,0,0,69.8,0,0,0
122914,Xavier Watts,S,1,0,2025,0,1,0,NOTRE DAME,7,D00,64,27,0,0,1,2025,0,71.6,0,0,74.3,0,0,27,0,0,0,72.3,1,0,0,0,NOTRE DAME,2,0,0,0,,9,9.1,75.2,,75.8,0,258,64,0,0,1,39.6,37,1,3,,27,0,0
128036,Christian Gray,CB,8,0,,0,2,75,NOTRE DAME,2,D29,63,2,0,0,1,2028,0,28.9,126,6,28.1,0,0,27,0,0,0,65.3,59,0,0,0,NOTRE DAME,0,0,0,0,56,2,50,29.3,21,76.8,0,258,63,49,0,0,156.3,36,0,0,,0,1,0
129753,Mitchell Melton,ED,0,0,2026,0,0,,OHIO STATE,0,D17,0,0,0,5,1,2026,8,,0,0,,0,0,0,0,0,0,64.5,0,0,0,0,OHIO STATE,0,0,0,0,,0,,70.2,,72.3,0,260,8,0,0,0,0,3,0,0,63.9,0,0,8
129755,Lathan Ransom,S,2,0,2025,0,0,50,OHIO STATE,2,D08,62,14,0,0,1,2025,2,78.8,14,1,60.1,0,0,42,0,0,0,67.2,1,0,0,0,OHIO STATE,0,0,0,0,14,11,0,62.2,14,78.8,0,260,64,5,0,0,72.9,22,0,0,,35,0,2
