playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesKickReturn,gradesFgepKicker,gradesKickoffKicker,gradesPuntReturn,gradesLongSnap,gradesPunter
170274,Jelani Thurman,TE,0,0,,2028,260,,61.3,60.6,15,0,0,1,6,0,0,0,0,0,0,OHIO STATE,OHIO STATE,6,60,,,,,,
171074,Sullivan Absher,T,0,0,,2028,258,,60,60.9,75,0,0,1,2,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,2,60,,,,,,
171075,Jaiden Ausberry,LB,0,0,,2028,258,59.9,64.8,68.2,D04,0,0,1,0,1,4,0,0,1,0,NOTRE DAME,NOTRE DAME,6,,,,,,,
171077,Drayk Bowen,LB,0,0,,2028,258,60.1,60.2,65.7,D34,0,0,1,0,6,0,0,2,0,0,NOTRE DAME,NOTRE DAME,8,,,,,,,
171081,Jordan Faison,WR,0,0,,2028,258,,77,65.8,06,0,0,1,0,0,0,0,2,0,1,NOTRE DAME,NOTRE DAME,2,,,,,,,
171087,Charles Jagusah,G,0,0,,2028,258,,60.3,65.4,56,0,0,1,2,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,2,60,,,,,,
171092,Ben Minich,S,0,0,,2028,258,,60.8,64.6,D13,0,0,1,0,0,3,0,0,1,0,NOTRE DAME,NOTRE DAME,4,,,,,,,
171093,Armel Mukam,DI,0,0,,2028,258,58.9,59,64,D88,0,0,1,0,6,0,0,0,0,0,NOTRE DAME,NOTRE DAME,6,,,,,,,
171094,Kobi Onyiuke,ED,0,0,,2026,258,,60.1,62.6,D45,0,0,1,0,0,0,0,2,0,0,NOTRE DAME,NOTRE DAME,2,,,,,,,
171098,Adon Shuler,S,0,0,,2028,258,59.8,60.4,62.8,D08,0,0,1,0,6,0,0,0,1,0,NOTRE DAME,NOTRE DAME,7,,,,,,,
171100,Luke Talich,S,0,0,,2028,258,,68.4,69.1,D28,0,0,1,0,0,4,0,2,1,1,NOTRE DAME,NOTRE DAME,7,,,,,,,
171101,Chris Terek,G,0,0,,2028,258,,60,61.8,55,0,0,1,2,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,2,60,,,,,,
171105,Preston Zinter,LB,0,0,,2028,258,,61.9,70,D25,0,0,1,0,0,3,7,0,1,0,NOTRE DAME,NOTRE DAME,11,,,,,,,
172375,Caleb Downs,S,0,0,2026,2026,260,60,74.9,65,D02,0,0,1,0,2,0,1,1,2,0,OHIO STATE,OHIO STATE,6,,,,,60.3,,
176238,Joe McGuire,P,0,0,,2028,260,,60.6,62.5,S42,0,0,1,6,0,0,0,1,0,0,OHIO STATE,OHIO STATE,7,60,,,,,,60
183702,Jaylen McClain,S,0,0,,2029,260,,61.7,65.7,D18,0,0,1,0,0,7,3,0,1,0,OHIO STATE,OHIO STATE,11,,,,,,,
183707,Payton Pierce,LB,0,0,,2029,260,,61.7,68.3,D26,0,0,1,0,0,7,3,0,0,0,OHIO STATE,OHIO STATE,10,,,,,,,
