playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassRoute,gradesPass,gradesRun
125309,Joe Stoffel,TE,0,,2025,250,67.5,76.3,,48.6,82,0,1,0,0,19,0,23,42,19,23,N DAK ST,N DAK ST,64.1,76.1,,
125314,Grey Zabel,T,0,2025,2025,250,72.1,15.7,86.3,71.5,74,1,1,0,29,0,0,31,60,29,31,N DAK ST,N DAK ST,,,,
145677,Carson Williams,TE,0,,2026,250,43.2,0,,55.8,88,1,1,0,0,8,0,11,19,8,11,N DAK ST,N DAK ST,,51.6,,
146268,Lonyatta Alexander Jr.,WR,0,,2027,233,53.5,77.2,,77.9,02,0,1,0,0,16,0,20,36,16,20,MONTANA ST,MONTANA ST,,49,,
147646,Tommy Mellott,QB,0,2025,2025,233,91.7,76.6,,60,04,0,1,34,0,0,7,22,63,34,29,MONTANA ST,MONTANA ST,71.6,,91.9,70.4
147659,Titan Fleischmann,T,0,,2027,233,59.5,76.5,52.4,60.6,66,0,1,0,34,0,0,29,63,34,29,MONTANA ST,MONTANA ST,,,,
148151,Bryce Lance,WR,0,2026,2026,250,83.4,78.6,,62.8,05,0,1,0,0,27,0,28,55,27,28,N DAK ST,N DAK ST,68.1,82.3,,
148156,Barika Kpeenu,HB,0,2026,2026,250,62.5,71,,59.2,08,0,1,0,0,8,1,3,12,8,4,N DAK ST,N DAK ST,62.5,55.8,,63.3
148158,Truman Werremeyer,TE,0,,2026,250,51.7,73.8,,53.5,46,0,1,0,0,2,0,13,15,2,13,N DAK ST,N DAK ST,,55.6,,
148162,Chris Harris,WR,0,,2026,250,52.9,75.2,,60.4,19,0,1,0,0,12,0,14,26,12,14,N DAK ST,N DAK ST,,52.7,,
