playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,gradesCoverageDefense,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,gradesPassRushDefense,snapCountsFs,touchdowns,snapCountsDlOutsideT
53418,James Camden,LB,1,0,,0,1,100,W MICHIGAN,0,D09,39,29,0,1,1,2026,2,44,10,1,60.5,0,0,25,0,0,1,67.5,0,1,1,0,W MICHIGAN,0,0,1,0,10,10,25,58.9,10,0,0,347,41,6,0,0,108.3,15,0,3,59.6,0,0,2
71370,Domani Jackson,CB,3,0,2026,0,0,66.7,ALABAMA,4,D01,60,7,0,0,1,2026,2,80.9,-2,2,75.7,0,0,32,0,0,0,72.1,53,0,0,0,ALABAMA,2,0,0,0,2,0,0,76.8,-1,77.1,0,103,62,6,0,0,70.1,30,0,1,,0,0,2
71398,Keanu Tanuvasa,DI,0,0,,0,0,,BYU,0,D57,0,0,0,27,1,2027,54,72.1,0,0,,0,0,0,1,37,0,65.7,0,0,1,0,BYU,0,0,0,0,,0,0,58.9,,0,0,128,54,0,16,0,0,27,0,2,57.5,0,0,0
72338,Raider Damuni,S,1,0,,0,2,100,BYU,7,D03,43,21,0,0,1,2028,0,52.9,2,1,64.8,0,0,18,0,0,0,51.2,1,0,0,0,BYU,1,0,0,0,2,6,20,58.5,2,74.2,0,128,43,3,0,0,79.2,25,0,1,,15,0,0
72388,Justin Flowe,LB,1,0,,0,1,100,UNLV,1,D36,6,6,0,0,1,2027,0,26.6,5,1,62.5,0,0,4,0,0,0,48.3,0,0,0,0,UNLV,1,0,0,0,5,0,50,48.6,5,67,0,325,6,1,0,0,87.5,2,0,0,,0,0,0
73389,Marco Notarainni,LB,6,0,,0,2,50,BOISE ST,4,D53,65,65,1,14,1,2026,5,64.3,28,3,50.7,1,0,29,0,0,0,66.8,0,1,0,0,BOISE ST,4,0,3,0,20,0,33.3,57.6,9.3,77.3,0,120,70,17,0,0,63.2,27,0,0,59.7,0,0,5
73699,Cory Hall,DI,0,0,,0,0,,UNLV,0,D97,0,0,0,2,1,2026,3,,0,0,,0,0,0,0,0,0,60,0,0,0,0,UNLV,0,0,0,0,,0,,61.2,,69.1,0,325,3,0,0,0,0,1,0,0,59.9,0,0,3
75263,Silas Walters,S,1,0,2026,0,0,100,MIAMI OH,4,D29,65,20,0,1,1,2026,7,81.9,11,1,59,0,0,23,0,0,0,80.7,0,0,0,0,MIAMI OH,3,0,0,0,11,38,0,69,11,78.5,0,221,72,13,0,0,112.5,48,0,2,60,6,0,7
85725,Jayden Dunlap,CB,1,0,,0,0,100,BYU,1,D29,17,3,0,0,1,2026,0,74.2,6,1,71.9,0,0,6,0,0,0,60.8,14,0,0,0,BYU,1,0,0,0,6,0,0,72.9,6,71.1,0,128,17,1,0,0,91.7,11,0,0,,0,0,0
90529,Ose Egbase,ED,0,0,,0,0,,UNLV,0,D17,0,0,0,1,1,2026,2,,0,0,,1,0,0,1,0,0,60,0,0,0,0,UNLV,0,0,1,0,,0,,67.3,,65.8,0,325,2,0,1,0,0,1,0,0,60.7,0,0,0
97105,Cam Ross,WR,0,0,2026,0,0,,VIRGINIA,0,06,1,0,0,0,1,2026,0,,0,0,,0,0,0,0,0,0,60,0,0,0,0,VIRGINIA,0,0,0,0,,0,,60,,60,0,335,1,0,0,0,0,1,0,0,,0,0,0
99276,Will Jones II,S,2,0,,1,0,100,N TEXAS,3,D00,53,39,0,1,1,2026,0,84.3,25,2,80.1,0,0,15,0,0,0,70.1,0,0,0,0,N TEXAS,1,0,0,0,22,7,0,77.1,12.5,74.1,0,251,53,6,0,0,118.8,37,0,4,57.8,7,0,0
99757,Antonio Clary,S,1,0,,0,0,100,VIRGINIA,3,D00,34,21,0,0,1,2026,0,80.4,15,1,57,0,0,12,0,0,0,67.8,0,0,0,0,VIRGINIA,1,0,0,0,15,0,0,62.3,15,73.8,0,335,34,0,0,0,118.8,22,0,1,,13,0,0
101668,Tate Hallock,S,3,0,,0,1,33.3,W MICHIGAN,1,D03,67,24,0,2,1,2026,4,38.7,23,1,57.4,1,0,46,0,0,0,59.9,0,0,0,0,W MICHIGAN,0,0,1,0,23,8,33.3,59.2,23,79.6,0,347,71,4,0,0,61.8,23,0,1,66.4,35,0,4
103655,Logan Lutui,ED,1,0,,0,3,0,BYU,4,D07,0,0,0,17,1,2026,50,26.5,0,0,76,0,0,3,4,0,0,54.8,0,1,0,0,BYU,2,0,1,0,,0,42.9,61.3,,79.7,0,128,50,0,5,1,39.6,30,0,0,57.6,0,0,41
121345,Elijah Culp,CB,10,0,2026,0,0,70,JAMES MAD,9,D02,67,16,0,1,1,2026,2,83.1,82,7,46.2,0,0,51,0,0,0,72,43,0,3,0,JAMES MAD,4,0,0,0,43,7,0,50.7,11.7,76.3,0,197,69,26,0,0,94.6,17,1,0,60,1,0,2
121351,Sam Howard,LB,1,0,,0,2,100,TULANE,2,D15,62,49,1,6,1,2026,1,43.8,6,1,67,0,0,36,0,0,0,62.7,1,0,0,0,TULANE,3,0,1,0,6,12,33.3,68.1,6,73.9,0,319,63,2,0,0,91.7,21,0,2,66.8,0,0,1
122278,Devin Neal,S,1,0,2026,0,0,100,VIRGINIA,5,D27,41,21,0,2,1,2026,7,86.1,-2,1,72.1,0,0,11,0,0,0,81.7,0,0,0,0,VIRGINIA,3,0,0,0,-2,3,0,79.9,-2,77.6,0,335,48,-1,0,0,79.2,35,1,6,59.6,17,0,7
122655,Dominique Ratcliff,DI,0,0,,0,0,,INDIANA,1,D91,0,0,0,5,1,2026,8,69.7,0,0,,0,0,0,2,0,0,71.3,0,0,0,0,INDIANA,1,0,0,0,,0,0,75.1,,70.6,0,190,8,0,6,0,0,3,0,0,57.3,0,0,0
122670,Kershawn Fisher,ED,0,0,,0,1,,W MICHIGAN,1,D20,7,7,1,28,1,2026,36,30,0,0,61.4,1,0,6,0,0,0,57.3,0,0,0,0,W MICHIGAN,2,0,2,0,,0,50,68.2,,80.1,0,347,43,0,0,0,0,9,1,0,70.2,0,0,36
122855,Devan Boykin,S,2,0,2026,0,0,50,INDIANA,2,D12,18,3,0,2,1,2026,1,78.5,20,1,74.7,0,0,13,0,0,0,60.5,0,0,0,0,INDIANA,2,0,0,0,20,13,0,73.6,20,74.6,0,190,19,0,0,1,85.4,4,1,0,57.5,2,0,1
122908,Caleb Offord,CB,5,0,2026,0,1,20,KENNESAW,5,D02,65,0,0,0,1,2026,0,72.8,12,1,55.4,0,0,33,0,0,0,78.5,59,0,0,0,KENNESAW,3,0,0,0,12,6,11.1,60.5,12,77.9,0,200,65,2,0,1,39.6,32,1,3,,0,0,0
