playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesLongSnap,gradesPuntReturn,gradesPunter,gradesFgepKicker,gradesKickReturn,gradesKickoffKicker
204945,Quay Hood,ED,0,0,,2030,196,59.6,59.8,62,D16,0,0,1,0,1,0,0,0,0,0,JVILLE ST,JVILLE ST,1,,,,,,,
204957,Tre Leonard,HB,0,0,,2030,197,,62.3,27.7,29,0,1,1,0,0,6,3,6,0,1,JAMES MAD,JAMES MAD,15,,,,,,,
204965,Karson Moss,LB,0,0,,2030,200,,60.5,68.4,D42,0,0,1,0,0,4,4,4,0,0,KENNESAW,KENNESAW,12,,,,,,,
204967,Erik Ronning,WR,0,0,,2030,200,,59.9,64.9,81,0,0,1,0,0,0,4,0,0,0,KENNESAW,KENNESAW,4,,,,,,,
205436,Tra'jon Townsend,T,0,0,,2029,318,,60.6,65.6,74,0,0,1,3,0,0,0,0,0,0,TROY,TROY,3,60,,,,,,
205442,Josh Sims,S,0,0,,2030,319,,60.6,67.6,D23,0,0,1,0,0,0,0,0,2,0,TULANE,TULANE,2,,,,,,,
205543,Gabe Welch,LB,0,0,,2028,347,,57.5,69.1,D37,0,0,1,0,0,6,3,4,3,0,W MICHIGAN,W MICHIGAN,16,,,,,,,
205546,Amarian Louis,S,0,0,,2028,347,,60.6,66.1,D22,0,0,1,0,0,0,0,0,3,0,W MICHIGAN,W MICHIGAN,3,,,,,,,
205548,John Peters,CB,0,0,,2029,347,59.9,60.2,64.9,D14,0,0,1,0,1,0,0,0,1,0,W MICHIGAN,W MICHIGAN,2,,,,,,,
205552,Aveion Chenault,WR,0,0,,2030,347,,60,63.2,18,0,0,1,0,0,0,1,0,0,0,W MICHIGAN,W MICHIGAN,1,,,,,,61.8,
205555,Freddy Brown,LB,0,0,,2030,347,,68.9,68.6,D36,0,0,1,0,0,2,0,0,2,1,W MICHIGAN,W MICHIGAN,4,,,,,,,
72496,Shamar Hawkins,S,0,0,,2026,194,59.9,60,62,D05,0,0,1,0,5,0,0,0,0,0,JACKSON ST,JACKSON ST,5,,,,,,,
