playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPass,gradesRun,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesPassRoute
150309,Brock Rechsteiner,WR,0,2026,2026,196,,51.7,76.5,,,46,03,0,1,0,0,13,0,20,33,13,20,JVILLE ST,JVILLE ST,,54.3
150312,JT Pennington,G,0,,2026,200,,58.9,79.2,,,55.3,65,0,1,0,43,0,0,29,72,43,29,KENNESAW,KENNESAW,67.8,
150482,J'Mari Taylor,HB,0,2026,2026,335,29.6,61.7,78.7,,72.7,60,03,0,1,0,11,27,15,1,54,38,16,VIRGINIA,VIRGINIA,32.7,39
151103,Jack Witmer,T,0,,2026,335,,59.5,77.1,,,52.1,68,0,1,0,46,0,0,28,74,46,28,VIRGINIA,VIRGINIA,69.7,
155211,Cash Jones,HB,0,2026,2026,173,65.3,61.9,73.7,,59.6,59.2,32,0,1,0,3,6,1,9,19,9,10,GEORGIA,GEORGIA,79.1,64.2
155757,Gavin Wimsatt,QB,0,,2026,196,62.5,67.5,72,,63.2,60,02,0,1,0,1,3,1,3,8,4,4,JVILLE ST,JVILLE ST,71,57.1
156256,Vincent Anthony Jr.,ED,0,2026,2026,154,,60,60,,,60,D07,0,1,0,0,0,0,1,1,0,1,DUKE,DUKE,,
156298,Brandon Best,G,0,,2027,200,,62,80.2,,,62.9,58,0,1,0,43,0,0,29,72,43,29,KENNESAW,KENNESAW,53.8,
156351,George Pettaway,HB,0,,2027,197,61,58.8,68.8,,,,06,0,1,0,2,3,0,0,5,5,0,JAMES MAD,JAMES MAD,40.3,60.6
156357,Sam Vander Haar,P,0,,2027,128,60.3,55.3,70.3,54.4,,,S35,0,1,1,0,0,0,0,1,1,0,BYU,BYU,,
156382,Eli Wood,WR,0,,2027,335,64.1,64,76.9,,,32.1,82,0,1,0,0,23,0,15,38,23,15,VIRGINIA,VIRGINIA,,66.8
156387,McKale Boley,T,0,,2027,335,,53.2,76.3,,,56.3,52,0,1,0,29,0,0,21,50,29,21,VIRGINIA,VIRGINIA,42.7,
156395,Omar Cooper Jr.,WR,0,2026,2026,190,,57,70.5,,,60.1,03,0,1,0,0,3,0,3,6,3,3,INDIANA,INDIANA,,57.5
156397,Kam Perry,WR,0,,2027,221,66.7,75.6,79.8,,,63.4,08,0,1,0,0,42,0,21,63,42,21,MIAMI OH,MIAMI OH,,74.5
156399,Carter Smith,T,0,,2027,190,,73.6,76.6,,,71.2,65,0,1,0,28,0,0,31,59,28,31,INDIANA,INDIANA,71.3,
156401,Bray Lynch,G,0,,2027,190,,51.5,75.3,,,56.4,74,1,1,0,13,0,0,11,24,13,11,INDIANA,INDIANA,18.4,
156482,Bennett Christian,TE,0,,2027,260,,47.6,77.4,,,53.5,85,0,1,0,2,6,0,15,23,8,15,OHIO STATE,OHIO STATE,6.1,53.5
156520,Omari Hayes,WR,0,,2027,319,66.8,64.6,74.7,,,58.4,01,0,1,0,0,8,0,13,21,8,13,TULANE,TULANE,,64.7
156612,Howard Sampson,T,0,,2027,315,,70.5,24.6,,,67.8,79,1,1,0,39,0,0,37,76,39,37,TEXAS TECH,TEXAS TECH,84.4,
156710,Alonza Barnett III,QB,0,,2027,197,49.3,75.8,77,60.8,81.8,60,14,1,1,29,0,0,11,27,67,29,38,JAMES MAD,JAMES MAD,,
156712,Wayne Knight,HB,0,,2028,197,78.4,73.1,76.4,,76.6,58.7,03,0,1,0,5,17,21,9,52,22,30,JAMES MAD,JAMES MAD,54.3,46.4
156714,Carter Sweazie,G,0,,2028,197,,63.6,79.4,,,60.2,52,0,1,0,26,0,0,31,57,26,31,JAMES MAD,JAMES MAD,79,
