playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,gradesPassRushDefense,snapCountsFs,touchdowns,snapCountsDlOutsideT,gradesCoverageDefense
103718,Jarod DePriest,DI,0,0,,0,0,,S DAK ST,2,D52,0,0,0,23,1,2025,37,72.4,0,0,1,0,0,3,0,0,73.1,0,0,0,0,S DAK ST,2,0,1,0,,0,0,72.5,,74.9,0,292,37,0,34,0,0,14,1,0,64,0,0,0,
103781,Cole Brockwell,LB,0,0,,0,1,,RHODE ISLD,6,D39,58,56,0,2,1,2025,1,57.7,0,0,1,0,21,0,0,0,58,0,0,0,0,RHODE ISLD,4,0,1,0,,2,14.3,68.3,,75.6,0,274,59,0,0,0,0,36,0,0,69.7,0,0,1,71.7
103784,Adam Bock,LB,2,1,,0,1,50,S DAK ST,8,D32,50,47,0,5,1,2025,0,68.5,9,1,1,1,24,0,0,0,85.9,0,2,0,0,S DAK ST,5,0,3,0,9,3,8.3,80,9,76.5,0,292,50,2,0,0,22.9,21,0,3,61.3,0,0,0,66.9
103786,Graham Spalding,LB,1,0,,0,0,100,S DAK ST,2,D29,22,20,0,3,1,2025,1,77,23,1,0,0,8,0,0,0,69.5,0,0,0,0,S DAK ST,2,0,0,0,23,2,0,62.1,23,70.3,0,292,23,8,0,0,118.8,12,0,0,55.9,0,0,1,55.5
104039,Evan Bearden,DI,0,0,,0,0,,UC DAVIS,1,D86,2,0,0,47,1,2025,55,69.7,0,0,2,0,0,10,4,0,67.9,0,0,0,0,UC DAVIS,1,0,2,0,,0,0,62,,76,0,322,57,0,41,0,0,10,0,0,57.6,0,0,0,
104432,Nick Gaes,ED,0,0,,0,0,,S DAKOTA,5,D54,0,0,0,26,1,2025,45,77.2,0,0,0,0,0,3,0,0,64.6,0,0,0,0,S DAKOTA,2,0,0,0,,0,0,61.6,,77,0,291,45,0,16,0,0,19,0,1,55.2,0,0,26,60
104434,Blake Holden,DI,0,0,,0,0,,S DAKOTA,6,D61,0,0,0,35,1,2025,61,77.1,0,0,1,0,0,0,1,0,68.2,0,0,1,0,S DAKOTA,5,0,1,0,,0,0,62.2,,0,0,291,61,0,60,0,0,26,0,2,58.2,0,0,0,60
104582,Tevin Shipp,LB,3,0,,0,0,100,TENN MARTN,3,D11,35,33,1,2,1,2025,0,79,78,3,1,0,19,0,0,0,65.1,0,0,0,0,TENN MARTN,2,0,2,0,48,2,0,45.9,26,75.2,0,310,35,42,0,0,158.3,14,0,0,60.9,0,1,0,38.4
104585,Chris Hunter Jr.,LB,0,0,,0,0,,TENN MARTN,2,D07,29,27,0,3,1,2025,10,77.8,0,0,2,0,14,0,0,0,76.9,0,0,0,0,TENN MARTN,2,0,2,0,,2,0,76.9,,78.2,0,310,39,0,0,0,0,22,0,1,68,0,0,10,64.6
105052,Trevin Gradney,CB,5,0,,0,1,80,MONTANA,3,D37,45,8,0,0,1,2025,2,47.4,83,4,0,0,20,0,0,0,69.4,37,0,0,0,MONTANA,2,0,0,0,34,0,25,61.1,20.8,76.2,0,232,47,32,0,1,158.3,27,0,0,,0,2,2,57.1
