playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesKickReturn,gradesPuntReturn,gradesPunter,gradesFgepKicker,gradesKickoffKicker,gradesLongSnap
162444,Sam Mason Jr.,CB,0,0,,2027,100,,,60,63.8,D15,0,0,1,0,0,0,0,0,1,0,ABILENE CH,ABILENE CH,1,,,,,,
162508,Itty Henry,TE,0,0,,2027,100,,60,60.3,68.1,87,0,0,1,5,0,0,10,3,0,0,ABILENE CH,ABILENE CH,18,,,,,,
163569,Javen Ware,S,0,0,,2026,100,,,60.1,66.9,D05,0,0,1,0,0,0,0,3,1,0,ABILENE CH,ABILENE CH,4,,,,,,
163805,Max Dowling,TE,0,0,,2027,310,,60,60.5,61.1,87,0,0,1,3,0,0,0,0,0,0,TENN MARTN,TENN MARTN,3,,,,,,
163932,CJ Abell,T,0,0,,2027,205,,60,60.7,64.9,74,0,0,1,3,0,0,0,0,0,0,LEHIGH,LEHIGH,3,,,,,,
163933,DJ Brown,S,0,0,,2028,205,,,61.4,70.6,D20,0,0,1,0,0,2,6,4,3,0,LEHIGH,LEHIGH,15,,,,,,
164185,Andrew Sharga,DI,0,0,,2028,205,59.6,,59.8,63,D40,0,0,1,0,2,0,0,0,0,0,LEHIGH,LEHIGH,2,,,,,,
164341,Cameron Pope,P,0,0,,2027,185,,,60,63.3,S91,0,0,1,4,0,0,0,0,0,0,IDAHO,IDAHO,4,,,,44.1,,
164376,Cooper Barnum,LB,0,0,,2025,232,,,72.5,68.8,D40,0,0,1,0,0,0,6,3,3,1,MONTANA,MONTANA,12,,,,,,
164386,Takhari Carr,CB,0,0,,2027,233,60,,60,63.5,D22,0,0,1,0,1,0,0,0,0,0,MONTANA ST,MONTANA ST,1,,,,,,
164387,Taco Dowler,WR,0,0,,2027,233,,,60.2,66.4,14,0,0,1,0,0,0,1,1,8,0,MONTANA ST,MONTANA ST,10,,73.7,,,,
164392,Ryan Krahe,LB,0,0,,2027,233,60,,60,61.2,D42,0,0,1,0,1,0,0,0,0,0,MONTANA ST,MONTANA ST,1,,,,,,
164394,Conner Moore,T,0,0,,2027,233,,61.2,62,69.1,72,0,0,1,7,0,0,0,0,0,0,MONTANA ST,MONTANA ST,7,,,,,,
164396,Max Murphy,TE,0,0,,2027,233,,,61.6,66.1,48,0,0,1,0,0,8,3,0,0,0,MONTANA ST,MONTANA ST,11,,,,,,
164401,Rylan Schlepp,TE,0,0,,2027,233,,60,61.3,63.1,88,0,0,1,7,0,0,3,0,0,0,MONTANA ST,MONTANA ST,10,,,,,,
164404,Jake Vigen,ED,0,0,,2027,233,59.7,,60,61.8,D44,0,0,1,0,1,0,0,0,0,0,MONTANA ST,MONTANA ST,1,,,,,,
164405,Jared White,HB,0,0,,2027,233,,,63.3,68.9,03,0,0,1,0,0,6,4,5,8,0,MONTANA ST,MONTANA ST,23,59.4,,,,,
164427,Dwayne McDougle III,S,0,0,,2028,185,59.8,,72.2,71.4,D22,0,0,1,0,2,5,2,3,4,1,IDAHO,IDAHO,16,61.8,,,,,
164471,Uilisoni Amone,DI,0,0,,2025,322,60,,60,61.7,D99,0,0,1,0,1,0,0,0,0,0,UC DAVIS,UC DAVIS,1,,,,,,
164622,Jace Rodriguez,G,0,0,,2027,322,,60,61.2,63.1,64,0,0,1,6,0,0,0,0,0,0,UC DAVIS,UC DAVIS,6,,,,,,
164784,Jalan Gaines,ED,0,0,2025,2025,188,59.2,,60.1,64.5,D50,0,0,1,0,5,0,0,0,2,0,ILL STATE,ILL STATE,7,,,,,,
