playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesKickReturn,gradesFgepKicker,gradesKickoffKicker,gradesLongSnap,gradesPunter,gradesPuntReturn
192481,Vililami Wolfgramm,DI,0,0,,2027,401,60,64.7,D44,0,0,1,0,0,0,0,0,1,0,TARLETON,TARLETON,1,,,,,,,,
192492,Colin Amick,T,0,0,,2029,232,61.6,63.3,70,0,0,1,8,0,0,0,0,0,0,MONTANA,MONTANA,8,,60,,,,,,
192494,Brooks Davis,WR,0,0,,2029,232,60.7,61.6,03,0,0,1,8,0,0,1,0,0,0,MONTANA,MONTANA,9,,60,,,,,,
192500,Torin Jeske,T,0,0,,2029,232,62.1,69.1,68,0,0,1,8,0,0,0,0,0,0,MONTANA,MONTANA,8,,62.1,,,,,,
192501,Isaac Keim,DI,0,0,,2029,232,60.6,69.9,D49,0,0,1,0,0,0,3,0,0,0,MONTANA,MONTANA,3,,,,,,,,
192502,Kyon Loud,CB,0,0,,2029,232,61.1,82,D05,0,0,1,0,2,0,0,0,0,0,MONTANA,MONTANA,2,59.9,,,,,,,
192607,Giovanny Alegria,G,0,0,,2028,301,60.6,61.5,74,0,0,1,2,0,0,0,0,0,0,STF AUSTIN,STF AUSTIN,2,,60,,,,,,
192618,Jamiah Harvey,T,0,0,,2027,301,60.3,65.4,53,0,0,1,2,0,0,0,0,0,0,STF AUSTIN,STF AUSTIN,2,,60,,,,,,
192623,Cameron Kelley,WR,0,0,,2029,301,60.4,66.3,80,0,0,1,0,0,0,9,0,1,0,STF AUSTIN,STF AUSTIN,10,,,,,,,,
192624,K'Mard Kimble,DI,0,0,,2029,301,59.1,63.8,D95,0,0,1,0,4,0,0,0,0,0,STF AUSTIN,STF AUSTIN,4,59,,,,,,,
192630,Makali McKellar,S,0,0,,2029,301,76.2,68.9,D30,0,0,1,0,0,5,9,3,1,2,STF AUSTIN,STF AUSTIN,18,,,,,,,,
192632,Nicholas Perez,G,0,0,,2029,301,60.9,64,64,0,0,1,2,0,0,0,3,0,0,STF AUSTIN,STF AUSTIN,5,,60,,,,,,
192633,Kameron Reddic,S,1,0,,2029,301,75.9,64.8,D38,0,0,1,0,8,1,0,3,0,0,STF AUSTIN,STF AUSTIN,12,60,,,,,,,
192634,Chance Sautter,S,0,0,,2028,301,60.9,68.6,D34,0,0,1,0,2,1,4,2,1,0,STF AUSTIN,STF AUSTIN,10,60,,,,,,,
192635,Stetson Sarratt,WR,0,0,,2029,301,60.4,66.2,81,0,0,1,0,0,0,9,1,1,0,STF AUSTIN,STF AUSTIN,11,,,,,,,,
192643,Michael Woods,LB,0,0,,2029,301,61.4,68,D42,0,0,1,0,0,5,9,0,1,0,STF AUSTIN,STF AUSTIN,15,,,,,,,,
194607,Jalen Mayo,CB,0,0,,2027,301,60.9,67.4,D12,0,0,1,0,8,0,0,0,1,0,STF AUSTIN,STF AUSTIN,9,59.7,,,,,,,
194876,Yasir Holmes,ED,0,0,2026,2026,401,60.4,64.3,D11,0,0,1,0,2,0,0,0,1,0,TARLETON,TARLETON,3,59.8,,,,,,,
197054,Mikey Munn,CB,0,0,,2029,291,60.7,66.8,D12,0,0,1,0,8,0,0,0,0,0,S DAKOTA,S DAKOTA,8,59.9,,,,,,,
197508,Lincoln Adams,LB,0,0,,2029,291,64.6,69.1,D38,0,0,1,0,0,4,9,4,2,1,S DAKOTA,S DAKOTA,19,,,,,,,,
197657,Blake Robinson,LS,0,0,,2029,301,60.9,61.2,S60,0,0,1,2,0,0,0,0,0,0,STF AUSTIN,STF AUSTIN,2,,60,,,,67.6,,
197702,Duncan Viscum,LS,0,0,,2029,291,65,63.3,S41,0,0,1,2,0,0,0,4,0,0,S DAKOTA,S DAKOTA,6,,60,,,,80.7,,
197902,Zach Jones,WR,0,0,,2028,322,44.1,66,03,0,0,1,0,0,2,7,1,1,0,UC DAVIS,UC DAVIS,11,,,90.3,,,,,
201163,La'Shavion Brown,S,0,0,,2028,188,60.3,63.2,D04,0,0,1,0,4,0,0,0,1,0,ILL STATE,ILL STATE,5,60.1,,,,,,,
201168,Nio Espinoza,ED,0,0,,2029,188,61.5,65.7,D22,0,0,1,0,0,7,4,0,0,0,ILL STATE,ILL STATE,11,,,,,,,,
201169,Mar'Quan Gary,WR,0,0,,2030,188,59.8,62,12,0,0,1,0,0,0,4,0,0,0,ILL STATE,ILL STATE,4,,,59.4,,,,,
201180,Jack Oliver,CB,0,0,,2029,188,60.2,62.9,D37,0,0,1,0,0,2,0,0,0,0,ILL STATE,ILL STATE,2,,,,,,,,
201428,Carter Curnow,TE,0,0,,2030,233,68,69.8,85,0,0,1,0,0,9,5,0,3,1,MONTANA ST,MONTANA ST,17,,,,,,,,
