playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPass,gradesPassRoute,gradesRun,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock
184220,AJ Hasson,T,0,,2029,322,61.9,59.1,68.6,,,,58.4,60,0,1,0,1,0,0,4,5,1,4,UC DAVIS,UC DAVIS,66.4
185104,Kai Acia,HB,0,,2028,322,68.8,74,73.6,,79.8,69,60,34,0,1,0,3,15,3,1,22,18,4,UC DAVIS,UC DAVIS,76.8
185105,Zaire Collier,C,0,,2028,322,,55.7,0,,,,63.3,52,3,1,0,51,0,0,18,69,51,18,UC DAVIS,UC DAVIS,61.9
185107,Stacy Dobbins,WR,0,,2030,322,67.9,76,78.4,,75.1,,60.1,07,0,1,0,0,45,0,13,58,45,13,UC DAVIS,UC DAVIS,
185112,Rayne Mayo Jr.,DI,0,,2029,322,,60,60,,,,60,D92,0,1,0,0,0,0,1,1,0,1,UC DAVIS,UC DAVIS,
185113,Jayden Montanez,G,0,,2029,322,,60,60,,,,60,67,0,1,0,0,0,0,1,1,0,1,UC DAVIS,UC DAVIS,
185116,Caden Pinnick,QB,0,,2029,322,70.1,89.6,76.9,89.8,,64.9,60,12,0,1,51,0,0,1,17,69,51,18,UC DAVIS,UC DAVIS,
185117,David Porotesano,T,0,,2029,322,,60,67.2,,,,60,65,0,1,0,0,0,0,1,1,0,1,UC DAVIS,UC DAVIS,
185470,Dylan Lord,WR,0,,2029,188,61,63.9,75.7,,63.4,,61.9,04,0,1,0,0,18,0,14,32,18,14,ILL STATE,ILL STATE,
185471,Luke Mailander,WR,0,,2029,188,65,67,78.7,,66.3,,63.3,84,0,1,0,0,25,0,36,61,25,36,ILL STATE,ILL STATE,
185472,Andrew Rockford,WR,0,,2027,188,,60,64.9,,,,60,24,0,1,0,0,0,0,1,1,0,1,ILL STATE,ILL STATE,
185473,Aidan Crews,CB,0,,2029,188,,60,60,,,,60,D29,0,1,0,0,0,0,1,1,0,1,ILL STATE,ILL STATE,
186381,Brandon Binkowski,WR,0,,2030,334,,56.3,70.5,,57,,60,81,0,1,0,0,3,0,2,5,3,2,VILLANOVA,VILLANOVA,
186385,Chris Colby,WR,0,,2029,334,64.1,76.5,73.7,,75.8,,58.7,13,0,1,0,0,10,0,10,20,10,10,VILLANOVA,VILLANOVA,
186387,Ryan Cregan,G,0,,2029,334,,68.6,76.7,,,,67.6,79,0,1,0,15,0,0,20,35,15,20,VILLANOVA,VILLANOVA,72.3
186392,Lucas Kopecky,WR,0,,2026,334,61,59,79.9,,58.4,,61.9,16,0,1,0,0,35,0,33,68,35,33,VILLANOVA,VILLANOVA,
186459,Logan Brasfield,G,0,,2029,188,,67.6,76.4,,,,61,70,0,1,0,26,0,0,36,62,26,36,ILL STATE,ILL STATE,84.2
187244,T'iar Young,WR,0,,2026,401,,64.1,72.3,,57.5,,77.8,09,0,1,0,0,3,0,7,10,3,7,TARLETON,TARLETON,
190249,Reid Watkins,HB,0,,2029,291,70.1,68.9,74.7,,78.9,67.8,60,05,0,1,0,7,9,5,1,22,16,6,S DAKOTA,S DAKOTA,41.3
191481,Rocky Lencioni,TE,0,,2029,233,65.8,76.6,0,,89.1,,63.4,89,1,1,0,3,11,0,24,38,14,24,MONTANA ST,MONTANA ST,67.4
191486,Dane Steel,WR,0,,2029,233,64.1,66,0,,66.5,,71.3,84,1,1,0,0,31,0,27,58,31,27,MONTANA ST,MONTANA ST,
191488,Luvens Valcin,TE,0,,2029,233,61,68.4,0,,88.8,,59.8,80,1,1,0,1,1,0,7,9,2,7,MONTANA ST,MONTANA ST,63.5
191492,Jabez Woods,WR,0,,2029,233,63.6,54.4,0,,54.5,,79.5,10,1,1,0,0,16,0,7,23,16,7,MONTANA ST,MONTANA ST,
191493,Braden Zimmer,T,0,,2029,233,,68.1,77.7,,,,60.4,72,0,1,0,34,0,0,35,69,34,35,MONTANA ST,MONTANA ST,84
192462,Braden Smith,G,0,,2029,401,,66.4,78.7,,,,64.7,69,0,1,0,36,0,0,25,61,36,25,TARLETON,TARLETON,73.2
192492,Colin Amick,T,0,,2029,232,,61.5,74,,,,57.6,70,0,1,0,16,0,0,17,33,16,17,MONTANA,MONTANA,72.1
192494,Brooks Davis,WR,0,,2029,232,,52.1,79.2,,51.6,,61.7,03,0,1,0,0,24,0,24,48,24,24,MONTANA,MONTANA,
192496,Malae Fonoti,HB,0,,2029,232,69.9,68.3,73.1,,69.3,68.4,52.8,07,0,1,0,0,5,5,4,14,5,9,MONTANA,MONTANA,
192500,Torin Jeske,T,0,,2029,232,,60.2,68,,,,60,68,0,1,0,0,0,0,4,4,0,4,MONTANA,MONTANA,
192607,Giovanny Alegria,G,0,,2028,301,,57.7,75.3,,,,52,74,0,1,0,17,0,0,7,24,17,7,STF AUSTIN,STF AUSTIN,80.9
192641,Clayton Wayland,WR,0,,2029,301,64.1,61.5,77.1,,59.6,,74,21,0,1,0,0,43,0,18,61,43,18,STF AUSTIN,STF AUSTIN,
192642,Darren Wiancko,G,0,,2026,301,,62.2,72.2,,,,60,72,0,1,0,7,0,0,1,8,7,1,STF AUSTIN,STF AUSTIN,79.1
197902,Zach Jones,WR,0,,2028,322,18.2,64.5,76.7,,64.1,,58.7,03,0,1,0,0,28,0,4,32,28,4,UC DAVIS,UC DAVIS,
201926,Tyler Hennessy,WR,0,,2030,322,61,65.5,71.3,,64.6,,60,13,0,1,0,0,8,0,1,9,8,1,UC DAVIS,UC DAVIS,
201936,Scott Nixon,WR,0,,2028,322,61,67.3,73.2,,66,,60.1,24,0,1,0,0,7,0,4,11,7,4,UC DAVIS,UC DAVIS,
202267,Hashim Jones,HB,0,,2030,232,69.7,67.7,69.9,,,65.7,60,28,0,1,0,0,0,5,1,6,0,6,MONTANA,MONTANA,
203137,Jacob Arop,T,0,,2029,291,,47.6,17.5,,,,46.8,75,1,1,0,35,0,0,28,63,35,28,S DAKOTA,S DAKOTA,62.8
203151,Brayden White,WR,0,,2030,291,66.2,61.6,64.8,,61.1,,,85,0,1,0,0,1,0,0,1,1,0,S DAKOTA,S DAKOTA,
203163,Carson Fletcher,HB,0,,2030,291,70.1,52.9,75.1,,73.1,57.4,48.5,33,0,1,0,4,11,5,3,23,15,8,S DAKOTA,S DAKOTA,2.8
203395,Sean Welde,TE,0,,2030,334,,60,65.3,,,,60,89,0,1,0,0,0,0,2,2,0,2,VILLANOVA,VILLANOVA,
203400,Braden Reed,WR,0,,2030,334,73.2,61.5,77.4,76.2,59.1,59.6,54.6,83,0,1,1,0,28,1,23,53,29,24,VILLANOVA,VILLANOVA,
203537,Marquis Willis,WR,0,,2027,401,64.1,62.9,80,,62.2,,64.3,07,0,1,0,0,36,0,23,59,36,23,TARLETON,TARLETON,
